num_boletim,data_hora_boletim,numero_envolvido,condutor,codigo_severidade,desc_severidade,sexo,cinto_seguranca,Embreagues,Idade,nascimento,categoria_habilitacao,descricao_habilitacao,declaracao_obito,cod_severidade_antiga,especie_veiculo,pedestre,passageiro
2018-038241920-001,2018-08-27 17:22:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,39,25/01/1979,N,NAO INFORMADO,0,0,AUTOMOVEL,N,N
2018-025138450-001,2018-06-07 18:21:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,20,01/08/1997,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-056098330-001,2018-12-17 19:33:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,20,09/01/1998,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-000033929-001,2018-01-01 06:36:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,49,08/11/1968,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-012914794-001,2018-03-22 16:00:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,29,24/12/1988,A,"VEÍCULO MOTORIZ. DE 2 OU 3 RODAS, C/ OU S/ CARRO LATERAL",0,0,MOTOCICLETA,N,N
2018-049029104-001,2018-11-02 15:02:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,62,02/12/1955,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-009817359-001,2018-03-04 16:54:00.000,4,N,3,SEM FERIMENTOS,M,SIM,NÃO,42,13/02/1976,,,0,0,AUTOMOVEL,N,S
2018-008223470-001,2018-02-23 03:46:00.000,1,N,1,NAO FATAL,M,NÃO,NÃO,42,20/07/1975,,,0,0,,S,N
2018-038940162-001,2018-08-31 15:31:00.000,3,N,1,NAO FATAL,F,SIM,NÃO,29,13/04/1989,,,0,0,ONIBUS,N,S
2018-021982700-001,2018-05-18 07:13:00.000,3,N,1,NAO FATAL,M,SIM,NÃO,10,12/12/2007,,,0,0,MOTOCICLETA,N,S
2018-005868912-001,2018-02-08 18:41:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,42,21/04/1975,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-044680478-002,2018-10-06 12:35:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,51,17/05/1967,N,NAO INFORMADO,0,0,ONIBUS,N,N
2018-042408705-001,2018-09-22 09:15:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,53,29/05/1965,D,"VEIC. MOTOR. P/ TRANSP. DE PASSAG, C/ MAIS DE 8 PASSAGEIROS",0,0,CAMIONETA,N,N
2018-055060145-001,2018-12-11 08:15:00.000,1,S,3,SEM FERIMENTOS,M,SIM,NÃO,39,27/07/1979,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,AUTOMOVEL,N,N
2018-020713314-001,2018-05-10 15:47:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,47,25/04/1971,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-043003654-001,2018-09-26 07:05:00.000,1,S,3,SEM FERIMENTOS,F,SIM,NÃO,46,09/05/1972,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-046864460-001,2018-10-20 09:06:00.000,1,S,1,NAO FATAL,F,SIM,NÃO,49,09/01/1969,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-016982212-001,2018-04-17 08:08:00.000,1,S,3,SEM FERIMENTOS,F,SIM,NÃO,41,22/10/1976,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-009569042-001,2018-03-02 18:44:00.000,1,S,3,SEM FERIMENTOS,F,SIM,NÃO INFORMADO,0,00/00/0000,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-003807610-001,2018-01-26 16:51:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,38,19/01/1980,N,NAO INFORMADO,0,0,MOTOCICLETA,N,N
2018-028580762-001,2018-06-29 08:09:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,21,19/11/1996,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-006979117-001,2018-02-15 16:11:00.000,2,S,3,SEM FERIMENTOS,M,SIM,NÃO,66,19/09/1951,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
2018-016685048-001,2018-04-15 07:26:00.000,2,S,1,NAO FATAL,M,SIM,NÃO,55,11/12/1962,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-047727867-001,2018-10-24 20:00:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,35,06/02/1983,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-026366473-001,2018-06-15 13:34:00.000,1,S,1,NAO FATAL,M,SIM,NÃO,26,09/02/1992,AB,HABILITADO NAS CATEGORIAS A  e B,0,0,MOTOCICLETA,N,N
2018-019469254-001,2018-05-02 19:55:00.000,1,S,1,NAO FATAL,M,NÃO,NÃO,24,02/06/1993,N,NAO INFORMADO,0,0,MOTOCICLETA,N,N
2018-012517946-001,2018-03-20 13:11:00.000,3,S,3,SEM FERIMENTOS,F,SIM,NÃO,41,05/08/1976,B,"VEICULOS MOTOR. COM ATE 8 PASSAGEIROS, PESO MAXIMO 3500 KG",0,0,AUTOMOVEL,N,N
