product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency,profit_margin_percentage,profit_margin,cost_price,norm_sales_amount
"Prod279","Cus020","Mark011",2017-10-11 00:00:00.000,1,102,"INR",0.39,39.78,62.22,102
"Prod279","Cus020","Mark011",2017-10-18 00:00:00.000,1,102,"INR",-0.12,-12.24,114.24,102
"Prod279","Cus020","Mark011",2017-10-19 00:00:00.000,1,102,"INR",0.29,29.58,72.42,102
"Prod279","Cus020","Mark011",2017-11-08 00:00:00.000,1,102,"INR",0.36,36.72,65.28,102
"Prod279","Cus020","Mark011",2018-03-09 00:00:00.000,1,102,"INR",-0.35,-35.7,137.7,102
"Prod279","Cus020","Mark011",2018-03-20 00:00:00.000,1,102,"INR",0.26,26.52,75.48,102
"Prod279","Cus020","Mark011",2018-03-22 00:00:00.000,1,102,"INR",-0.35,-35.7,137.7,102
"Prod279","Cus020","Mark011",2018-03-23 00:00:00.000,1,102,"INR",-0.35,-35.7,137.7,102
"Prod279","Cus020","Mark011",2018-03-29 00:00:00.000,1,102,"INR",0.34,34.68,67.32,102
"Prod279","Cus020","Mark011",2018-04-16 00:00:00.000,1,102,"INR",-0.06,-6.12,108.12,102
"Prod279","Cus020","Mark011",2018-04-19 00:00:00.000,1,102,"INR",0.28,28.56,73.44,102
"Prod279","Cus020","Mark011",2018-05-02 00:00:00.000,1,102,"INR",0.21,21.42,80.58,102
"Prod279","Cus020","Mark011",2018-05-03 00:00:00.000,1,102,"INR",0.19,19.38,82.62,102
"Prod279","Cus020","Mark011",2018-05-10 00:00:00.000,1,102,"INR",-0.18,-18.36,120.36,102
"Prod279","Cus020","Mark011",2018-06-08 00:00:00.000,1,102,"INR",-0.33,-33.66,135.66,102
"Prod279","Cus020","Mark011",2018-06-14 00:00:00.000,1,102,"INR",-0.27,-27.54,129.54,102
"Prod279","Cus020","Mark011",2018-06-18 00:00:00.000,1,102,"INR",-0.33,-33.66,135.66,102
"Prod279","Cus020","Mark011",2018-06-29 00:00:00.000,1,102,"INR",-0.33,-33.66,135.66,102
"Prod279","Cus020","Mark011",2018-07-03 00:00:00.000,1,102,"INR",0.18,18.36,83.64,102
"Prod279","Cus020","Mark011",2018-07-09 00:00:00.000,1,102,"INR",0.34,34.68,67.32,102
"Prod279","Cus020","Mark011",2018-07-10 00:00:00.000,1,102,"INR",-0.09,-9.18,111.18,102
"Prod279","Cus020","Mark011",2018-07-12 00:00:00.000,1,102,"INR",0.13,13.26,88.74,102
"Prod279","Cus020","Mark011",2018-07-16 00:00:00.000,1,102,"INR",0.38,38.76,63.24,102
