Project,Project ID,Project Close Date,Department,Managers,Workplace,Project Start Date,Project Opportunities,Administrator,Agency,Project Request ID,Project Status,Project Type,Value
"Project Name29","Project ID29",2020-02-19 01:59:05.000,"Department19","Managers1","WorkPlace1",2019-12-17 01:59:05.000,1,"Administrator2","Agency11","Project Request ID37","Active","Project Type1",59
"Project Name46","Project ID46",2021-06-06 14:46:28.000,"Department10","Managers19","WorkPlace2",2021-05-04 14:46:28.000,1,"Administrator7","Agency35","Project Request ID36","FALSE","Project Type2",46
"Project Name43_Exclude","Project ID43",2020-08-06 21:13:22.000,"Department38","Managers14","WorkPlace3",2020-05-11 21:13:22.000,2,"Administrator39","Agency16","Project Request ID9","Inactive","Project Type1",13
"Project Name22","Project ID22",2021-12-11 01:16:04.000,"Department50","Managers16","WorkPlace1",2021-11-15 01:16:04.000,5,"Administrator42","Agency2","Project Request ID35","Inactive","Project Type2",16
"Project Name11","Project ID11",2020-02-17 14:24:32.000,"Department7","Managers42","WorkPlace2",2019-12-28 14:24:32.000,1,"Administrator40","Agency30","Project Request ID2","Inactive","Project Type2",24
"Project Name30","Project ID30",2020-09-19 08:42:06.000,"Department48","Managers34","WorkPlace2",2020-07-22 08:42:06.000,1,"Administrator1","Agency43","Project Request ID39","Inactive","Project Type2",42
"Project Name18","Project ID18",2021-12-16 21:56:18.000,"Department29","Managers28","WorkPlace1",2021-09-06 21:56:18.000,3,"Administrator3","Agency2","Project Request ID31","FALSE","Project Type2",56
"Project Name4","Project ID4",2020-12-06 15:37:50.000,"Department13","Managers43","WorkPlace2",2020-11-14 15:37:50.000,2,"Administrator12","Agency32","Project Request ID44","Inactive","Project Type2",37
"Project Name39_EXCLUDE","Project ID39",2021-07-27 18:01:22.000,"Department36","Managers42","WorkPlace3",2021-03-29 18:01:22.000,1,"Administrator9","Agency17","Project Request ID32","Active","Project Type1",1
"Project Name27_Exclude","Project ID27",2020-07-22 10:32:27.000,"Department19","Managers31","WorkPlace1",2020-04-11 10:32:27.000,1,"Administrator44","Agency30","Project Request ID47","Active","Project Type1",32
"Project Name34","Project ID34",2021-03-30 16:32:03.000,"Department3","Managers28","WorkPlace2",2021-02-21 16:32:03.000,1,"Administrator44","Agency26","Project Request ID21","Inactive","Project Type2",32
"Project Name14","Project ID14",2020-09-29 19:51:21.000,"Department46","Managers50","WorkPlace2",2020-08-04 19:51:21.000,1,"Administrator20","Agency5","Project Request ID2","Inactive","Project Type1",51
"Project Name49","Project ID49",2020-04-17 18:05:49.000,"Department21","Managers50","WorkPlace1",2020-03-12 18:05:49.000,1,"Administrator8","Agency43","Project Request ID36","Inactive","Project Type1",5
"Project Name25","Project ID25",2021-02-19 10:03:53.000,"Department2","Managers6","WorkPlace2",2021-01-14 10:03:53.000,1,"Administrator4","Agency7","Project Request ID17","Inactive","Project Type1",3
"Project Name44","Project ID44",2020-07-15 23:51:08.000,"Department25","Managers11","WorkPlace3",2020-06-15 23:51:08.000,1,"Administrator47","Agency49","Project Request ID28","Inactive","Project Type1",51
"Project Name42_EXCLUDE","Project ID42",2020-04-05 20:08:39.000,"Department10","Managers25","WorkPlace1",2019-12-28 20:08:39.000,2,"Administrator2","Agency30","Project Request ID7","Inactive","Project Type2",8
"Project Name45","Project ID45",2020-04-08 11:59:14.000,"Department4","Managers47","WorkPlace2",2020-02-01 11:59:14.000,5,"Administrator38","Agency27","Project Request ID2","Inactive","Project Type1",59
"Project Name50","Project ID50",2021-04-30 08:19:31.000,"Department12","Managers33","WorkPlace2",2021-03-20 08:19:31.000,1,"Administrator40","Agency47","Project Request ID45","Active","Project Type2",19
"Project Name41","Project ID41",2021-10-04 18:11:27.000,"Department21","Managers49","WorkPlace1",2021-07-19 18:11:27.000,1,"Administrator11","Agency45","Project Request ID4","Active","Project Type2",11
"Project Name24","Project ID24",2021-07-16 13:56:11.000,"Department44","Managers5","WorkPlace2",2021-05-13 13:56:11.000,3,"Administrator13","Agency35","Project Request ID27","FALSE","Project Type2",56
