Calendar Year,Calendar Month,Calendar Yr-Mo,Calendar Yr Mo Sort,Calendar Month Sort,Product Subcategory,Sales Plan Amt,Sales Territory Region
2017,"Jan","2017-Jan",201701,1,"Jerseys",933.42,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Road Bikes",33842.5776,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Mountain Bikes",63823.8062,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Gloves",143.2665,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Shorts",186.1734,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Vests",142.875,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Bike Stands",505.62,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Touring Bikes",19119.0228,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Caps",164.8766,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Socks",33.1731,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Cleaners",46.11,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Hydration Packs",461.916,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Helmets",1489.1744,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Tires and Tubes",1117.8588,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Bottles and Cages",460.5175,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Bike Racks",334.8,"Southwest"
2017,"Jan","2017-Jan",201701,1,"Fenders",454.986,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Bottles and Cages",502.9824,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Fenders",1045.8084,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Cleaners",140.715,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Tires and Tubes",4208.0412,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Hydration Packs",719.8191,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Bike Racks",556.8,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Bike Stands",674.16,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Helmets",2171.1295,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Vests",293.37,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Touring Bikes",42578.6517,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Caps",315.4591,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Shorts",808.3845,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Gloves",664.6586,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Mountain Bikes",114793.5852,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Road Bikes",29260.1106,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Jerseys",2324.672,"Southwest"
2017,"Feb","2017-Feb",201702,2,"Socks",101.4072,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Vests",560.07,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Bike Racks",676.8,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Shorts",3001.1712,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Hydration Packs",523.5048,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Socks",64.728,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Cleaners",124.656,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Tires and Tubes",2737.8298,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Gloves",445.718,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Helmets",3215.9309,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Mountain Bikes",69097.3737,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Fenders",968.6586,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Road Bikes",56221.2882,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Touring Bikes",45050.0877,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Bike Stands",254.4,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Bottles and Cages",531.5765,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Caps",299.367,"Southwest"
2017,"Mar","2017-Mar",201703,3,"Jerseys",2405.93,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Helmets",2547.272,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Touring Bikes",65200.0272,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Bike Stands",1491.42,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Shorts",1416.5976,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Gloves",387.1869,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Mountain Bikes",57687.4569,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Road Bikes",47973.2994,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Caps",350.0706,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Jerseys",2252.565,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Bike Racks",684,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Hydration Packs",496.0098,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Socks",109.8578,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Bottles and Cages",579.2308,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Cleaners",157.728,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Fenders",1353.3086,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Tires and Tubes",3254.4682,"Southwest"
2017,"Apr","2017-Apr",201704,4,"Vests",924.56,"Southwest"
2017,"May","2017-May",201705,5,"Bottles and Cages",1109.1678,"Southwest"
2017,"May","2017-May",201705,5,"Tires and Tubes",4114.885,"Southwest"
