Source_URL,Match Info,Country Flag,Nationality,Player_1_Seed,Name,Player Profile,Player_2_Flag_URL,Player_2_Nationality,Player_2_Seed,Opponent Name,Player_2_More Info,Set_1_Player_1_Score,Set_1_Player_2_Score,Set_2_Player_1_Score,Set_2_Player_2_Score,Set_3_Player_1_Score,Set_3_Player_2_Score,Set_4_Player_1_Score,Set_4_Player_2_Score,Set_5_Player_1_Score,Set_5_Player_2_Score,Match_Court_Info,Number of Games Won,Player_1_Is_Winner,Outcome,Result,Match Won,Match Count,Sets Won,Sets Lost,Match_Key,Batch,Games Played
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/ser.gif,Serbia & Montenegro,,Janko Tipsarevic,http://espn.go.com/tennis/player/_/id/307/janko-tipsarevic,http://a.espncdn.com/i/flags/20x13/fra.gif,France,16.0,Gilles Simon,http://espn.go.com/tennis/player/_/id/302/gilles-simon,6.0,4.0,4.0,6.0,5.0,7.0,3.0,6.0,,,,18,False,Lost,"6-4, 4-6, 5-7, 3-6",0,1,1,3,67,1,20.5
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/aus.gif,Australia,19.0,Bernard Tomic,http://espn.go.com/tennis/player/_/id/1317/bernard-tomic,http://a.espncdn.com/i/flags/20x13/esp.gif,Spain,14.0,Roberto Bautista Agut,http://espn.go.com/tennis/player/_/id/1733/roberto-bautista-agut,6.0,2.0,6.0,4.0,6.0,4.0,,,,,,18,True,Won,"6-2, 6-4, 6-4",1,1,3,0,143,2,14.0
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/usa.gif,USA,,Steve Johnson,http://espn.go.com/tennis/player/_/id/1893/steve-johnson,http://a.espncdn.com/i/flags/20x13/bul.gif,Bulgaria,,Grigor Dimitrov,http://espn.go.com/tennis/player/_/id/1287/grigor-dimitrov,6.0,7.0,7.0,6.0,6.0,4.0,6.0,2.0,,,,25,True,Won,"6-7, 7-6, 6-4, 6-2",1,1,3,1,15,1,22.0
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/esp.gif,Spain,,Albert Ramos-Vinolas,http://espn.go.com/tennis/player/_/id/1766/albert-ramos-vinolas,http://a.espncdn.com/i/flags/20x13/can.gif,Canada,,Vasek Pospisil,http://espn.go.com/tennis/player/_/id/1352/vasek-pospisil,6.0,4.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,21,True,Won,"6-4, 3-6, 6-3, 6-4",1,1,3,1,208,2,19.0
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/fra.gif,France,,Pierre-Hugues Herbert,http://espn.go.com/tennis/player/_/id/1613/pierre-hugues-herbert,http://a.espncdn.com/i/flags/20x13/bih.gif,Bosnia and Herzegovina,,Damir Dzumhur,http://espn.go.com/tennis/player/_/id/1842/damir-dzumhur,3.0,6.0,7.0,6.0,7.0,6.0,6.0,2.0,,,,23,True,Won,"3-6, 7-6, 7-6, 6-2",1,1,3,1,31,1,21.5
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/ger.gif,Germany,24.0,Alexander Zverev,http://espn.go.com/tennis/player/_/id/2375/alexander-zverev,http://a.espncdn.com/i/flags/20x13/fra.gif,France,,Paul-Henri Mathieu,http://espn.go.com/tennis/player/_/id/304/paul-henri-mathieu,6.0,3.0,6.0,4.0,6.0,2.0,,,,,,18,True,Won,"6-3, 6-4, 6-2",1,1,3,0,120,1,13.5
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/cze.gif,Czech Republic,10.0,Tomas Berdych,http://espn.go.com/tennis/player/_/id/363/tomas-berdych,http://a.espncdn.com/i/flags/20x13/fra.gif,France,32.0,Lucas Pouille,http://espn.go.com/tennis/player/_/id/2322/lucas-pouille,7.0,6.0,6.0,3.0,6.0,2.0,,,,,Court 1 - 2nd Match,19,True,Won,"7-6, 6-3, 6-2",1,1,3,0,5,1,15.0
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/arg.gif,Argentina,,Horacio Zeballos,http://espn.go.com/tennis/player/_/id/1513/horacio-zeballos,http://a.espncdn.com/i/flags/20x13/rus.gif,Russia,,Mikhail Youzhny,http://espn.go.com/tennis/player/_/id/229/mikhail-youzhny,4.0,6.0,4.0,6.0,6.0,3.0,1.0,6.0,,,,15,False,Lost,"4-6, 4-6, 6-3, 1-6",0,1,1,3,124,1,18.0
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/cze.gif,Czech Republic,10.0,Tomas Berdych,http://espn.go.com/tennis/player/_/id/363/tomas-berdych,http://a.espncdn.com/i/flags/20x13/ger.gif,Germany,24.0,Alexander Zverev,http://espn.go.com/tennis/player/_/id/2375/alexander-zverev,6.0,3.0,6.0,4.0,4.0,6.0,6.0,1.0,,,,22,True,Won,"6-3, 6-4, 4-6, 6-1",1,1,3,1,146,2,18.0
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/rus.gif,Russia,,Andrey Kuznetsov,http://espn.go.com/tennis/player/_/id/1625/andrey-kuznetsov,http://a.espncdn.com/i/flags/20x13/jpn.gif,Japan,5.0,Kei Nishikori,http://espn.go.com/tennis/player/_/id/1035/kei-nishikori,5.0,7.0,3.0,6.0,5.0,7.0,,,,,,13,False,Lost,"5-7, 3-6, 5-7",0,1,0,3,23,1,16.5
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/can.gif,Canada,6.0,Milos Raonic,http://espn.go.com/tennis/player/_/id/1333/milos-raonic,http://a.espncdn.com/i/flags/20x13/bel.gif,Belgium,11.0,David Goffin,http://espn.go.com/tennis/player/_/id/1360/david-goffin,4.0,6.0,3.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,,25,True,Won,"4-6, 3-6, 6-4, 6-4, 6-4",1,1,3,2,133,2,24.5
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/usa.gif,USA,,Denis Kudla,http://espn.go.com/tennis/player/_/id/1629/denis-kudla,http://a.espncdn.com/i/flags/20x13/bih.gif,Bosnia and Herzegovina,,Damir Dzumhur,http://espn.go.com/tennis/player/_/id/1842/damir-dzumhur,6.0,7.0,5.0,7.0,6.0,2.0,6.0,1.0,3.0,6.0,,26,True,Won,"6-7, 5-7, 6-2, 6-1, 3-6",1,1,2,3,220,2,24.5
http://espn.go.com/tennis/scoreboard?tournamentId=188&year=2016&matchType=1,Final,http://a.espncdn.com/i/flags/20x13/bra.gif,Brazil,,Thomaz Bellucci,http://espn.go.com/tennis/player/_/id/1195/thomaz-bellucci,http://a.espncdn.com/i/flags/20x13/bel.gif,Belgium,,Ruben Bemelmans,http://espn.go.com/tennis/player/_/id/1186/ruben-bemelmans,3.0,6.0,6.0,4.0,6.0,3.0,1.0,6.0,8.0,6.0,,24,False,Lost,"3-6, 6-4, 6-3, 1-6, 8-6",0,1,3,2,69,1,24.5
