Megawatt Hours Generated,BA,Energy Source,Date/Time,Electricity Generated (MWH in 1000's)
1010.0,DUK,Natural Gas,2020-09-16 03:00:00.000,1000.0
0.0,HST,Natural Gas,2020-02-22 11:00:00.000,0.0
1325.0,PSEI,Natural Gas,2020-04-06 21:00:00.000,1000.0
0.0,SRP,Other,2020-01-10 05:00:00.000,0.0
10255.0,CISO,Natural Gas,2019-01-28 21:00:00.000,10000.0
5708.0,BPAT,Hydroelectric,2020-03-26 15:00:00.000,5000.0
0.0,SCEG,Coal,2021-03-26 18:00:00.000,0.0
0.0,TAL,Solar,2020-01-06 21:00:00.000,0.0
5846.0,SOCO,Nuclear,2020-08-07 20:00:00.000,5000.0
54.0,TEC,Other,2020-03-10 07:00:00.000,0.0
0.0,TEPC,Solar,2020-01-09 22:00:00.000,0.0
178.0,SPA,Other,2020-10-10 05:00:00.000,0.0
38.0,LDWP,Hydroelectric,2019-03-16 04:00:00.000,0.0
1033.0,JEA,Coal,2018-08-06 18:00:00.000,1000.0
145.0,TIDC,Natural Gas,2021-01-13 15:00:00.000,0.0
476.0,SEPA,Hydroelectric,2020-08-25 08:00:00.000,0.0
1728.0,SOCO,Hydroelectric,2018-12-19 10:00:00.000,1000.0
2083.0,AZPS,Natural Gas,2019-07-17 19:00:00.000,2000.0
23596.0,MISO,Coal,2020-09-05 21:00:00.000,23000.0
737.0,SEC,Coal,2018-12-16 03:00:00.000,0.0
786.0,NEVP,Solar,2019-03-17 16:00:00.000,0.0
527.0,IID,Other,2018-11-24 06:00:00.000,0.0
566.0,PSEI,Hydroelectric,2019-07-29 20:00:00.000,0.0
541.0,SEC,Coal,2019-10-02 15:00:00.000,0.0
369.0,PACW,Wind,2020-07-05 01:00:00.000,0.0
785.0,AECI,Coal,2020-06-04 23:00:00.000,0.0
3225.0,PACE,Coal,2019-11-25 14:00:00.000,3000.0
1.0,SC,Solar,2020-09-26 21:00:00.000,0.0
32223.0,PJM,Coal,2019-08-05 17:00:00.000,32000.0
506.0,WALC,Hydroelectric,2019-03-25 01:00:00.000,0.0
