Megawatt Hours Demand,BA-Subregion,Date/Time
4668,"AZPS-N/A",2021-05-12 21:00:00.000
4875,"AZPS-N/A",2021-05-12 20:00:00.000
4908,"AZPS-N/A",2021-05-12 19:00:00.000
4694,"AZPS-N/A",2021-05-12 18:00:00.000
4397,"AZPS-N/A",2021-05-12 17:00:00.000
4174,"AZPS-N/A",2021-05-12 16:00:00.000
3848,"AZPS-N/A",2021-05-12 15:00:00.000
3501,"AZPS-N/A",2021-05-12 14:00:00.000
3227,"AZPS-N/A",2021-05-12 13:00:00.000
2989,"AZPS-N/A",2021-05-12 12:00:00.000
2868,"AZPS-N/A",2021-05-12 11:00:00.000
2804,"AZPS-N/A",2021-05-12 10:00:00.000
2811,"AZPS-N/A",2021-05-12 09:00:00.000
2796,"AZPS-N/A",2021-05-12 08:00:00.000
2702,"AZPS-N/A",2021-05-12 07:00:00.000
2594,"AZPS-N/A",2021-05-12 06:00:00.000
2592,"AZPS-N/A",2021-05-12 05:00:00.000
2631,"AZPS-N/A",2021-05-12 04:00:00.000
2749,"AZPS-N/A",2021-05-12 03:00:00.000
2912,"AZPS-N/A",2021-05-12 02:00:00.000
3161,"AZPS-N/A",2021-05-12 01:00:00.000
3517,"AZPS-N/A",2021-05-12 00:00:00.000
3890,"AZPS-N/A",2021-05-11 23:00:00.000
4191,"AZPS-N/A",2021-05-11 22:00:00.000
4303,"AZPS-N/A",2021-05-11 21:00:00.000
4483,"AZPS-N/A",2021-05-11 20:00:00.000
4462,"AZPS-N/A",2021-05-11 19:00:00.000
4246,"AZPS-N/A",2021-05-11 18:00:00.000
3971,"AZPS-N/A",2021-05-11 17:00:00.000
3752,"AZPS-N/A",2021-05-11 16:00:00.000
3484,"AZPS-N/A",2021-05-11 15:00:00.000
3229,"AZPS-N/A",2021-05-11 14:00:00.000
2998,"AZPS-N/A",2021-05-11 13:00:00.000
2844,"AZPS-N/A",2021-05-11 12:00:00.000
2748,"AZPS-N/A",2021-05-11 11:00:00.000
2746,"AZPS-N/A",2021-05-11 10:00:00.000
2781,"AZPS-N/A",2021-05-11 09:00:00.000
2780,"AZPS-N/A",2021-05-11 08:00:00.000
2675,"AZPS-N/A",2021-05-11 07:00:00.000
2594,"AZPS-N/A",2021-05-11 06:00:00.000
2575,"AZPS-N/A",2021-05-11 05:00:00.000
2640,"AZPS-N/A",2021-05-11 04:00:00.000
2757,"AZPS-N/A",2021-05-11 03:00:00.000
2934,"AZPS-N/A",2021-05-11 02:00:00.000
3182,"AZPS-N/A",2021-05-11 01:00:00.000
3525,"AZPS-N/A",2021-05-11 00:00:00.000
3904,"AZPS-N/A",2021-05-10 23:00:00.000
4195,"AZPS-N/A",2021-05-10 22:00:00.000
4266,"AZPS-N/A",2021-05-10 21:00:00.000
4409,"AZPS-N/A",2021-05-10 20:00:00.000
4415,"AZPS-N/A",2021-05-10 19:00:00.000
4216,"AZPS-N/A",2021-05-10 18:00:00.000
3929,"AZPS-N/A",2021-05-10 17:00:00.000
3750,"AZPS-N/A",2021-05-10 16:00:00.000
3491,"AZPS-N/A",2021-05-10 15:00:00.000
3250,"AZPS-N/A",2021-05-10 14:00:00.000
3058,"AZPS-N/A",2021-05-10 13:00:00.000
2899,"AZPS-N/A",2021-05-10 12:00:00.000
2804,"AZPS-N/A",2021-05-10 11:00:00.000
2797,"AZPS-N/A",2021-05-10 10:00:00.000
2814,"AZPS-N/A",2021-05-10 09:00:00.000
2780,"AZPS-N/A",2021-05-10 08:00:00.000
2680,"AZPS-N/A",2021-05-10 07:00:00.000
2580,"AZPS-N/A",2021-05-10 06:00:00.000
2556,"AZPS-N/A",2021-05-10 05:00:00.000
2611,"AZPS-N/A",2021-05-10 04:00:00.000
2738,"AZPS-N/A",2021-05-10 03:00:00.000
2920,"AZPS-N/A",2021-05-10 02:00:00.000
3153,"AZPS-N/A",2021-05-10 01:00:00.000
3516,"AZPS-N/A",2021-05-10 00:00:00.000
3817,"AZPS-N/A",2021-05-09 23:00:00.000
4046,"AZPS-N/A",2021-05-09 22:00:00.000
4173,"AZPS-N/A",2021-05-09 21:00:00.000
4282,"AZPS-N/A",2021-05-09 20:00:00.000
4269,"AZPS-N/A",2021-05-09 19:00:00.000
4075,"AZPS-N/A",2021-05-09 18:00:00.000
3809,"AZPS-N/A",2021-05-09 17:00:00.000
3554,"AZPS-N/A",2021-05-09 16:00:00.000
3293,"AZPS-N/A",2021-05-09 15:00:00.000
3081,"AZPS-N/A",2021-05-09 14:00:00.000
2891,"AZPS-N/A",2021-05-09 13:00:00.000
2711,"AZPS-N/A",2021-05-09 12:00:00.000
2596,"AZPS-N/A",2021-05-09 11:00:00.000
2534,"AZPS-N/A",2021-05-09 10:00:00.000
2483,"AZPS-N/A",2021-05-09 09:00:00.000
2473,"AZPS-N/A",2021-05-09 08:00:00.000
2492,"AZPS-N/A",2021-05-09 07:00:00.000
2522,"AZPS-N/A",2021-05-09 06:00:00.000
2567,"AZPS-N/A",2021-05-09 05:00:00.000
2665,"AZPS-N/A",2021-05-09 04:00:00.000
2789,"AZPS-N/A",2021-05-09 03:00:00.000
2961,"AZPS-N/A",2021-05-09 02:00:00.000
3178,"AZPS-N/A",2021-05-09 01:00:00.000
3474,"AZPS-N/A",2021-05-09 00:00:00.000
3732,"AZPS-N/A",2021-05-08 23:00:00.000
3974,"AZPS-N/A",2021-05-08 22:00:00.000
4124,"AZPS-N/A",2021-05-08 21:00:00.000
4274,"AZPS-N/A",2021-05-08 20:00:00.000
4269,"AZPS-N/A",2021-05-08 19:00:00.000
4090,"AZPS-N/A",2021-05-08 18:00:00.000
3816,"AZPS-N/A",2021-05-08 17:00:00.000
3578,"AZPS-N/A",2021-05-08 16:00:00.000
3330,"AZPS-N/A",2021-05-08 15:00:00.000
3128,"AZPS-N/A",2021-05-08 14:00:00.000
2926,"AZPS-N/A",2021-05-08 13:00:00.000
2803,"AZPS-N/A",2021-05-08 12:00:00.000
2693,"AZPS-N/A",2021-05-08 11:00:00.000
2638,"AZPS-N/A",2021-05-08 10:00:00.000
2591,"AZPS-N/A",2021-05-08 09:00:00.000
2564,"AZPS-N/A",2021-05-08 08:00:00.000
2589,"AZPS-N/A",2021-05-08 07:00:00.000
2595,"AZPS-N/A",2021-05-08 06:00:00.000
2629,"AZPS-N/A",2021-05-08 05:00:00.000
2747,"AZPS-N/A",2021-05-08 04:00:00.000
2878,"AZPS-N/A",2021-05-08 03:00:00.000
3075,"AZPS-N/A",2021-05-08 02:00:00.000
3371,"AZPS-N/A",2021-05-08 01:00:00.000
3694,"AZPS-N/A",2021-05-08 00:00:00.000
3973,"AZPS-N/A",2021-05-07 23:00:00.000
4200,"AZPS-N/A",2021-05-07 22:00:00.000
4312,"AZPS-N/A",2021-05-07 21:00:00.000
4460,"AZPS-N/A",2021-05-07 20:00:00.000
4515,"AZPS-N/A",2021-05-07 19:00:00.000
4340,"AZPS-N/A",2021-05-07 18:00:00.000
4095,"AZPS-N/A",2021-05-07 17:00:00.000
3941,"AZPS-N/A",2021-05-07 16:00:00.000
3714,"AZPS-N/A",2021-05-07 15:00:00.000
3475,"AZPS-N/A",2021-05-07 14:00:00.000
3268,"AZPS-N/A",2021-05-07 13:00:00.000
3109,"AZPS-N/A",2021-05-07 12:00:00.000
3011,"AZPS-N/A",2021-05-07 11:00:00.000
2953,"AZPS-N/A",2021-05-07 10:00:00.000
2940,"AZPS-N/A",2021-05-07 09:00:00.000
2890,"AZPS-N/A",2021-05-07 08:00:00.000
2807,"AZPS-N/A",2021-05-07 07:00:00.000
2725,"AZPS-N/A",2021-05-07 06:00:00.000
2731,"AZPS-N/A",2021-05-07 05:00:00.000
2842,"AZPS-N/A",2021-05-07 04:00:00.000
2995,"AZPS-N/A",2021-05-07 03:00:00.000
3215,"AZPS-N/A",2021-05-07 02:00:00.000
3512,"AZPS-N/A",2021-05-07 01:00:00.000
3917,"AZPS-N/A",2021-05-07 00:00:00.000
4302,"AZPS-N/A",2021-05-06 23:00:00.000
4604,"AZPS-N/A",2021-05-06 22:00:00.000
4731,"AZPS-N/A",2021-05-06 21:00:00.000
4903,"AZPS-N/A",2021-05-06 20:00:00.000
4947,"AZPS-N/A",2021-05-06 19:00:00.000
4765,"AZPS-N/A",2021-05-06 18:00:00.000
4474,"AZPS-N/A",2021-05-06 17:00:00.000
4273,"AZPS-N/A",2021-05-06 16:00:00.000
3956,"AZPS-N/A",2021-05-06 15:00:00.000
3618,"AZPS-N/A",2021-05-06 14:00:00.000
3332,"AZPS-N/A",2021-05-06 13:00:00.000
3124,"AZPS-N/A",2021-05-06 12:00:00.000
2986,"AZPS-N/A",2021-05-06 11:00:00.000
2910,"AZPS-N/A",2021-05-06 10:00:00.000
2920,"AZPS-N/A",2021-05-06 09:00:00.000
2863,"AZPS-N/A",2021-05-06 08:00:00.000
2766,"AZPS-N/A",2021-05-06 07:00:00.000
2670,"AZPS-N/A",2021-05-06 06:00:00.000
2663,"AZPS-N/A",2021-05-06 05:00:00.000
2712,"AZPS-N/A",2021-05-06 04:00:00.000
2846,"AZPS-N/A",2021-05-06 03:00:00.000
3021,"AZPS-N/A",2021-05-06 02:00:00.000
3281,"AZPS-N/A",2021-05-06 01:00:00.000
3638,"AZPS-N/A",2021-05-06 00:00:00.000
4019,"AZPS-N/A",2021-05-05 23:00:00.000
4347,"AZPS-N/A",2021-05-05 22:00:00.000
4475,"AZPS-N/A",2021-05-05 21:00:00.000
4635,"AZPS-N/A",2021-05-05 20:00:00.000
4648,"AZPS-N/A",2021-05-05 19:00:00.000
4495,"AZPS-N/A",2021-05-05 18:00:00.000
4431,"AZPS-N/A",2021-05-05 17:00:00.000
4100,"AZPS-N/A",2021-05-05 16:00:00.000
