Quarter_Date,Google_Revenue(Millions$US)
2020-12-31 00:00:00.000,56898
2020-09-30 00:00:00.000,46173
2020-06-30 00:00:00.000,38297
2020-03-31 00:00:00.000,41159
2019-12-31 00:00:00.000,46075
2019-09-30 00:00:00.000,40499
2019-06-30 00:00:00.000,38944
2019-03-31 00:00:00.000,36339
2018-12-31 00:00:00.000,39276
2018-09-30 00:00:00.000,33740
2018-06-30 00:00:00.000,32657
2018-03-31 00:00:00.000,31146
2017-12-31 00:00:00.000,32323
2017-09-30 00:00:00.000,27772
2017-06-30 00:00:00.000,26010
2017-03-31 00:00:00.000,24750
2016-12-31 00:00:00.000,26064
2016-09-30 00:00:00.000,22451
2016-06-30 00:00:00.000,21500
2016-03-31 00:00:00.000,20257
2015-12-31 00:00:00.000,21329
2015-09-30 00:00:00.000,18675
2015-06-30 00:00:00.000,17727
2015-03-31 00:00:00.000,17258
2014-12-31 00:00:00.000,18103
2014-09-30 00:00:00.000,16523
2014-06-30 00:00:00.000,15955
2014-03-31 00:00:00.000,15420
2013-12-31 00:00:00.000,15707
2013-09-30 00:00:00.000,13754
2013-06-30 00:00:00.000,13107
2013-03-31 00:00:00.000,12951
2012-12-31 00:00:00.000,10283
2012-09-30 00:00:00.000,13304
2012-06-30 00:00:00.000,11807
2012-03-31 00:00:00.000,10645
2011-12-31 00:00:00.000,10584
2011-09-30 00:00:00.000,9720
2011-06-30 00:00:00.000,9026
2011-03-31 00:00:00.000,8575
2010-12-31 00:00:00.000,8440
2010-09-30 00:00:00.000,7286
2010-06-30 00:00:00.000,6820
2010-03-31 00:00:00.000,6775
2009-12-31 00:00:00.000,6674
2009-09-30 00:00:00.000,5945
2009-06-30 00:00:00.000,5523
2009-03-31 00:00:00.000,5509
2008-12-31 00:00:00.000,5701
2008-09-30 00:00:00.000,5541
2008-06-30 00:00:00.000,5367
2008-03-31 00:00:00.000,5186
2007-12-31 00:00:00.000,4827
2007-09-30 00:00:00.000,4231
2007-06-30 00:00:00.000,3872
2007-03-31 00:00:00.000,3664
2006-12-31 00:00:00.000,3206
2006-09-30 00:00:00.000,2690
2006-06-30 00:00:00.000,2456
2006-03-31 00:00:00.000,2254
2005-12-31 00:00:00.000,1919
2005-09-30 00:00:00.000,1578
2005-06-30 00:00:00.000,1384
2005-03-31 00:00:00.000,1257
