Year,Name,Rank,Ranking,Gender,Ranking (groups)
1904,"Alan",62,-62,"Boys","51-70"
1904,"Albert",9,-9,"Boys","1-10"
1904,"Alec",90,-90,"Boys","71-100"
1904,"Alexander",42,-42,"Boys","31-50"
1904,"Alfred",11,-11,"Boys","11-20"
1904,"Allan",92,-92,"Boys","71-100"
1904,"Andrew",71,-71,"Boys","71-100"
1904,"Anthony",91,-91,"Boys","71-100"
1904,"Archibald",60,-60,"Boys","51-70"
1904,"Arnold",75,-75,"Boys","71-100"
1904,"Arthur",5,-5,"Boys","1-10"
1904,"Benjamin",53,-53,"Boys","51-70"
1904,"Bernard",45,-45,"Boys","31-50"
1904,"Bertie",69,-69,"Boys","51-70"
1904,"Bertram",74,-74,"Boys","71-100"
1904,"Cecil",34,-34,"Boys","31-50"
1904,"Charles",7,-7,"Boys","1-10"
1904,"Christopher",61,-61,"Boys","51-70"
1904,"Clarence",77,-77,"Boys","71-100"
1904,"Claude",83,-83,"Boys","71-100"
1904,"Clifford",43,-43,"Boys","31-50"
1904,"Colin",96,-96,"Boys","71-100"
1904,"Cyril",26,-26,"Boys","21-30"
1904,"Daniel",57,-57,"Boys","51-70"
1904,"David",30,-30,"Boys","21-30"
1904,"Denis",98,-98,"Boys","71-100"
1904,"Dennis",87,-87,"Boys","71-100"
1904,"Donald",51,-51,"Boys","51-70"
1904,"Douglas",54,-54,"Boys","51-70"
1904,"Edgar",49,-49,"Boys","31-50"
1904,"Edmund",76,-76,"Boys","71-100"
1904,"Edward",12,-12,"Boys","11-20"
1904,"Edwin",40,-40,"Boys","31-50"
1904,"Eric",35,-35,"Boys","31-50"
1904,"Ernest",10,-10,"Boys","1-10"
1904,"Evan",88,-88,"Boys","71-100"
1904,"Francis",28,-28,"Boys","21-30"
1904,"Frank",16,-16,"Boys","11-20"
1904,"Fred",38,-38,"Boys","31-50"
1904,"Frederick",8,-8,"Boys","1-10"
1904,"Geoffrey",58,-58,"Boys","51-70"
1904,"George",3,-3,"Boys","1-10"
1904,"Gerald",68,-68,"Boys","51-70"
1904,"Gilbert",64,-64,"Boys","51-70"
1904,"Gordon",82,-82,"Boys","71-100"
1904,"Harold",14,-14,"Boys","11-20"
1904,"Harry",18,-18,"Boys","11-20"
1904,"Hector",89,-89,"Boys","71-100"
1904,"Henry",17,-17,"Boys","11-20"
1904,"Herbert",21,-21,"Boys","21-30"
1904,"Horace",37,-37,"Boys","31-50"
1904,"Howard",95,-95,"Boys","71-100"
1904,"Hubert",65,-65,"Boys","51-70"
1904,"Hugh",55,-55,"Boys","51-70"
1904,"Ivor",79,-79,"Boys","71-100"
1904,"Jack",39,-39,"Boys","31-50"
1904,"James",6,-6,"Boys","1-10"
1904,"Jesse",100,-100,"Boys","71-100"
1904,"John",2,-2,"Boys","1-10"
1904,"Joseph",13,-13,"Boys","11-20"
1904,"Kenneth",52,-52,"Boys","51-70"
1904,"Laurence",99,-99,"Boys","71-100"
1904,"Lawrence",56,-56,"Boys","51-70"
1904,"Leonard",22,-22,"Boys","21-30"
1904,"Leslie",24,-24,"Boys","21-30"
1904,"Lewis",70,-70,"Boys","51-70"
1904,"Lionel",86,-86,"Boys","71-100"
1904,"Louis",78,-78,"Boys","71-100"
1904,"Mark",81,-81,"Boys","71-100"
1904,"Martin",85,-85,"Boys","71-100"
1904,"Matthew",84,-84,"Boys","71-100"
1904,"Maurice",50,-50,"Boys","31-50"
1904,"Michael",46,-46,"Boys","31-50"
1904,"Morris",97,-97,"Boys","71-100"
1904,"Norman",33,-33,"Boys","31-50"
1904,"Oliver",93,-93,"Boys","71-100"
1904,"Owen",94,-94,"Boys","71-100"
1904,"Patrick",44,-44,"Boys","31-50"
1904,"Percival",72,-72,"Boys","71-100"
1904,"Percy",29,-29,"Boys","21-30"
1904,"Peter",59,-59,"Boys","51-70"
1904,"Philip",48,-48,"Boys","31-50"
1904,"Ralph",66,-66,"Boys","51-70"
1904,"Raymond",73,-73,"Boys","71-100"
1904,"Reginald",20,-20,"Boys","11-20"
1904,"Richard",25,-25,"Boys","21-30"
1904,"Robert",15,-15,"Boys","11-20"
1904,"Roland",80,-80,"Boys","71-100"
1904,"Ronald",41,-41,"Boys","31-50"
1904,"Samuel",32,-32,"Boys","31-50"
1904,"Sidney",27,-27,"Boys","21-30"
1904,"Stanley",23,-23,"Boys","21-30"
1904,"Stephen",67,-67,"Boys","51-70"
1904,"Sydney",36,-36,"Boys","31-50"
1904,"Thomas",4,-4,"Boys","1-10"
1904,"Tom",63,-63,"Boys","51-70"
1904,"Victor",47,-47,"Boys","31-50"
1904,"Walter",19,-19,"Boys","11-20"
1904,"Wilfred",31,-31,"Boys","31-50"
1904,"William",1,-1,"Boys","1-10"
1914,"Alan",58,-58,"Boys","51-70"
1914,"Albert",8,-8,"Boys","1-10"
1914,"Alec",84,-84,"Boys","71-100"
1914,"Alexander",53,-53,"Boys","51-70"
1914,"Alfred",14,-14,"Boys","11-20"
1914,"Allan",89,-89,"Boys","71-100"
1914,"Andrew",67,-67,"Boys","51-70"
1914,"Anthony",76,-76,"Boys","71-100"
1914,"Archibald",88,-88,"Boys","71-100"
1914,"Arnold",75,-75,"Boys","71-100"
1914,"Arthur",6,-6,"Boys","1-10"
1914,"Basil",92,-92,"Boys","71-100"
1914,"Benjamin",63,-63,"Boys","51-70"
1914,"Bernard",40,-40,"Boys","31-50"
1914,"Bertram",77,-77,"Boys","71-100"
1914,"Cecil",46,-46,"Boys","31-50"
1914,"Charles",9,-9,"Boys","1-10"
1914,"Christopher",66,-66,"Boys","51-70"
1914,"Clarence",90,-90,"Boys","71-100"
1914,"Claude",97,-97,"Boys","71-100"
1914,"Clifford",45,-45,"Boys","31-50"
1914,"Colin",82,-82,"Boys","71-100"
1914,"Cyril",29,-29,"Boys","21-30"
1914,"Daniel",59,-59,"Boys","51-70"
1914,"David",32,-32,"Boys","31-50"
1914,"Denis",69,-69,"Boys","51-70"
1914,"Dennis",56,-56,"Boys","51-70"
1914,"Donald",41,-41,"Boys","31-50"
1914,"Douglas",57,-57,"Boys","51-70"
1914,"Edgar",65,-65,"Boys","51-70"
1914,"Edmund",80,-80,"Boys","71-100"
1914,"Edward",11,-11,"Boys","11-20"
1914,"Edwin",50,-50,"Boys","31-50"
1914,"Eric",27,-27,"Boys","21-30"
1914,"Ernest",13,-13,"Boys","11-20"
1914,"Evan",96,-96,"Boys","71-100"
1914,"Francis",34,-34,"Boys","31-50"
1914,"Frank",15,-15,"Boys","11-20"
1914,"Fred",47,-47,"Boys","31-50"
1914,"Frederick",7,-7,"Boys","1-10"
1914,"Geoffrey",55,-55,"Boys","51-70"
1914,"George",3,-3,"Boys","1-10"
1914,"Gerald",70,-70,"Boys","51-70"
1914,"Gilbert",72,-72,"Boys","71-100"
1914,"Gordon",54,-54,"Boys","51-70"
1914,"Harold",18,-18,"Boys","11-20"
1914,"Harry",19,-19,"Boys","11-20"
1914,"Henry",16,-16,"Boys","11-20"
1914,"Herbert",25,-25,"Boys","21-30"
1914,"Horace",43,-43,"Boys","31-50"
1914,"Howard",95,-95,"Boys","71-100"
1914,"Hubert",71,-71,"Boys","71-100"
1914,"Hugh",61,-61,"Boys","51-70"
1914,"Ivor",73,-73,"Boys","71-100"
1914,"Jack",30,-30,"Boys","21-30"
1914,"James",5,-5,"Boys","1-10"
1914,"John",1,-1,"Boys","1-10"
1914,"Joseph",12,-12,"Boys","11-20"
1914,"Kenneth",33,-33,"Boys","31-50"
1914,"Laurence",87,-87,"Boys","71-100"
1914,"Lawrence",62,-62,"Boys","51-70"
1914,"Leonard",20,-20,"Boys","11-20"
1914,"Leslie",17,-17,"Boys","11-20"
1914,"Lewis",78,-78,"Boys","71-100"
1914,"Lionel",81,-81,"Boys","71-100"
1914,"Louis",79,-79,"Boys","71-100"
1914,"Martin",86,-86,"Boys","71-100"
1914,"Matthew",85,-85,"Boys","71-100"
1914,"Maurice",48,-48,"Boys","31-50"
1914,"Michael",39,-39,"Boys","31-50"
1914,"Norman",28,-28,"Boys","21-30"
1914,"Owen",98,-98,"Boys","71-100"
1914,"Patrick",38,-38,"Boys","31-50"
1914,"Paul",93,-93,"Boys","71-100"
1914,"Percival",94,-94,"Boys","71-100"
1914,"Percy",44,-44,"Boys","31-50"
1914,"Peter",42,-42,"Boys","31-50"
1914,"Philip",52,-52,"Boys","51-70"
1914,"Phillip",99,-99,"Boys","71-100"
1914,"Ralph",60,-60,"Boys","51-70"
1914,"Raymond",51,-51,"Boys","51-70"
1914,"Reginald",24,-24,"Boys","21-30"
1914,"Richard",26,-26,"Boys","21-30"
1914,"Robert",10,-10,"Boys","1-10"
1914,"Roland",83,-83,"Boys","71-100"
1914,"Ronald",21,-21,"Boys","21-30"
1914,"Roy",64,-64,"Boys","51-70"
1914,"Samuel",36,-36,"Boys","31-50"
1914,"Sidney",31,-31,"Boys","31-50"
1914,"Stanley",22,-22,"Boys","21-30"
1914,"Stephen",68,-68,"Boys","51-70"
1914,"Sydney",37,-37,"Boys","31-50"
1914,"Thomas",4,-4,"Boys","1-10"
1914,"Tom",74,-74,"Boys","71-100"
1914,"Trevor",100,-100,"Boys","71-100"
1914,"Victor",49,-49,"Boys","31-50"
1914,"Vincent",91,-91,"Boys","71-100"
1914,"Walter",23,-23,"Boys","21-30"
1914,"Wilfred",35,-35,"Boys","31-50"
1914,"William",2,-2,"Boys","1-10"
1924,"Alan",37,-37,"Boys","31-50"
1924,"Albert",13,-13,"Boys","11-20"
1924,"Alec",94,-94,"Boys","71-100"
1924,"Alexander",54,-54,"Boys","51-70"
1924,"Alfred",27,-27,"Boys","21-30"
1924,"Allan",75,-75,"Boys","71-100"
1924,"Andrew",73,-73,"Boys","71-100"
1924,"Anthony",49,-49,"Boys","31-50"
1924,"Arnold",81,-81,"Boys","71-100"
1924,"Arthur",9,-9,"Boys","1-10"
1924,"Basil",80,-80,"Boys","71-100"
1924,"Benjamin",83,-83,"Boys","71-100"
1924,"Bernard",42,-42,"Boys","31-50"
1924,"Brian",66,-66,"Boys","51-70"
1924,"Cecil",60,-60,"Boys","51-70"
1924,"Charles",14,-14,"Boys","11-20"
1924,"Christopher",69,-69,"Boys","51-70"
1924,"Clifford",48,-48,"Boys","31-50"
1924,"Colin",61,-61,"Boys","51-70"
1924,"Cyril",35,-35,"Boys","31-50"
1924,"Daniel",72,-72,"Boys","71-100"
1924,"David",21,-21,"Boys","21-30"
1924,"Denis",58,-58,"Boys","51-70"
1924,"Dennis",20,-20,"Boys","11-20"
1924,"Derek",52,-52,"Boys","51-70"
1924,"Derrick",74,-74,"Boys","71-100"
1924,"Desmond",65,-65,"Boys","51-70"
1924,"Donald",29,-29,"Boys","21-30"
1924,"Douglas",38,-38,"Boys","31-50"
1924,"Edgar",84,-84,"Boys","71-100"
1924,"Edmund",96,-96,"Boys","71-100"
1924,"Edward",12,-12,"Boys","11-20"
1924,"Edwin",56,-56,"Boys","51-70"
1924,"Eric",18,-18,"Boys","11-20"
1924,"Ernest",23,-23,"Boys","21-30"
1924,"Francis",43,-43,"Boys","31-50"
1924,"Frank",19,-19,"Boys","11-20"
1924,"Fred",63,-63,"Boys","51-70"
1924,"Frederick",10,-10,"Boys","1-10"
1924,"Geoffrey",36,-36,"Boys","31-50"
1924,"George",3,-3,"Boys","1-10"
1924,"Gerald",51,-51,"Boys","51-70"
1924,"Gilbert",95,-95,"Boys","71-100"
1924,"Gordon",39,-39,"Boys","31-50"
1924,"Graham",92,-92,"Boys","71-100"
1924,"Harold",26,-26,"Boys","21-30"
1924,"Harry",30,-30,"Boys","21-30"
1924,"Henry",24,-24,"Boys","21-30"
1924,"Herbert",46,-46,"Boys","31-50"
