Empresa,Pacote,Data de lançamento,variable,value
1100,Pacote 14-Manut.(serv/material)-Frota,2020-12-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 12-Manut.(serv/ materiais)-Civil,2020-09-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 14-Manut.(serv/material)-Frota,2020-09-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 14-Manut.(serv/material)-Frota,2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 01-Alimentaçao Trabalhador,2020-02-01 00:00:00.000,Valor_PacEmpresa,407462.10000000015
4100,Pacote 04-Brindes e doações,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,Pacote 22-Viagens e reembolsos,2020-07-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 01-Alimentaçao Trabalhador,2020-07-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 17-Serv.vigilância/limpeza,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 05-Combustíveis de transporte,2020-11-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 03-Armazenagem,2020-02-01 00:00:00.000,Valor_PacEmpresa,874138.1899999998
3200,Pacote 17-Serv.vigilância/limpeza,2020-03-01 00:00:00.000,Valor_PacEmpresa,565755.7699999998
3100,Pacote 18-Telefonia e internet,2020-07-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,Pacote 21-Utilidades (energia elé/gases),2020-03-01 00:00:00.000,Valor_PacEmpresa,16138.280000000002
4100,Pacote 03-Armazenagem,2020-07-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 01-Alimentaçao Trabalhador,2020-01-01 00:00:00.000,Valor_PacEmpresa,122324.81
1100,Pacote 12-Manut.(serv/ materiais)-Civil,2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 03-Armazenagem,2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
8100,Pacote 15-Mat. expediente e desp.gerais,2020-01-01 00:00:00.000,Valor_PacEmpresa,141.58
4100,Pacote 13-Manut.(serv/material)-Equipam.,2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,Pacote 22-Viagens e reembolsos,2020-02-01 00:00:00.000,Valor_PacEmpresa,1197.53
3200,Pacote 08-Embalagens,2020-01-01 00:00:00.000,Valor_PacEmpresa,557274.79
4100,Pacote 13-Manut.(serv/material)-Equipam.,2020-01-01 00:00:00.000,Valor_PacEmpresa,21828.14
3100,Pacote 03-Armazenagem,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 15-Mat. expediente e desp.gerais,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,Pacote 10-Fretes,2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 02-Aluguéis imóveis máq/e equip,2020-04-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,"Pacote 20-Tributos (federais,estaduais)",2020-02-01 00:00:00.000,Valor_PacEmpresa,1912304.9499999988
3200,Pacote 22-Viagens e reembolsos,2020-09-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 18-Telefonia e internet,2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,"Pacote 16-Mat-prima(suc.,carvão,minerio)",2020-12-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 06-Comissões e PDD,2020-04-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 08-Embalagens,2020-07-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 05-Combustíveis de transporte,2020-03-01 00:00:00.000,Valor_PacEmpresa,240488.7200000001
1100,Pacote 15-Mat. expediente e desp.gerais,2020-10-01 00:00:00.000,Valor_PacEmpresa,0.0
9200,"Pacote 20-Tributos (federais,estaduais)",2020-04-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 15-Mat. expediente e desp.gerais,2020-03-01 00:00:00.000,Valor_PacEmpresa,114590.51
3200,Pacote 17-Serv.vigilância/limpeza,2020-11-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,"Pacote 16-Mat-prima(suc.,carvão,minerio)",2020-12-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 08-Embalagens,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
9200,Pacote 12-Manut.(serv/ materiais)-Civil,2020-07-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 02-Aluguéis imóveis máq/e equip,2020-03-01 00:00:00.000,Valor_PacEmpresa,412562.36
9200,Pacote 02-Aluguéis imóveis máq/e equip,2020-10-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 02-Aluguéis imóveis máq/e equip,2020-11-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 10-Fretes,2020-11-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 14-Manut.(serv/material)-Frota,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,FORA DE PACOTE,2020-05-01 00:00:00.000,Valor_PacEmpresa,11071.45
3100,FORA DE PACOTE,2020-04-01 00:00:00.000,Valor_PacEmpresa,10549.52
8100,Pacote 22-Viagens e reembolsos,2020-12-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,FORA DE PACOTE,2020-11-01 00:00:00.000,Valor_PacEmpresa,6329.71
8100,Pacote 07-Consultorias,2020-08-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 08-Embalagens,2020-09-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,"Pacote 20-Tributos (federais,estaduais)",2020-09-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 18-Telefonia e internet,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 19-Transporte de pessoal,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 17-Serv.vigilância/limpeza,2020-09-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,Pacote 01-Alimentaçao Trabalhador,2020-05-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,Pacote 10-Fretes,2020-02-01 00:00:00.000,Valor_PacEmpresa,373108.41
8100,Pacote 01-Alimentaçao Trabalhador,2020-11-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 21-Utilidades (energia elé/gases),2020-11-01 00:00:00.000,Valor_PacEmpresa,0.0
8100,Pacote 01-Alimentaçao Trabalhador,2020-02-01 00:00:00.000,Valor_PacEmpresa,482.58
4100,Pacote 15-Mat. expediente e desp.gerais,2020-04-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,"Pacote 16-Mat-prima(suc.,carvão,minerio)",2020-02-01 00:00:00.000,Valor_PacEmpresa,201537.96
8100,Pacote 11-Licenças(software) e supriment,2020-10-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 06-Comissões e PDD,2020-07-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,Pacote 15-Mat. expediente e desp.gerais,2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
4100,"Pacote 20-Tributos (federais,estaduais)",2020-12-01 00:00:00.000,Valor_PacEmpresa,0.0
1100,Pacote 17-Serv.vigilância/limpeza,2020-12-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,"Pacote 20-Tributos (federais,estaduais)",2020-06-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 12-Manut.(serv/ materiais)-Civil,2020-04-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 06-Comissões e PDD,2020-02-01 00:00:00.000,Valor_PacEmpresa,417755.57
4100,Pacote 22-Viagens e reembolsos,2020-11-01 00:00:00.000,Valor_PacEmpresa,0.0
3200,"Pacote 20-Tributos (federais,estaduais)",2020-08-01 00:00:00.000,Valor_PacEmpresa,0.0
3100,Pacote 06-Comissões e PDD,2020-10-01 00:00:00.000,Valor_PacEmpresa,0.0
