Student ID,Subject ID,"Total number of classes ",No. of classes attended,Proffessor ID
12001,"SUB001",12,1,"T001"
12001,"SUB002",12,4,"T002"
12001,"SUB003",12,5,"T003"
12002,"SUB004",12,6,"T004"
12002,"SUB005",12,7,"T005"
12002,"SUB006",12,8,"T006"
12003,"SUB007",12,9,"T007"
12003,"SUB008",12,7,"T008"
12003,"SUB009",12,8,"T009"
12004,"SUB010",12,9,"T001"
12004,"SUB011",12,10,"T002"
12004,"SUB012",12,1,"T007"
12005,"SUB013",12,2,"T008"
12005,"SUB014",12,3,"T009"
12005,"SUB015",12,9,"T001"
14001,"SUB016",12,10,"T001"
14001,"SUB017",12,1,"T002"
14001,"SUB018",12,2,"T003"
