id,year,population,against family,aggravated assault,arson,burglary,curfew loitering,disorderly conduct,drug abuse,drunkenness,dui,embezzlement,forgery,fraud,gambling,homicide,larceny,liquor laws,motor vehicle theft,other,other assault,other sex offenses,property crime,prostitution,rape,robbery,stolen property,suspicion,vagrancy,vandalism,violent crime,weapons
1,2016,323127513,88748,383977,9812,207325,34176,369733,1572579,376433,1017808,15937,56661,128531,3705,11788,1050058,234899,86088,3254871,1078808,51063,1353283,38306,23632,95754,93981,576,24851,195951,515151,156777
10,2007,301621157,122812,433945,15242,303853,143002,709105,1841182,589402,1427494,22381,103448,252873,12161,13480,1172762,633654,118231,3931965,1305693,83979,1610088,77607,23307,126715,122061,2176,33666,291575,597447,188891
11,2006,299398484,131491,447948,16582,304801,152907,703504,1889810,553188,1460498,20012,108823,280693,12307,13435,1081157,645734,137757,4022068,1305757,87252,1540297,79673,24535,125605,122722,2482,36471,300679,611523,200782
12,2005,296507061,129128,449297,16337,298835,140835,678231,1846351,556167,1371919,18970,118455,321521,11180,14062,1146696,597838,147459,3863785,1301392,91625,1609327,84891,25528,114616,133856,3764,33227,279562,603503,193469
13,2004,293656842,124936,438033,15504,294645,137398,657637,1746570,552671,1433382,17332,119518,282938,10755,13467,1185619,612528,148429,3815435,1284858,90913,1644197,87872,26066,108992,128529,3554,36404,272522,586558,175776
14,2003,290788976,136034,449933,16163,290956,136461,639371,1678192,548616,1448148,16826,111823,299138,10954,13190,1145074,612079,152934,3665543,1246698,91546,1605127,75190,26350,107553,126775,7163,28948,273431,597026,167972
15,2002,287973924,140286,472290,16635,288291,141252,669938,1538813,572735,1461746,18552,115735,337404,10506,14158,1160085,653819,148943,3662159,1288682,95066,1613954,79733,28288,105774,126422,8899,27295,276697,620510,164446
16,2001,285317559,143683,477809,18749,291444,142889,621394,1586902,618668,1434852,20157,113741,323308,11112,13653,1160821,610591,147451,3618164,1315807,91828,1618465,80854,27270,108400,121972,3955,27935,270645,627132,165896
17,2000,281421906,147663,478417,16530,289844,154711,638740,1579566,637554,1471289,18952,108654,345732,10842,13227,1166362,683124,148225,3710434,1312169,93399,1620928,87620,27469,106130,118641,5682,32542,281305,625132,159181
18,1999,272690813,151200,483530,16800,296100,167200,633100,1532200,656100,1511300,17100,106900,363800,10400,14790,1189400,657900,142200,3728100,1294400,92400,1644500,92100,28830,108850,121900,7500,30000,278200,635990,172400
19,1998,270248003,146400,506630,17200,330700,187800,696100,1559100,710300,1402800,17100,114600,394600,12800,17450,1307100,630400,150700,3824100,1338800,93600,1805600,94000,31070,120870,137900,5200,30400,300200,675900,190600
2,2015,320896618,94837,376154,8834,216010,44802,386078,1488707,405880,1089171,15909,55333,133138,4825,11092,1160390,266250,77979,3218880,1081019,51388,1463213,41877,22863,95572,88576,1389,25151,191015,505681,145358
20,1997,267783607,155800,534920,20000,356000,182700,811100,1583600,734800,1477300,17400,120100,414600,15900,18290,1472600,636400,167000,3884600,1395800,101900,2015600,101600,32060,132450,155300,6500,28800,318400,717750,218900
21,1996,265228572,149800,521570,19000,364800,185100,842600,1506200,718700,1467300,15700,121600,465000,21000,19020,1486300,677400,175400,3786700,1329000,95800,2045600,99000,33050,156270,151100,4900,27800,320900,729900,216200
22,1995,262803276,142900,568480,20000,386500,149800,748600,1476100,708100,1436000,15200,122300,436400,19500,21230,1530200,594900,191900,3865400,1290400,94500,2128600,97700,34650,171870,166500,12100,25900,311100,796250,243900
3,2014,318907401,102336,372685,9394,237974,53654,436014,1561231,414854,1117852,16227,56783,141293,5637,10571,1238190,321125,68422,3274430,1093258,55456,1553980,47598,21007,94403,88946,1310,27380,198400,498666,140713
4,2013,316497531,101247,358860,10509,252629,56371,467993,1501043,443527,1166824,15730,60969,143528,6024,10231,1231580,354872,64566,3282651,1097741,57925,1559284,48620,16863,94406,92691,1096,25755,201168,480360,137779
5,2012,313873685,107018,388362,11433,283582,70190,543995,1552432,511271,1282957,16023,67046,153535,7868,11075,1282352,441532,68845,3448856,1199476,68355,1646212,56575,18098,103661,97670,1532,27003,228463,521196,149286
6,2011,311587816,116723,397707,11776,296707,76942,582158,1531251,534218,1215077,16190,70211,168217,8596,10832,1264986,500648,66414,3532195,1241722,69225,1639883,57345,19491,106674,93234,1424,29203,237638,534704,153519
7,2010,309330219,111062,408488,11296,289769,94797,615172,1638846,560718,1412223,16616,78101,187887,9941,11201,1271410,512790,71487,3720402,1292449,72628,1643962,62668,20088,112300,94802,1166,32033,252753,552077,159020
8,2009,307006550,114564,421215,12204,299351,112593,655322,1663582,594300,1440409,17920,85844,210255,10360,12418,1334933,570333,81797,3764672,1319458,77326,1728285,71355,21407,126725,105303,1975,33388,270439,581765,166334
9,2008,304059724,118419,429969,14125,308479,133063,685985,1702537,611069,1483396,21402,90127,234199,9811,12955,1266706,625939,98035,3835083,1298342,79914,1687345,75004,22584,129403,111319,1650,33852,285012,594911,179661
