Date,Year,MonthNr,YearMonth,Day,Month,Month short,DayInWeek,DayOfWeekName,WeekStart,WeekEnding,WeekofYear
1991-03-05 00:00:00.000,"1991",3,"199103",5,"March","Mar",2,"Tuesday",1991-03-04 00:00:00.000,1991-03-10 00:00:00.000,10
1991-03-12 00:00:00.000,"1991",3,"199103",12,"March","Mar",2,"Tuesday",1991-03-11 00:00:00.000,1991-03-17 00:00:00.000,11
1991-03-19 00:00:00.000,"1991",3,"199103",19,"March","Mar",2,"Tuesday",1991-03-18 00:00:00.000,1991-03-24 00:00:00.000,12
1991-03-26 00:00:00.000,"1991",3,"199103",26,"March","Mar",2,"Tuesday",1991-03-25 00:00:00.000,1991-03-31 00:00:00.000,13
1992-03-03 00:00:00.000,"1992",3,"199203",3,"March","Mar",2,"Tuesday",1992-03-02 00:00:00.000,1992-03-08 00:00:00.000,10
1992-03-10 00:00:00.000,"1992",3,"199203",10,"March","Mar",2,"Tuesday",1992-03-09 00:00:00.000,1992-03-15 00:00:00.000,11
1992-03-17 00:00:00.000,"1992",3,"199203",17,"March","Mar",2,"Tuesday",1992-03-16 00:00:00.000,1992-03-22 00:00:00.000,12
1992-03-24 00:00:00.000,"1992",3,"199203",24,"March","Mar",2,"Tuesday",1992-03-23 00:00:00.000,1992-03-29 00:00:00.000,13
1992-03-31 00:00:00.000,"1992",3,"199203",31,"March","Mar",2,"Tuesday",1992-03-30 00:00:00.000,1992-04-05 00:00:00.000,14
1993-03-02 00:00:00.000,"1993",3,"199303",2,"March","Mar",2,"Tuesday",1993-03-01 00:00:00.000,1993-03-07 00:00:00.000,10
1993-03-09 00:00:00.000,"1993",3,"199303",9,"March","Mar",2,"Tuesday",1993-03-08 00:00:00.000,1993-03-14 00:00:00.000,11
1993-03-16 00:00:00.000,"1993",3,"199303",16,"March","Mar",2,"Tuesday",1993-03-15 00:00:00.000,1993-03-21 00:00:00.000,12
1993-03-23 00:00:00.000,"1993",3,"199303",23,"March","Mar",2,"Tuesday",1993-03-22 00:00:00.000,1993-03-28 00:00:00.000,13
1993-03-30 00:00:00.000,"1993",3,"199303",30,"March","Mar",2,"Tuesday",1993-03-29 00:00:00.000,1993-04-04 00:00:00.000,14
1994-03-01 00:00:00.000,"1994",3,"199403",1,"March","Mar",2,"Tuesday",1994-02-28 00:00:00.000,1994-03-06 00:00:00.000,10
1994-03-08 00:00:00.000,"1994",3,"199403",8,"March","Mar",2,"Tuesday",1994-03-07 00:00:00.000,1994-03-13 00:00:00.000,11
1994-03-15 00:00:00.000,"1994",3,"199403",15,"March","Mar",2,"Tuesday",1994-03-14 00:00:00.000,1994-03-20 00:00:00.000,12
1994-03-22 00:00:00.000,"1994",3,"199403",22,"March","Mar",2,"Tuesday",1994-03-21 00:00:00.000,1994-03-27 00:00:00.000,13
1994-03-29 00:00:00.000,"1994",3,"199403",29,"March","Mar",2,"Tuesday",1994-03-28 00:00:00.000,1994-04-03 00:00:00.000,14
1995-03-07 00:00:00.000,"1995",3,"199503",7,"March","Mar",2,"Tuesday",1995-03-06 00:00:00.000,1995-03-12 00:00:00.000,11
1995-03-14 00:00:00.000,"1995",3,"199503",14,"March","Mar",2,"Tuesday",1995-03-13 00:00:00.000,1995-03-19 00:00:00.000,12
1995-03-21 00:00:00.000,"1995",3,"199503",21,"March","Mar",2,"Tuesday",1995-03-20 00:00:00.000,1995-03-26 00:00:00.000,13
1995-03-28 00:00:00.000,"1995",3,"199503",28,"March","Mar",2,"Tuesday",1995-03-27 00:00:00.000,1995-04-02 00:00:00.000,14
1996-03-05 00:00:00.000,"1996",3,"199603",5,"March","Mar",2,"Tuesday",1996-03-04 00:00:00.000,1996-03-10 00:00:00.000,10
1996-03-12 00:00:00.000,"1996",3,"199603",12,"March","Mar",2,"Tuesday",1996-03-11 00:00:00.000,1996-03-17 00:00:00.000,11
1996-03-19 00:00:00.000,"1996",3,"199603",19,"March","Mar",2,"Tuesday",1996-03-18 00:00:00.000,1996-03-24 00:00:00.000,12
1996-03-26 00:00:00.000,"1996",3,"199603",26,"March","Mar",2,"Tuesday",1996-03-25 00:00:00.000,1996-03-31 00:00:00.000,13
1997-03-04 00:00:00.000,"1997",3,"199703",4,"March","Mar",2,"Tuesday",1997-03-03 00:00:00.000,1997-03-09 00:00:00.000,10
1997-03-11 00:00:00.000,"1997",3,"199703",11,"March","Mar",2,"Tuesday",1997-03-10 00:00:00.000,1997-03-16 00:00:00.000,11
1997-03-18 00:00:00.000,"1997",3,"199703",18,"March","Mar",2,"Tuesday",1997-03-17 00:00:00.000,1997-03-23 00:00:00.000,12
1997-03-25 00:00:00.000,"1997",3,"199703",25,"March","Mar",2,"Tuesday",1997-03-24 00:00:00.000,1997-03-30 00:00:00.000,13
1998-03-03 00:00:00.000,"1998",3,"199803",3,"March","Mar",2,"Tuesday",1998-03-02 00:00:00.000,1998-03-08 00:00:00.000,10
1998-03-10 00:00:00.000,"1998",3,"199803",10,"March","Mar",2,"Tuesday",1998-03-09 00:00:00.000,1998-03-15 00:00:00.000,11
1998-03-17 00:00:00.000,"1998",3,"199803",17,"March","Mar",2,"Tuesday",1998-03-16 00:00:00.000,1998-03-22 00:00:00.000,12
1998-03-24 00:00:00.000,"1998",3,"199803",24,"March","Mar",2,"Tuesday",1998-03-23 00:00:00.000,1998-03-29 00:00:00.000,13
1998-03-31 00:00:00.000,"1998",3,"199803",31,"March","Mar",2,"Tuesday",1998-03-30 00:00:00.000,1998-04-05 00:00:00.000,14
1999-03-02 00:00:00.000,"1999",3,"199903",2,"March","Mar",2,"Tuesday",1999-03-01 00:00:00.000,1999-03-07 00:00:00.000,10
1999-03-09 00:00:00.000,"1999",3,"199903",9,"March","Mar",2,"Tuesday",1999-03-08 00:00:00.000,1999-03-14 00:00:00.000,11
1999-03-16 00:00:00.000,"1999",3,"199903",16,"March","Mar",2,"Tuesday",1999-03-15 00:00:00.000,1999-03-21 00:00:00.000,12
1999-03-23 00:00:00.000,"1999",3,"199903",23,"March","Mar",2,"Tuesday",1999-03-22 00:00:00.000,1999-03-28 00:00:00.000,13
1999-03-30 00:00:00.000,"1999",3,"199903",30,"March","Mar",2,"Tuesday",1999-03-29 00:00:00.000,1999-04-04 00:00:00.000,14
2000-03-07 00:00:00.000,"2000",3,"200003",7,"March","Mar",2,"Tuesday",2000-03-06 00:00:00.000,2000-03-12 00:00:00.000,11
2000-03-14 00:00:00.000,"2000",3,"200003",14,"March","Mar",2,"Tuesday",2000-03-13 00:00:00.000,2000-03-19 00:00:00.000,12
2000-03-21 00:00:00.000,"2000",3,"200003",21,"March","Mar",2,"Tuesday",2000-03-20 00:00:00.000,2000-03-26 00:00:00.000,13
2000-03-28 00:00:00.000,"2000",3,"200003",28,"March","Mar",2,"Tuesday",2000-03-27 00:00:00.000,2000-04-02 00:00:00.000,14
2001-03-06 00:00:00.000,"2001",3,"200103",6,"March","Mar",2,"Tuesday",2001-03-05 00:00:00.000,2001-03-11 00:00:00.000,10
2001-03-13 00:00:00.000,"2001",3,"200103",13,"March","Mar",2,"Tuesday",2001-03-12 00:00:00.000,2001-03-18 00:00:00.000,11
2001-03-20 00:00:00.000,"2001",3,"200103",20,"March","Mar",2,"Tuesday",2001-03-19 00:00:00.000,2001-03-25 00:00:00.000,12
2001-03-27 00:00:00.000,"2001",3,"200103",27,"March","Mar",2,"Tuesday",2001-03-26 00:00:00.000,2001-04-01 00:00:00.000,13
2002-03-05 00:00:00.000,"2002",3,"200203",5,"March","Mar",2,"Tuesday",2002-03-04 00:00:00.000,2002-03-10 00:00:00.000,10
2002-03-12 00:00:00.000,"2002",3,"200203",12,"March","Mar",2,"Tuesday",2002-03-11 00:00:00.000,2002-03-17 00:00:00.000,11
2002-03-19 00:00:00.000,"2002",3,"200203",19,"March","Mar",2,"Tuesday",2002-03-18 00:00:00.000,2002-03-24 00:00:00.000,12
2002-03-26 00:00:00.000,"2002",3,"200203",26,"March","Mar",2,"Tuesday",2002-03-25 00:00:00.000,2002-03-31 00:00:00.000,13
2003-03-04 00:00:00.000,"2003",3,"200303",4,"March","Mar",2,"Tuesday",2003-03-03 00:00:00.000,2003-03-09 00:00:00.000,10
2003-03-11 00:00:00.000,"2003",3,"200303",11,"March","Mar",2,"Tuesday",2003-03-10 00:00:00.000,2003-03-16 00:00:00.000,11
2003-03-18 00:00:00.000,"2003",3,"200303",18,"March","Mar",2,"Tuesday",2003-03-17 00:00:00.000,2003-03-23 00:00:00.000,12
2003-03-25 00:00:00.000,"2003",3,"200303",25,"March","Mar",2,"Tuesday",2003-03-24 00:00:00.000,2003-03-30 00:00:00.000,13
2004-03-02 00:00:00.000,"2004",3,"200403",2,"March","Mar",2,"Tuesday",2004-03-01 00:00:00.000,2004-03-07 00:00:00.000,10
2004-03-09 00:00:00.000,"2004",3,"200403",9,"March","Mar",2,"Tuesday",2004-03-08 00:00:00.000,2004-03-14 00:00:00.000,11
2004-03-16 00:00:00.000,"2004",3,"200403",16,"March","Mar",2,"Tuesday",2004-03-15 00:00:00.000,2004-03-21 00:00:00.000,12
2004-03-23 00:00:00.000,"2004",3,"200403",23,"March","Mar",2,"Tuesday",2004-03-22 00:00:00.000,2004-03-28 00:00:00.000,13
2004-03-30 00:00:00.000,"2004",3,"200403",30,"March","Mar",2,"Tuesday",2004-03-29 00:00:00.000,2004-04-04 00:00:00.000,14
2005-03-01 00:00:00.000,"2005",3,"200503",1,"March","Mar",2,"Tuesday",2005-02-28 00:00:00.000,2005-03-06 00:00:00.000,10
2005-03-08 00:00:00.000,"2005",3,"200503",8,"March","Mar",2,"Tuesday",2005-03-07 00:00:00.000,2005-03-13 00:00:00.000,11
2005-03-15 00:00:00.000,"2005",3,"200503",15,"March","Mar",2,"Tuesday",2005-03-14 00:00:00.000,2005-03-20 00:00:00.000,12
2005-03-22 00:00:00.000,"2005",3,"200503",22,"March","Mar",2,"Tuesday",2005-03-21 00:00:00.000,2005-03-27 00:00:00.000,13
2005-03-29 00:00:00.000,"2005",3,"200503",29,"March","Mar",2,"Tuesday",2005-03-28 00:00:00.000,2005-04-03 00:00:00.000,14
2006-03-07 00:00:00.000,"2006",3,"200603",7,"March","Mar",2,"Tuesday",2006-03-06 00:00:00.000,2006-03-12 00:00:00.000,11
2006-03-14 00:00:00.000,"2006",3,"200603",14,"March","Mar",2,"Tuesday",2006-03-13 00:00:00.000,2006-03-19 00:00:00.000,12
2006-03-21 00:00:00.000,"2006",3,"200603",21,"March","Mar",2,"Tuesday",2006-03-20 00:00:00.000,2006-03-26 00:00:00.000,13
2006-03-28 00:00:00.000,"2006",3,"200603",28,"March","Mar",2,"Tuesday",2006-03-27 00:00:00.000,2006-04-02 00:00:00.000,14
2007-03-06 00:00:00.000,"2007",3,"200703",6,"March","Mar",2,"Tuesday",2007-03-05 00:00:00.000,2007-03-11 00:00:00.000,10
2007-03-13 00:00:00.000,"2007",3,"200703",13,"March","Mar",2,"Tuesday",2007-03-12 00:00:00.000,2007-03-18 00:00:00.000,11
2007-03-20 00:00:00.000,"2007",3,"200703",20,"March","Mar",2,"Tuesday",2007-03-19 00:00:00.000,2007-03-25 00:00:00.000,12
2007-03-27 00:00:00.000,"2007",3,"200703",27,"March","Mar",2,"Tuesday",2007-03-26 00:00:00.000,2007-04-01 00:00:00.000,13
2008-03-04 00:00:00.000,"2008",3,"200803",4,"March","Mar",2,"Tuesday",2008-03-03 00:00:00.000,2008-03-09 00:00:00.000,10
2008-03-11 00:00:00.000,"2008",3,"200803",11,"March","Mar",2,"Tuesday",2008-03-10 00:00:00.000,2008-03-16 00:00:00.000,11
2008-03-18 00:00:00.000,"2008",3,"200803",18,"March","Mar",2,"Tuesday",2008-03-17 00:00:00.000,2008-03-23 00:00:00.000,12
2008-03-25 00:00:00.000,"2008",3,"200803",25,"March","Mar",2,"Tuesday",2008-03-24 00:00:00.000,2008-03-30 00:00:00.000,13
2009-03-03 00:00:00.000,"2009",3,"200903",3,"March","Mar",2,"Tuesday",2009-03-02 00:00:00.000,2009-03-08 00:00:00.000,10
2009-03-10 00:00:00.000,"2009",3,"200903",10,"March","Mar",2,"Tuesday",2009-03-09 00:00:00.000,2009-03-15 00:00:00.000,11
2009-03-17 00:00:00.000,"2009",3,"200903",17,"March","Mar",2,"Tuesday",2009-03-16 00:00:00.000,2009-03-22 00:00:00.000,12
2009-03-24 00:00:00.000,"2009",3,"200903",24,"March","Mar",2,"Tuesday",2009-03-23 00:00:00.000,2009-03-29 00:00:00.000,13
2009-03-31 00:00:00.000,"2009",3,"200903",31,"March","Mar",2,"Tuesday",2009-03-30 00:00:00.000,2009-04-05 00:00:00.000,14
2010-03-02 00:00:00.000,"2010",3,"201003",2,"March","Mar",2,"Tuesday",2010-03-01 00:00:00.000,2010-03-07 00:00:00.000,10
2010-03-09 00:00:00.000,"2010",3,"201003",9,"March","Mar",2,"Tuesday",2010-03-08 00:00:00.000,2010-03-14 00:00:00.000,11
2010-03-16 00:00:00.000,"2010",3,"201003",16,"March","Mar",2,"Tuesday",2010-03-15 00:00:00.000,2010-03-21 00:00:00.000,12
2010-03-23 00:00:00.000,"2010",3,"201003",23,"March","Mar",2,"Tuesday",2010-03-22 00:00:00.000,2010-03-28 00:00:00.000,13
2010-03-30 00:00:00.000,"2010",3,"201003",30,"March","Mar",2,"Tuesday",2010-03-29 00:00:00.000,2010-04-04 00:00:00.000,14
2011-03-01 00:00:00.000,"2011",3,"201103",1,"March","Mar",2,"Tuesday",2011-02-28 00:00:00.000,2011-03-06 00:00:00.000,10
2011-03-08 00:00:00.000,"2011",3,"201103",8,"March","Mar",2,"Tuesday",2011-03-07 00:00:00.000,2011-03-13 00:00:00.000,11
2011-03-15 00:00:00.000,"2011",3,"201103",15,"March","Mar",2,"Tuesday",2011-03-14 00:00:00.000,2011-03-20 00:00:00.000,12
2011-03-22 00:00:00.000,"2011",3,"201103",22,"March","Mar",2,"Tuesday",2011-03-21 00:00:00.000,2011-03-27 00:00:00.000,13
2011-03-29 00:00:00.000,"2011",3,"201103",29,"March","Mar",2,"Tuesday",2011-03-28 00:00:00.000,2011-04-03 00:00:00.000,14
2012-03-06 00:00:00.000,"2012",3,"201203",6,"March","Mar",2,"Tuesday",2012-03-05 00:00:00.000,2012-03-11 00:00:00.000,11
2012-03-13 00:00:00.000,"2012",3,"201203",13,"March","Mar",2,"Tuesday",2012-03-12 00:00:00.000,2012-03-18 00:00:00.000,12
2012-03-20 00:00:00.000,"2012",3,"201203",20,"March","Mar",2,"Tuesday",2012-03-19 00:00:00.000,2012-03-25 00:00:00.000,13
2012-03-27 00:00:00.000,"2012",3,"201203",27,"March","Mar",2,"Tuesday",2012-03-26 00:00:00.000,2012-04-01 00:00:00.000,14
2013-03-05 00:00:00.000,"2013",3,"201303",5,"March","Mar",2,"Tuesday",2013-03-04 00:00:00.000,2013-03-10 00:00:00.000,10
2013-03-12 00:00:00.000,"2013",3,"201303",12,"March","Mar",2,"Tuesday",2013-03-11 00:00:00.000,2013-03-17 00:00:00.000,11
2013-03-19 00:00:00.000,"2013",3,"201303",19,"March","Mar",2,"Tuesday",2013-03-18 00:00:00.000,2013-03-24 00:00:00.000,12
2013-03-26 00:00:00.000,"2013",3,"201303",26,"March","Mar",2,"Tuesday",2013-03-25 00:00:00.000,2013-03-31 00:00:00.000,13
2014-03-04 00:00:00.000,"2014",3,"201403",4,"March","Mar",2,"Tuesday",2014-03-03 00:00:00.000,2014-03-09 00:00:00.000,10
2014-03-11 00:00:00.000,"2014",3,"201403",11,"March","Mar",2,"Tuesday",2014-03-10 00:00:00.000,2014-03-16 00:00:00.000,11
2014-03-18 00:00:00.000,"2014",3,"201403",18,"March","Mar",2,"Tuesday",2014-03-17 00:00:00.000,2014-03-23 00:00:00.000,12
2014-03-25 00:00:00.000,"2014",3,"201403",25,"March","Mar",2,"Tuesday",2014-03-24 00:00:00.000,2014-03-30 00:00:00.000,13
2015-03-03 00:00:00.000,"2015",3,"201503",3,"March","Mar",2,"Tuesday",2015-03-02 00:00:00.000,2015-03-08 00:00:00.000,10
2015-03-10 00:00:00.000,"2015",3,"201503",10,"March","Mar",2,"Tuesday",2015-03-09 00:00:00.000,2015-03-15 00:00:00.000,11
2015-03-17 00:00:00.000,"2015",3,"201503",17,"March","Mar",2,"Tuesday",2015-03-16 00:00:00.000,2015-03-22 00:00:00.000,12
2015-03-24 00:00:00.000,"2015",3,"201503",24,"March","Mar",2,"Tuesday",2015-03-23 00:00:00.000,2015-03-29 00:00:00.000,13
2015-03-31 00:00:00.000,"2015",3,"201503",31,"March","Mar",2,"Tuesday",2015-03-30 00:00:00.000,2015-04-05 00:00:00.000,14
2016-03-01 00:00:00.000,"2016",3,"201603",1,"March","Mar",2,"Tuesday",2016-02-29 00:00:00.000,2016-03-06 00:00:00.000,10
2016-03-08 00:00:00.000,"2016",3,"201603",8,"March","Mar",2,"Tuesday",2016-03-07 00:00:00.000,2016-03-13 00:00:00.000,11
