year,STATE_NAME,STATE_ABBR,locality,population,aggravated_assault,arson,burglary,homicide,larceny,motor_vehicle_theft,property_crime,rape_legacy,rape_revised,robbery,violent_crime
1995,American Samoa,AS,,,117,12,253,1,124,5,382,4,,4,126
1995,Guam,GM,,,242,30,2149,7,5077,667,7893,112,,127,488
1995,Puerto Rico,PR,,,5509,,27689,864,39960,15989,83638,324,,15753,22450
1995,U.S. Virgin Islands,VI,,,1472,62,2893,21,2903,601,6397,60,,482,2035
1995,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
1995,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
1996,American Samoa,AS,,,142,13,259,4,136,6,401,17,,7,170
1996,Guam,GM,,,231,13,2202,15,4526,745,7473,168,,107,521
1996,Puerto Rico,PR,,,5063,,27866,868,35652,16123,79641,316,,13900,20147
1996,U.S. Virgin Islands,VI,,,,,,,,,,,,,
1996,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
1996,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
1997,American Samoa,AS,,,182,0,254,3,163,11,428,6,,5,196
1997,Guam,GM,,,240,10,2467,11,6010,1078,9555,86,,144,481
1997,Puerto Rico,PR,,,4952,,26942,723,32715,15623,75280,278,,13642,19595
1997,U.S. Virgin Islands,VI,,,,,,,,,,,,,
1997,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
1997,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
1998,American Samoa,AS,,,183,4,234,1,144,12,390,9,,12,205
1998,Guam,GM,,,205,9,1325,9,4554,611,6490,87,,146,447
1998,Puerto Rico,PR,,,4096,,24512,652,30493,15576,70581,243,,11448,16439
1998,U.S. Virgin Islands,VI,,,,,,,,,,,,,
1998,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
1998,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
1999,American Samoa,AS,,,,,,,,,,,,,
1999,Guam,GM,,,,,,,,,,,,,
1999,Puerto Rico,PR,,3889507,3563,,23033,567,30206,14435,67674,223,,9827,14180
1999,U.S. Virgin Islands,VI,,,,,,,,,,,,,
1999,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
1999,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2000,American Samoa,AS,,,143,4,244,4,99,5,348,13,,2,162
2000,Guam,GM,,,,,,,,,,,,,
2000,Puerto Rico,PR,,3808610,2726,,21057,693,28940,12976,62973,228,,8757,12404
2000,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2000,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2000,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2001,American Samoa,AS,,,152,4,215,1,98,10,323,27,,3,183
2001,Guam,GM,,,,,,,,,,,,,
2001,Puerto Rico,PR,,3839810,2473,,19931,744,26140,12643,58714,187,,7999,11403
2001,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2001,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2001,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2002,American Samoa,AS,,,124,2,235,6,98,5,338,22,,2,154
2002,Guam,GM,,,,,,,,,,,,,
2002,Puerto Rico,PR,,3859523,3478,,24737,774,39640,12935,77312,241,,8978,13471
2002,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2002,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2002,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2003,American Samoa,AS,,,102,0,196,3,110,11,317,19,,1,125
2003,Guam,GM,,,,,,,,,,,,,
2003,Puerto Rico,PR,,3878532,3165,,20857,779,36827,12211,69895,204,,7737,11885
2003,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2003,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2003,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2004,American Samoa,AS,,,87,2,192,4,76,6,274,11,,3,105
2004,Guam,GM,,,,,,,,,,,,,
2004,Puerto Rico,PR,,3894855,3023,,18264,793,31681,10128,60073,199,,6030,10045
2004,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2004,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2004,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
2005,American Samoa,AS,,,100,2,159,5,65,4,228,16,,2,123
2005,Guam,GM,,,,,,,,,,,,,
2005,Puerto Rico,PR,,3911810,3094,,17191,766,28976,9299,55466,169,,5550,9579
2005,U.S. Virgin Islands,VI,,,,,,,,,,,,,
2005,U.S. Virgin Islands,VI,St. Croix,,,,,,,,,,,,
2005,U.S. Virgin Islands,VI,St. Thomas,,,,,,,,,,,,
