state_abbr,data_year,population,Gender,Civilian,Officer
AK,1960,226167,Male,28,110
AK,1961,226167,Male,65,204
AK,1962,0,Male,64,123
AK,1963,248000,Male,29,116
AK,1964,260673,Male,33,209
AK,1965,416796,Male,45,125
AK,1966,263131,Male,38,156
AK,1967,272000,Male,44,150
AK,1968,277000,Male,41,150
AK,1969,283000,Male,40,160
AK,1970,308223,Male,42,199
AK,1971,320344,Female,71,20
AK,1971,320344,Male,15,223
AK,1972,329428,Female,138,24
AK,1972,329428,Male,30,449
AK,1973,399145,Female,140,28
AK,1973,399145,Male,24,421
AK,1974,361129,Female,103,23
AK,1974,361129,Male,23,367
AK,1975,356226,Female,103,23
AK,1975,356226,Male,30,352
AK,1976,388712,Female,114,36
AK,1976,388712,Male,15,344
AK,1977,450775,Female,118,35
AK,1977,450775,Male,23,391
AK,1978,451076,Female,185,46
AK,1978,451076,Male,34,518
AK,1979,455041,Female,172,49
AK,1979,455041,Male,40,541
AK,1980,440491,Female,179,52
AK,1980,440491,Male,37,534
AK,1981,588995,Female,223,57
AK,1981,588995,Male,49,569
AK,1982,493282,Female,214,59
AK,1982,493282,Male,42,626
AK,1983,528802,Female,511,63
AK,1983,528802,Male,207,1019
AK,1984,794181,Female,608,103
AK,1984,794181,Male,231,1388
AK,1985,590255,Female,380,67
AK,1985,590255,Male,124,1002
AK,1986,607790,Female,541,95
AK,1986,607790,Male,342,1162
AK,1987,540022,Female,382,68
AK,1987,540022,Male,197,957
AK,1988,515736,Female,405,60
AK,1988,515736,Male,182,903
AK,1989,527000,Female,386,55
AK,1989,527000,Male,150,889
AK,1990,550043,Female,397,72
AK,1990,550043,Male,119,916
AK,1991,572743,Female,457,76
AK,1991,572743,Male,169,1026
AK,1992,593666,Female,435,70
AK,1992,593666,Male,124,973
AK,1993,599791,Female,448,72
AK,1993,599791,Male,168,1013
AK,1994,606000,Female,439,75
AK,1994,606000,Male,139,998
AK,1995,616027,Female,490,85
AK,1995,616027,Male,197,1109
AK,1996,642609,Female,521,88
AK,1996,642609,Male,200,1158
AK,1997,614497,Female,343,78
AK,1997,614497,Male,112,793
AK,1998,622424,Female,466,95
AK,1998,622424,Male,206,1037
AK,1999,619000,Female,495,103
AK,1999,619000,Male,193,1066
AK,2000,631027,Female,481,103
AK,2000,631027,Male,208,1066
AK,2001,646743,Female,471,110
AK,2001,646743,Male,213,1124
AK,2002,678595,Female,509,116
AK,2002,678595,Male,242,1140
