Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
American,155176.716,152796.08,153923.366,155301.719,160438.122,161034.592,153227.272,172206.861177,165214.479987,174002.079436,176102.289893,174026.191439,169910.78422,163537.18089,151779.066994,153245.600723,154323.147642,152626.802673,154496.667169,157598.376225,239368.068213,241732.312653,243824.198011,248574.160131,248841.374873
Continental,54310.197,54998.288,61940.975,70635.774,79433.624,83770.677,81201.582,77193.377475,76085.716692,81506.07266,85674.505802,93619.455643,99141.110539,99157.689203,94433.031736,95004.335862,100453.872405,0,0,0,0,0,0,0,0
Delta,130218.905,133715.498,138831.369,142144.077,144797.441,147220.898,141424.772,131681.806777,120454.614229,129906.876915,133846.693633,125418.489992,127744.601445,128978.258319,122644.119291,200782.859412,203456.507678,200879.775915,204209.504415,212234.999495,220436.969032,225276.441281,228416.396804,238588.032221,251140.475254
Northwest,87672.56,94021.325,97151.683,91443.996,99574.9,103527.138,98564.553,93583.466347,89077.247307,91510.382009,91915.332457,85712.86899,86287.989603,84445.714026,75221.076154,0,0,0,0,0,0,0,0,0,0
United,158569.846,162844.728,169111.014,174008.841,176687.558,175492.53,164850.408,148807.350406,136565.982751,145387.803956,140294.029423,143087.443916,141900.231111,135862.160024,122737.647407,121911.734913,118973.27536,216299.364563,212977.16664,214061.328994,219956.362061,224652.629285,234546.881195,244770.592714,253254.572206
US Airways,58679.219,57348.928,58499.444,56882.446,59247.544,66630.702,66773.353,56409.550039,51564.71835,53991.054908,53430.655494,77327.002575,75834.00518,74149.647985,70722.3182,71583.521914,72597.944496,74204.276983,77890.881718,79912.567417,0,0,0,0,0
America West,19421.451,21624.599,23567.581,24307.13,25907.836,27112.136,26545.945,26994.532884,27871.30037,30153.481475,30502.839292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwest,36841.098,40899.61,44727.922,47619.112,52901.1,59941.22,65538.4,69058.890986,71910.699773,77006.077843,85353.570842,92794.5399,99775.533756,103493.655687,98176.984999,98563.120214,103890.852722,128271.501696,130502.642486,131259.233194,140670.794452,148657.618865,153966.089158,159920.260395,157296.713464
jetBlue,0,0,0,0,0,1379.991,4259.739,8228.878506,13688.732976,18966.68046,23743.782044,28582.84978,32148.941028,32466.7942,32566.2097,34760.9986,37247.87565,40095.01395,42851.52097,45028.134741,49347.006843,53705.129461,56039.33907,60409.377776,63831.982654
AirTran,114.722,1467.192,1412.731,4604.09,5812.531,5916.86,6593.83,8407.828665,10104.993429,12005.231714,15383.719395,19010.926969,22705.938134,23820.59425,23304.523145,24059.771977,24727.459109,0,0,0,0,0,0,0,0
Frontier,716.894,1308.512,1810.419,2174.102,3386.558,4038.523,4681.184,5176.81946,6618.185702,8222.275346,9194.742074,10492.689662,12585.10663,12131.006116,10557.102848,11026.67857,11868.55079,11908.591944,10866.663156,12539.084628,15495.494516,18358.681382,21895.24899,24443.949064,28103.915678
Virgin America,0,0,0,0,0,0,0,0,0,0,0,0,941.052622,4499.002864,6686.722441,7652.015547,9853.166602,12527.513227,12271.718446,12250.278139,12690.962824,14578.472974,15480.871728,0,0
Alaska,13885.162,14903.822,15436.125,16807.059,17350.666,17314.825,17917.503,19355.720127,20920.921278,22275.401762,22295.220227,23279.372312,24212.229175,24221.688268,23147.84881,24436.716611,26521.098069,28185.008574,30416.56364,32434.498081,35917.395827,38720.546511,41468.377856,59186.490746,59714.508542
Hawaiian,4677.463,5100.89,5439.742,5574.683,6323.539,7441.719,7923.37,6533.559637,7210.012459,7223.255599,7758.645039,8053.232213,9220.899654,9519.583709,9704.368448,10146.371015,12029.870099,14695.598652,16854.200757,17077.793679,17701.414389,18350.777354,18977.885873,20147.102143,20564.411683
Spirit,669.333,858.083,1087.863,1549.92,3042.603,3864.8,4564.662,5588.538374,5804.947552,6281.626941,5648.082271,5552.818763,8496.81003,8217.680312,7478.542246,8076.839972,9353.03184,11299.098609,13836.845494,16400.731536,21363.725769,25640.652201,29584.996038,36270.227138,41817.32655
Allegiant,0,0,0,0,0,109.936,43.84,162.994953,600.598385,1173.731421,1594.446428,2760.58522,3731.39838,4280.30476,5281.03695,6039.68657,6159.377794,7297.200872,8000.12513,8806.300097,10365.203296,12125.3844,13309.929863,14580.892158,15863.112543
