Year,AircraftDepartures(000),ScheduledPassengerEnplanements(000),ScheduledRPMs (000),ScheduledASMs (000),Load Factor,Cargo RTMs(mil)
1950,2457,19220,10243000,13125000,0.78,318
1951,2596,24851,13204000,15615000,0.846,381
1952,2737,27567,15624000,19170000,0.815,421
1953,2960,31646,18245000,23337000,0.782,444
1954,3002,35448,20613000,26922000,0.766,470
1955,3281,41709,24351000,31371000,0.776,574
1956,3503,46005,27625000,35366000,0.781,652
1957,3771,49466,31261000,41746000,0.749,710
1958,3629,53070,31499000,42724000,0.737,735
1959,3910,60296,36372000,48405000,0.751,855
1960,3853,62257,38863000,52220000,0.744,952
1961,3750,63012,39831000,56087000,0.71,1104
1962,3660,67818,43760000,63888000,0.685,1318
1963,3788,77403,50362000,72255000,0.697,1465
1964,3955,88520,58494000,80524000,0.726,1763
1965,4198,102920,68676000,94787000,0.725,2313
1966,4374,118061,79889000,104669000,0.763,2911
1967,4946,142499,98747000,133700000,0.739,3436
1968,5348,162181,113958000,166871000,0.683,4178
1969,5378,171898,125420000,206434000,0.608,4700
1970,5120,169922,131710000,213160000,0.618,4984
1971,4999,173669,135658000,221503000,0.612,5108
1972,5046,191349,152406000,226614000,0.673,5177
1973,5135,202208,161957301,244699000,0.662,5764
1974,4002,207458,162918594,233880000,0.697,5125
1975,4777,205060,162810160,303006243,0.537,6160
1976,4921,223320,178988011,322821526,0.554,6491
1977,5045,240329,193218847,345566117,0.559,6920
1978,5082,274715,226781182,368750719,0.615,7324
1979,5500,316681,261979647,416037703,0.63,7837
1980,5457,296901,255192114,432535103,0.59,7790
1981,5307,285978,248887801,424897230,0.586,7792
1982,5056,294103,259643870,440119206,0.59,7636
1983,5080,318640,281829148,464537979,0.607,8011
1984,5523,344680,305115855,515323339,0.592,8794
1985,5919,382023,336403021,547788432,0.614,8429
1986,6497,418948,366545855,607435847,0.603,9656
1987,6647,447655,404449907,648675504,0.624,10629
1988,6804,454613,423301559,676802328,0.625,12586
1989,6797,453693,432714309,684375876,0.632,14914
1990,7176,465558,457926286,733374893,0.624,16411
1991,7041,452303,447954829,715199140,0.626,16150
1992,7321,475105,478553708,752772435,0.636,17311
1993,7548,488520,489684421,771640648,0.635,19083
1994,7888,528849,519381688,784330936,0.662,21826
1995,8426,547775,540656211,807077839,0.67,23386
1996,8618,581237,578663005,835070900,0.693,24892
1997,8534,594727,603418767,857232155,0.704,27647
1998,8730,612882,617575274,873388765,0.707,27867
1999,9062,635959,652046935,918418724,0.71,28984
2000,9450,666149,692757241,956950287,0.724,30863
2001,9120,622129,651700325,930511304,0.7,28122
2002,9516,614277,642438958,894582236,0.718,30526
2003,11192,647470,657322948,894602242,0.735,33541
2004,11766,703692,733993053,971987060,0.755,37955
2005,11884,738628,779035199,1003364379,0.776,39307
2006,11553,744728,797434432,1006350726,0.792,39760
2007,11686,769622,829441166,1037691278,0.799,39863
2008,11144,743313,812377467,1021330029,0.795,36812
2009,10383,703901,769411546,957104793,0.804,31662
2010,10361,720496,798042877,972601012,0.821,36516
2011,10336,730797,814354422,992672046,0.82,36999
2012,10127,736701,823181781,994545695,0.828,36160
2013,9979,743171,840432271,1011167471,0.831,34804
2014,9803,762710,862505910,1034278265,0.834,35606
2015,9741,798221,902234773,1077032953,0.838,36195
2016,9879,824038,933476480,1119025630,0.834,37016
2017,9899,849408,964348549,1154871244,0.835,41108
2018,10167,889020,1011517070,1208203118,0.837,43760
2019,10364,926738,1055591112,1247052006,0.846,42592
