Category,Subcategory,ProductName,ProductKey,Month,BudgetAccount
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-04-01 00:00:00.000,4862
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-10-01 00:00:00.000,2484
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-08-01 00:00:00.000,3264
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-07-01 00:00:00.000,3773
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-07-01 00:00:00.000,17584
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-10-01 00:00:00.000,496
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-01-01 00:00:00.000,421
Clothing,Vests,"Classic Vest, S",471,2016-06-01 00:00:00.000,2591
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-10-01 00:00:00.000,481316
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-02-01 00:00:00.000,289524
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-10-01 00:00:00.000,20567
Clothing,Vests,"Classic Vest, S",471,2016-08-01 00:00:00.000,3580
Clothing,Vests,"Classic Vest, S",471,2016-12-01 00:00:00.000,3439
Clothing,Socks,"Mountain Bike Socks, M",218,2016-09-01 00:00:00.000,425
Accessories,Fenders,Fender Set - Mountain,485,2016-09-01 00:00:00.000,3975
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-12-01 00:00:00.000,590261
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-07-01 00:00:00.000,2774
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-08-01 00:00:00.000,3523
Accessories,Fenders,Fender Set - Mountain,485,2016-08-01 00:00:00.000,3618
Clothing,Socks,"Mountain Bike Socks, M",218,2016-03-01 00:00:00.000,432
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-10-01 00:00:00.000,615032
Clothing,Caps,AWC Logo Cap,223,2016-02-01 00:00:00.000,1695
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-12-01 00:00:00.000,23587
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-07-01 00:00:00.000,4871
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-08-01 00:00:00.000,13497
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-05-01 00:00:00.000,3439
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-07-01 00:00:00.000,524348
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-03-01 00:00:00.000,20905
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-04-01 00:00:00.000,6335
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-05-01 00:00:00.000,12789
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-06-01 00:00:00.000,25354
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-09-01 00:00:00.000,18268
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",226,2016-09-01 00:00:00.000,15988
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-08-01 00:00:00.000,20409
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-05-01 00:00:00.000,2716
Clothing,Caps,AWC Logo Cap,223,2016-05-01 00:00:00.000,1729
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-09-01 00:00:00.000,6277
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-07-01 00:00:00.000,4617
Clothing,Socks,"Mountain Bike Socks, M",218,2016-01-01 00:00:00.000,24
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-01-01 00:00:00.000,3554
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-11-01 00:00:00.000,4985
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-08-01 00:00:00.000,407069
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-10-01 00:00:00.000,21905
Accessories,Cleaners,Bike Wash - Dissolver,484,2016-03-01 00:00:00.000,555
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-01-01 00:00:00.000,1892
Clothing,Caps,AWC Logo Cap,223,2016-01-01 00:00:00.000,479
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-04-01 00:00:00.000,2705
Accessories,Bottles and Cages,Water Bottle - 30 oz.,477,2016-06-01 00:00:00.000,6257
Accessories,Bike Stands,All-Purpose Bike Stand,486,2016-08-01 00:00:00.000,3003
Accessories,Helmets,"Sport-100 Helmet, Red",212,2016-01-01 00:00:00.000,5317
Clothing,Socks,"Mountain Bike Socks, M",218,2016-12-01 00:00:00.000,699
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-01-01 00:00:00.000,370105
Accessories,Tires and Tubes,Patch Kit/8 Patches,480,2016-07-01 00:00:00.000,23995
Accessories,Bike Racks,Hitch Rack - 4-Bike,483,2016-06-01 00:00:00.000,3279
Clothing,Socks,"Mountain Bike Socks, M",218,2016-10-01 00:00:00.000,335
Clothing,Gloves,"Half-Finger Gloves, S",462,2016-11-01 00:00:00.000,3518
Bikes,Touring Bikes,"Touring-2000 Blue, 60",560,2016-02-01 00:00:00.000,165941
Clothing,Shorts,"Men's Sports Shorts, S",445,2016-12-01 00:00:00.000,7641
Bikes,Road Bikes,"Road-150 Red, 62",310,2016-11-01 00:00:00.000,558232
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-09-01 00:00:00.000,557368
Accessories,Hydration Packs,Hydration Pack - 70 oz.,487,2016-02-01 00:00:00.000,2684
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",344,2016-06-01 00:00:00.000,619456
Clothing,Caps,AWC Logo Cap,223,2016-03-01 00:00:00.000,1462
