Attribute,Value
"Column1",4
"Column2",4
"Column3",3
"Column4",4
"Column5",3
"Column1",4
"Column2",5
"Column3",4
"Column4",5
"Column5",4
"Column1",2
"Column2",4
"Column3",3
"Column4",1
"Column5",4
"Column1",3
"Column2",3
"Column3",2
"Column4",3
"Column5",4
"Column1",3
"Column2",4
"Column3",4
"Column4",4
"Column5",3
"Column1",3
"Column2",3
"Column3",5
"Column4",3
"Column5",5
"Column1",4
"Column2",1
"Column3",2
"Column4",2
"Column5",3
"Column1",4
"Column2",3
"Column3",3
"Column4",4
"Column5",4
"Column1",2
"Column2",1
"Column3",1
"Column4",1
"Column5",3
"Column1",1
"Column2",5
"Column3",1
"Column4",1
"Column5",1
"Column1",3
"Column2",4
"Column3",4
"Column4",3
"Column5",3
"Column1",2
"Column2",2
"Column3",1
"Column4",1
"Column5",1
"Column1",1
"Column2",3
"Column3",2
"Column4",2
"Column5",3
"Column1",1
"Column2",4
"Column3",1
"Column4",1
"Column5",2
"Column1",3
"Column2",3
"Column3",2
"Column4",2
"Column5",3
"Column1",5
"Column2",5
"Column3",3
"Column4",2
"Column5",5
"Column1",1
"Column2",5
"Column3",5
"Column4",2
"Column5",2
"Column1",3
"Column2",1
"Column3",1
"Column4",3
"Column5",3
"Column1",4
"Column2",5
"Column3",3
"Column4",4
"Column5",4
