Sales Director Code,Sales Director Name,Area Manager Code,Area Manager Name,Super Visor Code,Super Visor Name,Sales Representative Code,Sales Representative Name
"SD01","Sales Director","AM01","Area Manager 1","SU01","Supervisor 1",1,"Sales Rep 1"
"SD01","Sales Director","AM01","Area Manager 1","SU01","Supervisor 1",2,"Sales Rep 2"
"SD01","Sales Director","AM01","Area Manager 1","SU01","Supervisor 1",3,"Sales Rep 3"
"SD01","Sales Director","AM01","Area Manager 1","SU02","Supervisor 2",4,"Sales Rep 4"
"SD01","Sales Director","AM01","Area Manager 1","SU02","Supervisor 2",5,"Sales Rep 5"
"SD01","Sales Director","AM01","Area Manager 1","SU02","Supervisor 2",6,"Sales Rep 6"
"SD01","Sales Director","AM02","Area Manager 2","SU03","Supervisor 3",7,"Sales Rep 7"
"SD01","Sales Director","AM02","Area Manager 2","SU03","Supervisor 3",8,"Sales Rep 8"
"SD01","Sales Director","AM02","Area Manager 2","SU04","Supervisor 4",9,"Sales Rep 9"
"SD01","Sales Director","AM02","Area Manager 2","SU04","Supervisor 4",10,"Sales Rep 10"
"SD01","Sales Director","AM02","Area Manager 2","SU04","Supervisor 4",11,"Sales Rep 11"
"SD01","Sales Director","AM02","Area Manager 2","SU04","Supervisor 4",12,"Sales Rep 12"
"SD01","Sales Director","AM03","Area Manager 3","SU05","Supervisor 5",13,"Sales Rep 13"
"SD01","Sales Director","AM03","Area Manager 3","SU05","Supervisor 5",14,"Sales Rep 14"
"SD01","Sales Director","AM03","Area Manager 3","SU05","Supervisor 5",15,"Sales Rep 15"
"SD01","Sales Director","AM03","Area Manager 3","SU06","Supervisor 6",16,"Sales Rep 16"
"SD01","Sales Director","AM03","Area Manager 3","SU06","Supervisor 6",17,"Sales Rep 17"
"SD01","Sales Director","AM03","Area Manager 3","SU06","Supervisor 6",18,"Sales Rep 18"
"SD01","Sales Director","AM04","Area Manager 4","SU07","Supervisor 7",19,"Sales Rep 19"
"SD01","Sales Director","AM04","Area Manager 4","SU07","Supervisor 7",20,"Sales Rep 20"
"SD01","Sales Director","AM04","Area Manager 4","SU07","Supervisor 7",21,"Sales Rep 21"
"SD01","Sales Director","AM04","Area Manager 4","SU08","Supervisor 8",22,"Sales Rep 22"
"SD01","Sales Director","AM04","Area Manager 4","SU08","Supervisor 8",23,"Sales Rep 23"
"SD01","Sales Director","AM04","Area Manager 4","SU08","Supervisor 8",24,"Sales Rep 24"
"SD01","Sales Director","AM04","Area Manager 4","SU08","Supervisor 8",25,"Sales Rep 25"
