id,last_start_date,sort_order,Time to Complete,Time to Entitled,Time to Under Construction
0032474b-1727-41fa-931d-57cbc2f67cae,2019-07-19 00:00:00.000,2,,,35.0
0044b881-381c-4060-b07a-55cd3b3065a0,2019-03-06 00:00:00.000,1,,4.0,
00527b1c-3afa-4750-a878-3b23989ab20d,2009-11-16 00:00:00.000,2,,,4.0
00527b1c-3afa-4750-a878-3b23989ab20d,2009-11-16 00:00:00.000,3,31.0,,
0059432f-68de-45be-9928-d1c8ae967de2,2001-10-26 00:00:00.000,2,,,19.0
0059432f-68de-45be-9928-d1c8ae967de2,2001-10-26 00:00:00.000,3,30.0,,
006133b9-9da1-4814-947c-c3eb3d2b6ac3,2019-12-12 00:00:00.000,2,,,34.0
006252d4-60ba-40df-bfd5-a56d4e86db2f,2004-04-28 00:00:00.000,2,,,27.0
00717d57-8d45-44c4-b678-ac160a54bf4e,2016-05-04 00:00:00.000,1,,21.0,
007432cb-ba48-4254-9256-4a376d7049f8,1993-06-01 00:00:00.000,2,,,9.0
007432cb-ba48-4254-9256-4a376d7049f8,1993-06-01 00:00:00.000,3,21.0,,
00879d7d-b2c3-4351-919c-4a43a8ea599f,2017-11-30 00:00:00.000,2,,,19.0
009118d6-eded-4020-a351-b9192b956c41,2019-08-08 00:00:00.000,2,,,48.0
0092b50c-5fda-4112-8bdd-aa4ab56aea02,2001-11-06 00:00:00.000,2,,,10.0
00934fab-7c9e-44da-ba62-380fb551573d,2017-06-05 00:00:00.000,1,,14.0,
0096da8f-90bd-49af-a0bc-6e0713b91c7d,2001-12-17 00:00:00.000,2,,,24.0
009dd0ed-6903-43ea-baca-147a19920c32,2018-06-25 00:00:00.000,2,,,9.0
009dd0ed-6903-43ea-baca-147a19920c32,2018-06-25 00:00:00.000,3,16.0,,
00b8b515-516c-450a-b325-c391c3e82264,2004-02-17 00:00:00.000,2,,,10.0
00b8b515-516c-450a-b325-c391c3e82264,2004-02-17 00:00:00.000,3,18.0,,
00c868af-0daf-4734-be9c-c1a53552f5c6,2015-07-24 00:00:00.000,2,,,9.0
