venta_ID,cliente_ID,estado_pedido,fecha_pedido,fecha_requerido,fecha_envio,tienda_ID,personal_ID,item_ID,producto_ID,Cantidad,precio_venta,descuento,Ingreso por Venta
5,1324,4,2016-01-03 00:00:00.000,2016-01-06 00:00:00.000,2016-01-06 00:00:00.000,2,6,1,10,2,1549,0.05,2943.1
21,1250,4,2016-01-15 00:00:00.000,2016-01-16 00:00:00.000,2016-01-18 00:00:00.000,2,6,1,14,1,269.99,0.05,256.49
28,252,4,2016-01-19 00:00:00.000,2016-01-20 00:00:00.000,2016-01-21 00:00:00.000,2,6,1,5,1,1320.99,0.05,1254.94
29,437,4,2016-01-20 00:00:00.000,2016-01-22 00:00:00.000,2016-01-21 00:00:00.000,2,6,1,24,2,549.99,0.05,1044.98
30,1348,4,2016-01-20 00:00:00.000,2016-01-21 00:00:00.000,2016-01-21 00:00:00.000,2,6,1,26,1,599.99,0.05,569.99
37,164,4,2016-01-25 00:00:00.000,2016-01-28 00:00:00.000,2016-01-26 00:00:00.000,2,6,1,16,2,599.99,0.05,1139.98
55,1173,4,2016-02-04 00:00:00.000,2016-02-07 00:00:00.000,2016-02-06 00:00:00.000,2,6,1,21,1,269.99,0.05,256.49
58,504,4,2016-02-05 00:00:00.000,2016-02-07 00:00:00.000,2016-02-07 00:00:00.000,2,6,1,14,2,269.99,0.05,512.98
130,1049,4,2016-03-19 00:00:00.000,2016-03-22 00:00:00.000,2016-03-20 00:00:00.000,2,6,1,26,1,599.99,0.05,569.99
148,714,4,2016-03-28 00:00:00.000,2016-03-30 00:00:00.000,2016-03-30 00:00:00.000,2,6,1,14,1,269.99,0.05,256.49
179,616,4,2016-04-17 00:00:00.000,2016-04-19 00:00:00.000,2016-04-19 00:00:00.000,2,6,1,13,2,269.99,0.05,512.98
182,854,4,2016-04-18 00:00:00.000,2016-04-19 00:00:00.000,2016-04-20 00:00:00.000,2,6,1,25,2,499.99,0.05,949.98
187,183,4,2016-04-22 00:00:00.000,2016-04-23 00:00:00.000,2016-04-24 00:00:00.000,2,6,1,5,1,1320.99,0.05,1254.94
190,98,4,2016-04-23 00:00:00.000,2016-04-25 00:00:00.000,2016-04-25 00:00:00.000,2,6,1,24,1,549.99,0.05,522.49
