dim_time_id,time_alt_key,time,time_30,hour_30,minute_number,second_number,time_in_second,hourly_bucket,day_time_bucket_group_key,day_time_bucket
75721,210201,1899-12-30 21:02:01.000,"21:02:01",21,2,1,75721,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75756,210236,1899-12-30 21:02:36.000,"21:02:36",21,2,36,75756,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75758,210238,1899-12-30 21:02:38.000,"21:02:38",21,2,38,75758,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75851,210411,1899-12-30 21:04:11.000,"21:04:11",21,4,11,75851,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75897,210457,1899-12-30 21:04:57.000,"21:04:57",21,4,57,75897,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75921,210521,1899-12-30 21:05:21.000,"21:05:21",21,5,21,75921,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75943,210543,1899-12-30 21:05:43.000,"21:05:43",21,5,43,75943,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75946,210546,1899-12-30 21:05:46.000,"21:05:46",21,5,46,75946,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75988,210628,1899-12-30 21:06:28.000,"21:06:28",21,6,28,75988,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76093,210813,1899-12-30 21:08:13.000,"21:08:13",21,8,13,76093,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76178,210938,1899-12-30 21:09:38.000,"21:09:38",21,9,38,76178,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76183,210943,1899-12-30 21:09:43.000,"21:09:43",21,9,43,76183,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76261,211101,1899-12-30 21:11:01.000,"21:11:01",21,11,1,76261,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76360,211240,1899-12-30 21:12:40.000,"21:12:40",21,12,40,76360,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76466,211426,1899-12-30 21:14:26.000,"21:14:26",21,14,26,76466,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76494,211454,1899-12-30 21:14:54.000,"21:14:54",21,14,54,76494,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76505,211505,1899-12-30 21:15:05.000,"21:15:05",21,15,5,76505,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76555,211555,1899-12-30 21:15:55.000,"21:15:55",21,15,55,76555,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76649,211729,1899-12-30 21:17:29.000,"21:17:29",21,17,29,76649,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76693,211813,1899-12-30 21:18:13.000,"21:18:13",21,18,13,76693,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76739,211859,1899-12-30 21:18:59.000,"21:18:59",21,18,59,76739,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76831,212031,1899-12-30 21:20:31.000,"21:20:31",21,20,31,76831,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76852,212052,1899-12-30 21:20:52.000,"21:20:52",21,20,52,76852,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76895,212135,1899-12-30 21:21:35.000,"21:21:35",21,21,35,76895,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76930,212210,1899-12-30 21:22:10.000,"21:22:10",21,22,10,76930,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76947,212227,1899-12-30 21:22:27.000,"21:22:27",21,22,27,76947,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76960,212240,1899-12-30 21:22:40.000,"21:22:40",21,22,40,76960,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76985,212305,1899-12-30 21:23:05.000,"21:23:05",21,23,5,76985,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77007,212327,1899-12-30 21:23:27.000,"21:23:27",21,23,27,77007,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77062,212422,1899-12-30 21:24:22.000,"21:24:22",21,24,22,77062,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77102,212502,1899-12-30 21:25:02.000,"21:25:02",21,25,2,77102,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77230,212710,1899-12-30 21:27:10.000,"21:27:10",21,27,10,77230,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77298,212818,1899-12-30 21:28:18.000,"21:28:18",21,28,18,77298,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77307,212827,1899-12-30 21:28:27.000,"21:28:27",21,28,27,77307,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77374,212934,1899-12-30 21:29:34.000,"21:29:34",21,29,34,77374,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77448,213048,1899-12-30 21:30:48.000,"21:30:48",21,30,48,77448,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77455,213055,1899-12-30 21:30:55.000,"21:30:55",21,30,55,77455,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77624,213344,1899-12-30 21:33:44.000,"21:33:44",21,33,44,77624,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77677,213437,1899-12-30 21:34:37.000,"21:34:37",21,34,37,77677,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77678,213438,1899-12-30 21:34:38.000,"21:34:38",21,34,38,77678,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77732,213532,1899-12-30 21:35:32.000,"21:35:32",21,35,32,77732,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77799,213639,1899-12-30 21:36:39.000,"21:36:39",21,36,39,77799,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
77968,213928,1899-12-30 21:39:28.000,"21:39:28",21,39,28,77968,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78108,214148,1899-12-30 21:41:48.000,"21:41:48",21,41,48,78108,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78152,214232,1899-12-30 21:42:32.000,"21:42:32",21,42,32,78152,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78252,214412,1899-12-30 21:44:12.000,"21:44:12",21,44,12,78252,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78345,214545,1899-12-30 21:45:45.000,"21:45:45",21,45,45,78345,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78396,214636,1899-12-30 21:46:36.000,"21:46:36",21,46,36,78396,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78465,214745,1899-12-30 21:47:45.000,"21:47:45",21,47,45,78465,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78479,214759,1899-12-30 21:47:59.000,"21:47:59",21,47,59,78479,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78482,214802,1899-12-30 21:48:02.000,"21:48:02",21,48,2,78482,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78563,214923,1899-12-30 21:49:23.000,"21:49:23",21,49,23,78563,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78639,215039,1899-12-30 21:50:39.000,"21:50:39",21,50,39,78639,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78820,215340,1899-12-30 21:53:40.000,"21:53:40",21,53,40,78820,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78838,215358,1899-12-30 21:53:58.000,"21:53:58",21,53,58,78838,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78889,215449,1899-12-30 21:54:49.000,"21:54:49",21,54,49,78889,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78937,215537,1899-12-30 21:55:37.000,"21:55:37",21,55,37,78937,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
78984,215624,1899-12-30 21:56:24.000,"21:56:24",21,56,24,78984,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
79022,215702,1899-12-30 21:57:02.000,"21:57:02",21,57,2,79022,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
79173,215933,1899-12-30 21:59:33.000,"21:59:33",21,59,33,79173,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75670,210110,1899-12-30 21:01:10.000,"21:01:10",21,1,10,75670,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75744,210224,1899-12-30 21:02:24.000,"21:02:24",21,2,24,75744,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75749,210229,1899-12-30 21:02:29.000,"21:02:29",21,2,29,75749,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75781,210301,1899-12-30 21:03:01.000,"21:03:01",21,3,1,75781,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75783,210303,1899-12-30 21:03:03.000,"21:03:03",21,3,3,75783,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75804,210324,1899-12-30 21:03:24.000,"21:03:24",21,3,24,75804,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75830,210350,1899-12-30 21:03:50.000,"21:03:50",21,3,50,75830,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75909,210509,1899-12-30 21:05:09.000,"21:05:09",21,5,9,75909,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
75990,210630,1899-12-30 21:06:30.000,"21:06:30",21,6,30,75990,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76099,210819,1899-12-30 21:08:19.000,"21:08:19",21,8,19,76099,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76120,210840,1899-12-30 21:08:40.000,"21:08:40",21,8,40,76120,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76130,210850,1899-12-30 21:08:50.000,"21:08:50",21,8,50,76130,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76179,210939,1899-12-30 21:09:39.000,"21:09:39",21,9,39,76179,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76290,211130,1899-12-30 21:11:30.000,"21:11:30",21,11,30,76290,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76363,211243,1899-12-30 21:12:43.000,"21:12:43",21,12,43,76363,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
76376,211256,1899-12-30 21:12:56.000,"21:12:56",21,12,56,76376,"21:00-21:59",7,"Evening (18:00 PM To 23:59 PM)"
