Date,Year,Month & Year,MonthnYear,MonthEnding,Fiscal Year,WeekEnding,Month Ending
2004-07-01 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-04 00:00:00.000,2004-07-31 00:00:00.000
2004-07-02 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-04 00:00:00.000,2004-07-31 00:00:00.000
2004-07-03 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-04 00:00:00.000,2004-07-31 00:00:00.000
2004-07-04 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-04 00:00:00.000,2004-07-31 00:00:00.000
2004-07-05 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-11 00:00:00.000,2004-07-31 00:00:00.000
2004-07-06 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-11 00:00:00.000,2004-07-31 00:00:00.000
2004-07-07 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-11 00:00:00.000,2004-07-31 00:00:00.000
2004-07-08 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-11 00:00:00.000,2004-07-31 00:00:00.000
2004-07-09 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-11 00:00:00.000,2004-07-31 00:00:00.000
2004-07-10 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-11 00:00:00.000,2004-07-31 00:00:00.000
2004-07-11 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-11 00:00:00.000,2004-07-31 00:00:00.000
2004-07-12 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-18 00:00:00.000,2004-07-31 00:00:00.000
2004-07-13 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-18 00:00:00.000,2004-07-31 00:00:00.000
2004-07-14 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-18 00:00:00.000,2004-07-31 00:00:00.000
2004-07-15 00:00:00.000,2004,"Jul 2004",20040700,2004-07-31 00:00:00.000,"FY05",2004-07-18 00:00:00.000,2004-07-31 00:00:00.000
