WKT,Status,x,y,point,color,Block,id
POINT (4.52464852342506 34.660335684555),Panel,4.524648523,34.66033568,(4.524648523 34.66033568),#0000FF,B1,27591
POINT (4.50729890442555 34.6591182181301),Not Start,4.507298904,34.65911821,(4.507298904 34.65911821),#000000,G1,1415
POINT (4.51368522796268 34.6564655044905),Piling,4.513685228,34.6564655,(4.513685228 34.6564655),#808080,E2,13062
POINT (4.52766532761221 34.6618421216493),Electrical,4.527665327,34.66184212,(4.527665327 34.66184212),#FF0000,A1,37732
POINT (4.52380630882428 34.6567654592613),Panel,4.523806308,34.65676545,(4.523806308 34.65676545),#0000FF,B2,28578
POINT (4.50356372050358 34.6582944921563),Not Start,4.50356372,34.65829449,(4.50356372 34.65829449),#000000,H1,32608
POINT (4.51156739194651 34.6558142374447),Not Start,4.511567391,34.65581423,(4.511567391 34.65581423),#000000,F2,8722
POINT (4.50334049898677 34.6524816170828),Not Start,4.503340499,34.65248161,(4.503340499 34.65248161),#000000,H3,35606
POINT (4.52362307008542 34.6604638179477),Panel,4.52362307,34.66046381,(4.52362307 34.66046381),#0000FF,B1,26970
POINT (4.50534929926544 34.6590920722594),Not Start,4.505349299,34.65909207,(4.505349299 34.65909207),#000000,G1,217
POINT (4.5282018751668 34.6619629655723),Electrical,4.528201875,34.66196296,(4.528201875 34.66196296),#FF0000,A1,38069
POINT (4.50785193655977 34.6556716116703),Not Start,4.507851936,34.65567161,(4.507851936 34.65567161),#000000,G2,3266
POINT (4.5164255776468 34.6591084928066),Tracker,4.516425577,34.65910849,(4.516425577 34.65910849),#008000,D1,16162
POINT (4.5066433606646 34.6519125350126),Not Start,4.50664336,34.65191253,(4.50664336 34.65191253),#000000,G3,4057
POINT (4.51660881638569 34.6554101341202),Tracker,4.516608816,34.65541013,(4.516608816 34.65541013),#008000,D2,17770
POINT (4.5239955683639 34.657313784767),Panel,4.523995568,34.65731378,(4.523995568 34.65731378),#0000FF,B2,28730
POINT (4.52904156616949 34.6555652161227),Panel,4.529041566,34.65556521,(4.529041566 34.65556521),#0000FF,A3,41681
POINT (4.52737632756103 34.6634624051891),Electrical,4.527376327,34.6634624,(4.527376327 34.6634624),#FF0000,A1,37660
POINT (4.50634270141604 34.6536765756848),Not Start,4.506342701,34.65367657,(4.506342701 34.65367657),#000000,G3,3987
POINT (4.51290566737548 34.6598196411039),Piling,4.512905667,34.65981964,(4.512905667 34.65981964),#808080,E1,11066
POINT (4.51344216525816 34.6556210219524),Piling,4.513442165,34.65562102,(4.513442165 34.65562102),#808080,E2,12858
POINT (4.51671210478043 34.6518396876491),Tracker,4.516712104,34.65183968,(4.516712104 34.65183968),#008000,D3,19378
POINT (4.50359644856955 34.6554799396521),Not Start,4.503596448,34.65547993,(4.503596448 34.65547993),#000000,H2,34181
POINT (4.52691246456804 34.6581341260186),Panel,4.526912464,34.65813412,(4.526912464 34.65813412),#0000FF,A2,38765
POINT (4.52038906700122 34.6572614521492),Tracker,4.520389067,34.65726145,(4.520389067 34.65726145),#008000,C2,23383
POINT (4.50789414790115 34.6528454001376),Not Start,4.507894147,34.6528454,(4.507894147 34.6528454),#000000,G3,4885
POINT (4.52371463351214 34.6555741811413),Panel,4.523714633,34.65557418,(4.523714633 34.65557418),#0000FF,B3,30221
POINT (4.50264556481775 34.6566035911325),Not Start,4.502645564,34.65660359,(4.502645564 34.65660359),#000000,H2,33671
POINT (4.52086732659199 34.6561894941152),Tracker,4.520867326,34.65618949,(4.520867326 34.65618949),#008000,C2,23607
POINT (4.50179739504072 34.6588885451772),Not Start,4.501797395,34.65888854,(4.501797395 34.65888854),#000000,H1,31557
POINT (4.51994973621388 34.6536429405002),Tracker,4.519949736,34.65364294,(4.519949736 34.65364294),#008000,C3,24655
POINT (4.5136406851608 34.6579617521207),Piling,4.513640685,34.65796175,(4.513640685 34.65796175),#808080,E2,13132
POINT (4.52706297624956 34.6572503098873),Panel,4.527062976,34.6572503,(4.527062976 34.6572503),#0000FF,A2,38800
POINT (4.51879760920933 34.6530664132302),Tracker,4.518797609,34.65306641,(4.518797609 34.65306641),#008000,D3,20737
POINT (4.51913216358114 34.653747058356),Tracker,4.519132163,34.65374705,(4.519132163 34.65374705),#008000,D3,20999
POINT (4.52588300079698 34.6529318838342),Panel,4.525883,34.65293188,(4.525883 34.65293188),#0000FF,B3,31380
POINT (4.52887531474545 34.657047101036),Panel,4.528875314,34.6570471,(4.528875314 34.6570471),#0000FF,A2,39899
POINT (4.52263325591394 34.6601571285608),Panel,4.522633255,34.66015712,(4.522633255 34.66015712),#0000FF,B1,26340
POINT (4.52354578326504 34.6589922176261),Panel,4.523545783,34.65899221,(4.523545783 34.65899221),#0000FF,B2,28563
POINT (4.52873099433101 34.6569021955148),Panel,4.528730994,34.65690219,(4.528730994 34.65690219),#0000FF,A2,39801
POINT (4.5276651774416 34.6575226584374),Panel,4.527665177,34.65752265,(4.527665177 34.65752265),#0000FF,A2,39187
POINT (4.50426724922925 34.6568205752232),Not Start,4.504267249,34.65682057,(4.504267249 34.65682057),#000000,H2,34680
POINT (4.52085587345142 34.6582338041864),Tracker,4.520855873,34.6582338,(4.520855873 34.6582338),#008000,C2,23733
POINT (4.50648386094943 34.6510012602503),Not Start,4.50648386,34.65100126,(4.50648386 34.65100126),#000000,G3,3900
POINT (4.52463559457977 34.6538632968949),Panel,4.524635594,34.65386329,(4.524635594 34.65386329),#0000FF,B3,30675
POINT (4.51002868731618 34.6589043784176),Not Start,4.510028687,34.65890437,(4.510028687 34.65890437),#000000,F1,6232
POINT (4.50533004655124 34.6612321540464),Not Start,4.505330046,34.66123215,(4.505330046 34.66123215),#000000,G1,344
POINT (4.51655688391304 34.6594115120096),Tracker,4.516556883,34.65941151,(4.516556883 34.65941151),#008000,D1,16262
POINT (4.50860662759557 34.6600604812853),Not Start,4.508606627,34.66006048,(4.508606627 34.66006048),#000000,F1,5435
POINT (4.51801331477014 34.6573252521202),Tracker,4.518013314,34.65732525,(4.518013314 34.65732525),#008000,D2,18756
POINT (4.52846167908267 34.6559729966551),Panel,4.528461679,34.65597299,(4.528461679 34.65597299),#0000FF,A3,41352
POINT (4.52286588870515 34.6587138922296),Panel,4.522865888,34.65871389,(4.522865888 34.65871389),#0000FF,B2,28128
POINT (4.51726973776377 34.6611929571558),Tracker,4.517269737,34.66119295,(4.517269737 34.66119295),#008000,D1,16815
POINT (4.52916450402651 34.6601858761171),Panel,4.529164504,34.66018587,(4.529164504 34.66018587),#0000FF,A2,40296
POINT (4.5169980701969 34.6606970571014),Tracker,4.51699807,34.66069705,(4.51699807 34.66069705),#008000,D1,16616
POINT (4.51310075557823 34.655976639961),Piling,4.513100755,34.65597664,(4.513100755 34.65597664),#808080,E2,12672
POINT (4.50633414911685 34.6551376906459),Not Start,4.506334149,34.65513769,(4.506334149 34.65513769),#000000,G2,2300
POINT (4.50274826622161 34.6572551928191),Not Start,4.502748266,34.65725519,(4.502748266 34.65725519),#000000,H2,33776
POINT (4.52707263232836 34.6548215616652),Panel,4.527072632,34.65482156,(4.527072632 34.65482156),#0000FF,A3,40425
POINT (4.52086594076076 34.6571589180595),Tracker,4.52086594,34.65715891,(4.52086594 34.65715891),#008000,C2,23669
POINT (4.51017983477011 34.6542390050852),Not Start,4.510179834,34.654239,(4.510179834 34.654239),#000000,F3,9534
POINT (4.5234003062723 34.6527408683273),Panel,4.523400306,34.65274086,(4.523400306 34.65274086),#0000FF,B3,29841
POINT (4.51433571010629 34.6538388826608),Piling,4.51433571,34.65383888,(4.51433571 34.65383888),#808080,E3,15067
POINT (4.51853801286085 34.6575907384997),Tracker,4.518538012,34.65759073,(4.518538012 34.65759073),#008000,D2,19095
POINT (4.51712972311452 34.6585802808444),Tracker,4.517129723,34.65858028,(4.517129723 34.65858028),#008000,D2,18295
POINT (4.50366365389345 34.6513959146724),Not Start,4.503663653,34.65139591,(4.503663653 34.65139591),#000000,H3,35734
POINT (4.52250699315944 34.6538767648882),Tracker,4.522506993,34.65387676,(4.522506993 34.65387676),#008000,C3,26251
POINT (4.52362069665794 34.6548153064162),Panel,4.523620696,34.6548153,(4.523620696 34.6548153),#0000FF,B3,30114
POINT (4.52113149851585 34.6525609183601),Tracker,4.521131498,34.65256091,(4.521131498 34.65256091),#008000,C3,25310
POINT (4.50600352471523 34.6553621375607),Not Start,4.506003524,34.65536213,(4.506003524 34.65536213),#000000,G2,2112
POINT (4.50403915105508 34.6548410034907),Not Start,4.504039151,34.654841,(4.504039151 34.654841),#000000,H2,34411
POINT (4.50795794402477 34.6553298912198),Not Start,4.507957944,34.65532989,(4.507957944 34.65532989),#000000,G2,3309
POINT (4.51048984515817 34.6542664736653),Not Start,4.510489845,34.65426647,(4.510489845 34.65426647),#000000,F3,9726
POINT (4.51293179831166 34.6538225469514),Piling,4.512931798,34.65382254,(4.512931798 34.65382254),#808080,E3,14205
POINT (4.52102691607498 34.6570998834162),Tracker,4.521026916,34.65709988,(4.521026916 34.65709988),#008000,C2,23764
