Store,Date,variable,value
25,2011-05-20 00:00:00.000,Temperature,56.56
44,2011-12-23 00:00:00.000,Temperature,24.76
20,2012-12-14 00:00:00.000,Temperature,41.26
25,2012-04-27 00:00:00.000,Temperature,44.2
36,2010-09-17 00:00:00.000,Temperature,82.1
41,2013-06-21 00:00:00.000,Temperature,66.51
14,2011-10-21 00:00:00.000,Temperature,59.6
36,2012-05-25 00:00:00.000,Temperature,78.94
36,2013-01-25 00:00:00.000,Temperature,57.77
41,2012-02-03 00:00:00.000,Temperature,31.65
22,2013-05-17 00:00:00.000,Temperature,56.64
9,2012-05-04 00:00:00.000,Temperature,78.98
38,2012-11-30 00:00:00.000,Temperature,57.03
9,2012-11-02 00:00:00.000,Temperature,56.26
28,2013-01-04 00:00:00.000,Temperature,38.8
24,2010-08-20 00:00:00.000,Temperature,72.17
7,2012-04-06 00:00:00.000,Temperature,44.29
10,2012-09-21 00:00:00.000,Temperature,81.93
42,2011-12-23 00:00:00.000,Temperature,48.36
33,2012-04-06 00:00:00.000,Temperature,70.75
28,2013-07-05 00:00:00.000,Temperature,101.95
27,2011-05-06 00:00:00.000,Temperature,56.48
41,2011-06-24 00:00:00.000,Temperature,59.54
7,2010-07-30 00:00:00.000,Temperature,66.07
25,2012-07-27 00:00:00.000,Temperature,72.98
17,2010-02-12 00:00:00.000,Temperature,18.36
7,2012-03-30 00:00:00.000,Temperature,44.99
5,2010-05-14 00:00:00.000,Temperature,74.79
39,2010-12-24 00:00:00.000,Temperature,58.86
19,2010-02-26 00:00:00.000,Temperature,30.33
28,2011-03-11 00:00:00.000,Temperature,57.75
40,2012-04-13 00:00:00.000,Temperature,40.65
13,2011-04-29 00:00:00.000,Temperature,43.85
18,2011-08-26 00:00:00.000,Temperature,70.32
25,2010-06-25 00:00:00.000,Temperature,72.17
34,2011-10-21 00:00:00.000,Temperature,58.93
16,2012-04-13 00:00:00.000,Temperature,45.83
5,2012-04-27 00:00:00.000,Temperature,68.96
26,2011-11-04 00:00:00.000,Temperature,31.7
3,2011-11-18 00:00:00.000,Temperature,63.91
40,2012-05-04 00:00:00.000,Temperature,44.47
42,2013-03-15 00:00:00.000,Temperature,62.1
6,2011-05-13 00:00:00.000,Temperature,76.95
37,2013-05-10 00:00:00.000,Temperature,68.02
38,2011-01-14 00:00:00.000,Temperature,43.15
40,2011-05-27 00:00:00.000,Temperature,63.11
12,2012-02-24 00:00:00.000,Temperature,53.13
7,2010-08-20 00:00:00.000,Temperature,59.59
3,2012-02-10 00:00:00.000,Temperature,51.65
32,2012-06-29 00:00:00.000,Temperature,81.95
2,2012-05-25 00:00:00.000,Temperature,78.19
35,2012-08-03 00:00:00.000,Temperature,75.22
17,2012-05-04 00:00:00.000,Temperature,48.86
9,2012-09-07 00:00:00.000,Temperature,87.93
39,2011-12-09 00:00:00.000,Temperature,49.36
33,2012-10-12 00:00:00.000,Temperature,79.64
27,2010-08-20 00:00:00.000,Temperature,75.16
14,2011-12-09 00:00:00.000,Temperature,46.57
35,2011-03-25 00:00:00.000,Temperature,40.11
31,2011-11-18 00:00:00.000,Temperature,61.9
45,2010-07-30 00:00:00.000,Temperature,79.78
4,2011-09-30 00:00:00.000,Temperature,72.15
35,2010-04-16 00:00:00.000,Temperature,54.95
39,2012-07-06 00:00:00.000,Temperature,81.05
39,2010-08-06 00:00:00.000,Temperature,84.92
16,2011-10-14 00:00:00.000,Temperature,39.97
29,2011-10-21 00:00:00.000,Temperature,59.3
32,2012-03-23 00:00:00.000,Temperature,47.64
11,2013-05-03 00:00:00.000,Temperature,69.56
8,2010-07-16 00:00:00.000,Temperature,77.49
7,2012-09-07 00:00:00.000,Temperature,57.84
45,2011-07-15 00:00:00.000,Temperature,78.47
21,2010-10-29 00:00:00.000,Temperature,67.51
8,2012-09-07 00:00:00.000,Temperature,80.87
22,2011-11-04 00:00:00.000,Temperature,42.81
45,2012-03-02 00:00:00.000,Temperature,41.55
7,2012-03-23 00:00:00.000,Temperature,35.06
23,2011-11-18 00:00:00.000,Temperature,45.48
43,2011-03-25 00:00:00.000,Temperature,65.53
44,2012-11-23 00:00:00.000,Temperature,46.21
39,2013-02-15 00:00:00.000,Temperature,56.43
38,2011-05-20 00:00:00.000,Temperature,66.59
28,2012-02-10 00:00:00.000,Temperature,52.27
19,2010-09-03 00:00:00.000,Temperature,74.69
19,2011-04-01 00:00:00.000,Temperature,30.68
29,2012-10-19 00:00:00.000,Temperature,55.28
30,2012-04-27 00:00:00.000,Temperature,69.21
20,2010-02-12 00:00:00.000,Temperature,22.12
9,2012-07-13 00:00:00.000,Temperature,82.39
3,2011-06-24 00:00:00.000,Temperature,84.94
18,2012-05-18 00:00:00.000,Temperature,62.31
27,2011-02-18 00:00:00.000,Temperature,39.32
24,2010-05-21 00:00:00.000,Temperature,60.44
2,2012-01-20 00:00:00.000,Temperature,51.7
29,2012-04-20 00:00:00.000,Temperature,58.81
28,2012-04-20 00:00:00.000,Temperature,66.73
23,2011-09-30 00:00:00.000,Temperature,64.76
12,2012-10-26 00:00:00.000,Temperature,65.95
12,2012-11-16 00:00:00.000,Temperature,49.39
20,2010-05-07 00:00:00.000,Temperature,66.74
25,2011-05-20 00:00:00.000,Fuel_Price,4.062
44,2011-12-23 00:00:00.000,Fuel_Price,3.186
20,2012-12-14 00:00:00.000,Fuel_Price,3.637
25,2012-04-27 00:00:00.000,Fuel_Price,4.004
36,2010-09-17 00:00:00.000,Fuel_Price,2.55
41,2013-06-21 00:00:00.000,Fuel_Price,3.736
14,2011-10-21 00:00:00.000,Fuel_Price,3.57
36,2012-05-25 00:00:00.000,Fuel_Price,3.636
36,2013-01-25 00:00:00.000,Fuel_Price,3.239
41,2012-02-03 00:00:00.000,Fuel_Price,3.031
22,2013-05-17 00:00:00.000,Fuel_Price,3.63
9,2012-05-04 00:00:00.000,Fuel_Price,3.749
38,2012-11-30 00:00:00.000,Fuel_Price,3.581
9,2012-11-02 00:00:00.000,Fuel_Price,3.386
28,2013-01-04 00:00:00.000,Fuel_Price,3.51
24,2010-08-20 00:00:00.000,Fuel_Price,2.913
7,2012-04-06 00:00:00.000,Fuel_Price,3.854
10,2012-09-21 00:00:00.000,Fuel_Price,4.125
42,2011-12-23 00:00:00.000,Fuel_Price,3.541
33,2012-04-06 00:00:00.000,Fuel_Price,4.282
28,2013-07-05 00:00:00.000,Fuel_Price,3.753
27,2011-05-06 00:00:00.000,Fuel_Price,4.192
41,2011-06-24 00:00:00.000,Fuel_Price,3.661
7,2010-07-30 00:00:00.000,Fuel_Price,2.69
25,2012-07-27 00:00:00.000,Fuel_Price,3.647
17,2010-02-12 00:00:00.000,Fuel_Price,2.671
7,2012-03-30 00:00:00.000,Fuel_Price,3.75
5,2010-05-14 00:00:00.000,Fuel_Price,2.854
39,2010-12-24 00:00:00.000,Fuel_Price,2.886
19,2010-02-26 00:00:00.000,Fuel_Price,2.91
28,2011-03-11 00:00:00.000,Fuel_Price,3.818
40,2012-04-13 00:00:00.000,Fuel_Price,4.025
13,2011-04-29 00:00:00.000,Fuel_Price,3.683
18,2011-08-26 00:00:00.000,Fuel_Price,3.796
25,2010-06-25 00:00:00.000,Fuel_Price,2.808
34,2011-10-21 00:00:00.000,Fuel_Price,3.361
16,2012-04-13 00:00:00.000,Fuel_Price,3.901
5,2012-04-27 00:00:00.000,Fuel_Price,3.814
26,2011-11-04 00:00:00.000,Fuel_Price,3.586
3,2011-11-18 00:00:00.000,Fuel_Price,3.308
40,2012-05-04 00:00:00.000,Fuel_Price,3.991
42,2013-03-15 00:00:00.000,Fuel_Price,3.885
6,2011-05-13 00:00:00.000,Fuel_Price,3.899
37,2013-05-10 00:00:00.000,Fuel_Price,3.392
38,2011-01-14 00:00:00.000,Fuel_Price,3.312
