Donations,Date Paid,Donation Amt,Postcode original,State original,Country,Payment Method,Card Type,Postcode Clean,State,Date only,Postcode,Metro,Month
242689,2021-10-02 20:50:00.000,52.5,2794.0,NSW,Australia,credit card,visa,2794.0,NSW,2021-02-10 00:00:00.000,2794.0,Non-Metro,"10, October"
232627,2021-10-01 22:39:00.000,31.5,4031.0,QLD,Australia,credit card,visa,4031.0,QLD,2021-01-10 00:00:00.000,4031.0,Metro,"10, October"
271774,2021-10-07 21:37:00.000,200.0,,,Australia,credit card,visa,0.0,Unknown,2021-07-10 00:00:00.000,,Unknown,"10, October"
241220,2021-10-02 18:36:00.000,21.0,3201.0,VIC,Australia,paypal,,3201.0,VIC,2021-02-10 00:00:00.000,3201.0,Metro,"10, October"
28236,2020-09-23 09:55:00.000,52.5,3029.0,,Australia,paypal,,3029.0,Unknown,2020-09-23 00:00:00.000,3029.0,Metro,"9, September"
147527,2021-08-31 17:36:00.000,52.5,2582.0,NSW,Australia,credit card,visa,2582.0,NSW,2021-08-31 00:00:00.000,2582.0,Non-Metro,"8, August"
147374,2021-08-31 14:02:00.000,34.0,3818.0,VIC,Australia,credit card,visa,3818.0,VIC,2021-08-31 00:00:00.000,3818.0,Non-Metro,"8, August"
301084,2021-10-17 11:46:00.000,31.5,,,Australia,credit card,visa,0.0,Unknown,2021-10-17 00:00:00.000,,Unknown,"10, October"
305468,2021-10-19 16:38:00.000,68.25,3079.0,VIC,Australia,paypal,,3079.0,VIC,2021-10-19 00:00:00.000,3079.0,Metro,"10, October"
129444,2020-10-31 20:05:00.000,20.0,3073.0,VIC,Australia,credit card,mastercard,3073.0,VIC,2020-10-31 00:00:00.000,3073.0,Metro,"10, October"
302151,2021-10-17 20:44:00.000,50.0,6306.0,WA,Australia,paypal,,6306.0,WA,2021-10-17 00:00:00.000,6306.0,Non-Metro,"10, October"
321791,2021-10-27 15:30:00.000,52.5,,,,credit card,visa,,Unknown,2021-10-27 00:00:00.000,,Unknown,"10, October"
45248,2020-09-28 21:03:00.000,105.0,2756.0,NSW,Australia,paypal,,2756.0,NSW,2020-09-28 00:00:00.000,2756.0,Non-Metro,"9, September"
278884,2021-10-09 17:58:00.000,31.5,,,Australia,credit card,mastercard,0.0,Unknown,2021-09-10 00:00:00.000,,Unknown,"10, October"
206228,2021-09-30 14:50:00.000,21.0,2669.0,NSW,Australia,paypal,,2669.0,NSW,2021-09-30 00:00:00.000,2669.0,Non-Metro,"9, September"
85373,2020-10-06 19:55:00.000,40.95,3204.0,VIC,Australia,credit card,visa,3204.0,VIC,2020-06-10 00:00:00.000,3204.0,Metro,"10, October"
338317,2021-11-02 20:05:00.000,39.0,,,,credit card,mastercard,,Unknown,2021-02-11 00:00:00.000,,Unknown,"11, November"
245584,2021-10-03 12:01:00.000,40.95,4066.0,QLD,Australia,credit card,mastercard,4066.0,QLD,2021-03-10 00:00:00.000,4066.0,Metro,"10, October"
240104,2021-10-02 16:54:00.000,52.5,,,Australia,credit card,mastercard,0.0,Unknown,2021-02-10 00:00:00.000,,Unknown,"10, October"
325617,2021-10-28 22:27:00.000,52.5,,,,credit card,mastercard,,Unknown,2021-10-28 00:00:00.000,,Unknown,"10, October"
18087,2020-09-18 02:13:00.000,31.5,,,United Kingdom,credit card,mastercard,,Unknown,2020-09-18 00:00:00.000,,Unknown,"9, September"
96138,2020-10-10 21:21:00.000,21.0,5280.0,SA,Australia,paypal,,5280.0,SA,2020-10-10 00:00:00.000,5280.0,Non-Metro,"10, October"
340096,2021-11-15 11:59:00.000,140.0,,,,credit card,amex,,Unknown,2021-11-15 00:00:00.000,,Unknown,"11, November"
125241,2020-10-30 07:47:00.000,40.95,4116.0,QLD,Australia,credit card,mastercard,4116.0,QLD,2020-10-30 00:00:00.000,4116.0,Metro,"10, October"
