utcconversiontimezonecode,nadb_name,statecode,_modifiedby_value,createdon,_organizationid_value,_createdby_value,modifiedon,nadb_riskratingmethodologyid,timezoneruleversionnumber,versionnumber,importsequencenumber,_createdonbehalfby_value,statuscode,_modifiedonbehalfby_value,nadb_methodologycode,overriddencreatedon
,"Availability based infraestructure Projects",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"04c0009c-c154-ea11-a813-000d3a4e6589",,12004902,102,"",1,"","6",
,"Clean Energy (Solar and  Wind)",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"06c0009c-c154-ea11-a813-000d3a4e6589",,12004903,102,"",1,"","1",
,"Corporate Loans",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"08c0009c-c154-ea11-a813-000d3a4e6589",,12004904,102,"",1,"","10",
,"Mexican Municipalities",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"0ac0009c-c154-ea11-a813-000d3a4e6589",,12004905,102,"",1,"","2",
,"Mexican Water Utilities",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"0cc0009c-c154-ea11-a813-000d3a4e6589",,12004906,102,"",1,"","3",
,"PPP's in Operation",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"0ec0009c-c154-ea11-a813-000d3a4e6589",,12004907,102,"",1,"","8",
,"Projects under Construction",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"10c0009c-c154-ea11-a813-000d3a4e6589",,12004908,102,"",1,"","7",
,"Projects with Specific Source of Payment",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:44.000,"12c0009c-c154-ea11-a813-000d3a4e6589",,12004909,102,"",1,"","9",
,"Revolving Lines of Credit",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:45.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:45.000,"14c0009c-c154-ea11-a813-000d3a4e6589",,12004910,102,"",1,"","5",
,"US Revenue Bonds",0,"c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:45.000,"485254b6-aef7-41ed-995e-fa22317007e7","c7205e36-d6ee-42c5-8733-e670621cd834",2020-02-21 15:48:45.000,"16c0009c-c154-ea11-a813-000d3a4e6589",,12004911,102,"",1,"","4",
