nadb_statusdescription_projrr,statuscode,overriddencreatedon,timezoneruleversionnumber,versionnumber,_owningteam_value,_owninguser_value,_nadb_riskindicator_rating_value,_nadb_project_rating_value,nadb_projectriskratingid,_createdby_value,modifiedon,_owningbusinessunit_value,_modifiedby_value,nadb_indicatordescription_projrr,createdon,nadb_statuspoints_porjrr,nadb_value_pjrisk,importsequencenumber,nadb_name,_ownerid_value,_createdonbehalfby_value,nadb_methodologydescription_projrr,utcconversiontimezonecode,nadb_measuredate_pjrisk,_nadb_riskratingproject_projrr_value,statecode,_modifiedonbehalfby_value,_nadb_riskstatus_rating_value,_nadb_nadbinternalscaleused_value,_nadb_internalcreditriskrating_value,_nadb_methodologyused_value,_nadb_creditriskratingadministration_value
Between 0.85x and 1.15x,1,,0,12471065,,c7205e36-d6ee-42c5-8733-e670621cd834,e19930ab-c154-ea11-a813-000d3a4ed0f6,,6a6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:38.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:37.000,10,,123,Between 0.85x and 1.15x-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,ba7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Has not fallen more than 2 consecutive times in the last 12 months,1,,0,12471883,,c7205e36-d6ee-42c5-8733-e670621cd834,e99930ab-c154-ea11-a813-000d3a4ed0f6,,746184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:45:14.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:38.000,0,,123,Has not fallen more than 2 consecutive times in the last 12 months-1/1/2019-2017,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2017-01-01 00:00:00.000,,0,,d47f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Between 0.85x and 1.15x,1,,0,12469808,,c7205e36-d6ee-42c5-8733-e670621cd834,e19930ab-c154-ea11-a813-000d3a4ed0f6,,d4ddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:18.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:17.000,10,,121,Between 0.85x and 1.15x-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,ba7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
Level 3: Inexistent and non likely,1,,0,13477792,,c7205e36-d6ee-42c5-8733-e670621cd834,ef9930ab-c154-ea11-a813-000d3a4ed0f6,,e6ddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:18.000,0,,121,Level 3: Inexistent and non likely-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,e67f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
"Level 2: Apparent, based on commitments",1,,0,13477791,,c7205e36-d6ee-42c5-8733-e670621cd834,ef9930ab-c154-ea11-a813-000d3a4ed0f6,,846184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:44.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,5,,123,"Level 2: Apparent, based on commitments-1/1/2019-2018",c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,e47f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Cash reserve,1,,0,12469844,,c7205e36-d6ee-42c5-8733-e670621cd834,e39930ab-c154-ea11-a813-000d3a4ed0f6,,f8ddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:19.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:19.000,10,,121,Cash reserve-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,be7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
Level 1: Positive,1,,0,12471132,,c7205e36-d6ee-42c5-8733-e670621cd834,e79930ab-c154-ea11-a813-000d3a4ed0f6,,ac6184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:40.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:40.000,5,,123,Level 1: Positive-1/1/2019-2019,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,cc7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
"External ISP/OEM Operator with 5+ YoE & 1,500 MW wind or 500 MW solar",1,,0,12469832,,c7205e36-d6ee-42c5-8733-e670621cd834,f39930ab-c154-ea11-a813-000d3a4ed0f6,,ecddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 03:48:19.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:19.000,10,,121,"External ISP/OEM Operator with 5+ YoE & 1,500 MW wind or 500 MW solar-1/1/2019-2019",c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,ec7f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
"Level 2: Apparent, based on commitments",1,,0,12471089,,c7205e36-d6ee-42c5-8733-e670621cd834,ef9930ab-c154-ea11-a813-000d3a4ed0f6,,826184c2-1859-ea11-a811-000d3a4ed0f6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-02-27 04:22:39.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 04:22:39.000,5,,123,"Level 2: Apparent, based on commitments-1/1/2019-2019",c7205e36-d6ee-42c5-8733-e670621cd834,,,,2019-01-01 00:00:00.000,,0,,e47f9979-cc54-ea11-a813-000d3a4edd29,,739a0343-d754-ea11-a812-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,06b27cba-1459-ea11-a811-000d3a4f6c19
Level 1: Positive,1,,0,13477781,,c7205e36-d6ee-42c5-8733-e670621cd834,e59930ab-c154-ea11-a813-000d3a4ed0f6,,feddaff6-1359-ea11-a811-000d3a4ed4e6,c7205e36-d6ee-42c5-8733-e670621cd834,2020-03-13 21:55:43.000,b5152e2f-ebcb-e911-a9aa-000d3a14431b,c7205e36-d6ee-42c5-8733-e670621cd834,,2020-02-27 03:48:19.000,5,,121,Level 1: Positive-1/1/2019-2018,c7205e36-d6ee-42c5-8733-e670621cd834,,,,2018-01-01 00:00:00.000,,0,,c67f9979-cc54-ea11-a813-000d3a4edd29,,f917e21c-1859-ea11-a811-000d3a4f6c19,06c0009c-c154-ea11-a813-000d3a4e6589,d8c2e488-e658-ea11-a811-000d3a4f6db7
