Index,variable,value
38,EventSubclass,59
39,EventSubclass,59
40,EventSubclass,59
41,EventSubclass,59
42,EventSubclass,59
43,EventSubclass,59
44,EventSubclass,59
88,EventSubclass,59
92,EventSubclass,59
93,EventSubclass,59
94,EventSubclass,59
98,EventSubclass,59
99,EventSubclass,59
122,EventSubclass,59
123,EventSubclass,59
124,EventSubclass,59
125,EventSubclass,59
126,EventSubclass,59
127,EventSubclass,59
128,EventSubclass,59
129,EventSubclass,59
130,EventSubclass,59
131,EventSubclass,59
155,EventSubclass,59
156,EventSubclass,59
157,EventSubclass,59
158,EventSubclass,59
159,EventSubclass,59
160,EventSubclass,59
192,EventSubclass,59
193,EventSubclass,59
194,EventSubclass,59
195,EventSubclass,59
196,EventSubclass,59
197,EventSubclass,59
198,EventSubclass,59
208,EventSubclass,59
209,EventSubclass,59
210,EventSubclass,59
211,EventSubclass,59
212,EventSubclass,59
220,EventSubclass,59
221,EventSubclass,59
222,EventSubclass,59
249,EventSubclass,59
250,EventSubclass,59
251,EventSubclass,59
252,EventSubclass,59
253,EventSubclass,59
254,EventSubclass,59
256,EventSubclass,59
259,EventSubclass,59
282,EventSubclass,59
284,EventSubclass,59
285,EventSubclass,59
286,EventSubclass,59
304,EventSubclass,59
307,EventSubclass,59
312,EventSubclass,59
313,EventSubclass,59
314,EventSubclass,59
317,EventSubclass,59
321,EventSubclass,59
322,EventSubclass,59
324,EventSubclass,59
325,EventSubclass,59
326,EventSubclass,59
339,EventSubclass,59
344,EventSubclass,59
350,EventSubclass,59
354,EventSubclass,59
379,EventSubclass,59
409,EventSubclass,59
412,EventSubclass,59
2,EventSubclass,1
4,EventSubclass,1
276,EventSubclass,59
277,EventSubclass,59
279,EventSubclass,59
6,EventSubclass,25
7,EventSubclass,17
11,EventSubclass,1
12,EventSubclass,59
15,EventSubclass,25
16,EventSubclass,25
17,EventSubclass,25
18,EventSubclass,25
19,EventSubclass,25
35,EventSubclass,1
36,EventSubclass,59
56,EventSubclass,1
57,EventSubclass,59
85,EventSubclass,1
