LineID,TeamID,Date,ShiftID(Hour),Prod_Actual,Prod_Theoretical,Scrap_Actual,Date(Hour)
1,3,2018-06-18 14:00:00.000,02Afternoon,308.892067,377.3584906,6.5,14
1,2,2018-06-19 20:00:00.000,02Afternoon,1261.036235,377.3584906,0.5,20
2,3,2018-06-19 06:00:00.000,01Morning,348.75235,419.5804196,,6
1,2,2018-06-22 00:00:00.000,03Evening,252.6997215,377.3584906,,0
3,1,2018-06-21 19:00:00.000,02Afternoon,751.7774,823.798627,1.0,19
1,1,2018-06-20 08:00:00.000,01Morning,925.4198885,1132.0754717999998,1.0,8
3,2,2018-06-19 04:00:00.000,03Evening,1099.5247,411.8993135,,4
3,3,2018-06-20 08:00:00.000,01Morning,988.9692,1235.6979405,12.0,8
2,1,2018-06-21 08:00:00.000,01Morning,242.156747,839.1608392,2.5,8
1,1,2018-06-19 08:00:00.000,01Morning,845.0761915,1132.0754717999998,2.5,8
3,3,2018-06-19 00:00:00.000,03Evening,1151.7873,1647.597254,6.5,0
3,3,2018-06-18 21:00:00.000,03Evening,399.507375,823.798627,13.0,21
2,1,2018-06-20 21:00:00.000,03Evening,0.0,,7.5,21
2,2,2018-06-21 23:00:00.000,03Evening,352.7826005,419.5804196,,23
2,2,2018-06-21 15:00:00.000,02Afternoon,869.0968865,1127.6223777,28.66,15
2,1,2018-06-20 03:00:00.000,03Evening,1177.8080445,1258.7412588000002,1.5,3
1,2,2018-06-21 08:00:00.000,01Morning,1662.071286,1745.283019,26.39,8
3,1,2018-06-21 04:00:00.000,03Evening,755.295075,823.798627,4.5,4
2,2,2018-06-22 05:00:00.000,01Morning,1128.7616045,1678.3216784,10.5,5
3,1,2018-06-20 02:00:00.000,03Evening,672.37845,823.798627,1.5,2
2,2,2018-06-19 05:00:00.000,01Morning,1717.3992884999998,1258.7412588000002,5.0,5
2,1,2018-06-21 19:00:00.000,02Afternoon,621.9852430000001,839.1608392,35.49,19
2,3,2018-06-18 19:00:00.000,02Afternoon,1383.9236985,2097.902098,24.5,19
3,1,2018-06-18 14:00:00.000,02Afternoon,1155.8075,1235.6979405,8.5,14
1,3,2018-06-18 21:00:00.000,03Evening,1017.954842,1132.0754717999998,36.83,21
2,1,2018-06-18 12:00:00.000,01Morning,1673.428351,2517.4825176,30.32,12
3,3,2018-06-20 20:00:00.000,02Afternoon,1617.627975,1982.2654462,9.5,20
3,1,2018-06-20 14:00:00.000,02Afternoon,1148.77215,1261.4416476,3.0,14
1,2,2018-06-18 15:00:00.000,02Afternoon,1002.3665165,1132.0754717999998,5.0,15
2,1,2018-06-20 18:00:00.000,02Afternoon,1545.4151325,1258.7412588000002,27.74,18
2,1,2018-06-20 01:00:00.000,03Evening,320.5204955,419.5804196,,1
1,3,2018-06-18 17:00:00.000,02Afternoon,957.631741,1886.792453,20.0,17
2,2,2018-06-21 18:00:00.000,02Afternoon,344.12912,288.4615385,12.83,18
1,1,2018-06-19 12:00:00.000,01Morning,2470.4631525,2641.5094342,5.0,12
2,2,2018-06-18 18:00:00.000,02Afternoon,321.3044345,419.5804196,14.66,18
2,2,2018-06-21 09:00:00.000,01Morning,2366.993255,2910.839161,34.33,9
1,3,2018-06-20 23:00:00.000,03Evening,2179.7825915,2264.1509436,31.08,23
3,1,2018-06-22 06:00:00.000,01Morning,667.3532,823.798627,7.0,6
1,2,2018-06-18 20:00:00.000,02Afternoon,292.891671,377.3584906,3.5,20
1,1,2018-06-19 13:00:00.000,02Afternoon,2037.4876125,1886.792453,4.0,13
3,3,2018-06-22 00:00:00.000,03Evening,752.78245,849.5423341,,0
1,1,2018-06-20 13:00:00.000,02Afternoon,331.2544295,377.3584906,,13
2,3,2018-06-20 20:00:00.000,02Afternoon,2431.055142,2937.0629372,22.33,20
1,3,2018-06-18 15:00:00.000,02Afternoon,683.2430405,754.7169812,,15
2,1,2018-06-19 17:00:00.000,02Afternoon,703.635505,839.1608392,7.0,17
2,1,2018-06-18 15:00:00.000,02Afternoon,610.688481,839.1608392,0.33,15
3,3,2018-06-20 03:00:00.000,03Evening,1127.163575,1235.6979405,7.0,3
1,1,2018-06-20 20:00:00.000,02Afternoon,341.4657375,377.3584906,27.0,20
2,2,2018-06-21 22:00:00.000,03Evening,330.0282685,419.5804196,,22
2,3,2018-06-20 22:00:00.000,03Evening,1402.6477799999998,1678.3216784,12.0,22
1,3,2018-06-20 21:00:00.000,03Evening,1578.9234995000002,1886.792453,5.0,21
1,2,2018-06-18 08:00:00.000,01Morning,305.957321,377.3584906,14.0,8
1,3,2018-06-20 02:00:00.000,03Evening,1230.281705,1132.0754717999998,25.5,2
3,1,2018-06-19 22:00:00.000,03Evening,0.0,,5.0,22
3,1,2018-06-20 11:00:00.000,01Morning,1476.41845,1673.3409611000002,6.0,11
2,2,2018-06-21 17:00:00.000,02Afternoon,700.338941,708.0419581000001,2.5,17
1,1,2018-06-20 12:00:00.000,01Morning,993.089905,1132.0754717999998,10.5,12
1,3,2018-06-20 09:00:00.000,01Morning,344.4004835,377.3584906,,9
3,2,2018-06-21 21:00:00.000,03Evening,1002.537375,1235.6979405,15.5,21
3,2,2018-06-20 16:00:00.000,02Afternoon,987.96415,1287.1853547,16.0,16
3,1,2018-06-19 08:00:00.000,01Morning,626.14615,823.798627,24.0,8
1,3,2018-06-18 19:00:00.000,02Afternoon,1266.222293,1509.4339624,20.66,19
3,2,2018-06-20 23:00:00.000,03Evening,1505.5649,1209.9542334,19.5,23
2,2,2018-06-19 04:00:00.000,03Evening,1382.848295,1258.7412588000002,9.5,4
1,2,2018-06-19 05:00:00.000,01Morning,2404.200206,1886.792453,17.83,5
3,2,2018-06-18 07:00:00.000,01Morning,678.911275,823.798627,15.0,7
3,1,2018-06-20 16:00:00.000,02Afternoon,2201.562025,1673.3409611000002,7.5,16
3,3,2018-06-18 09:00:00.000,01Morning,385.9392,823.798627,21.5,9
2,2,2018-06-19 11:00:00.000,01Morning,989.4013715,1258.7412588000002,18.66,11
1,2,2018-06-21 20:00:00.000,02Afternoon,659.0615375,636.7924529,13.75,20
1,2,2018-06-18 19:00:00.000,02Afternoon,319.022971,377.3584906,13.5,19
1,2,2018-06-20 06:00:00.000,01Morning,684.2681915000001,754.7169812,0.5,6
3,2,2018-06-22 00:00:00.000,03Evening,925.65105,1235.6979405,,0
2,1,2018-06-19 06:00:00.000,01Morning,626.3572105000001,839.1608392,21.5,6
1,2,2018-06-19 16:00:00.000,02Afternoon,982.4263245,1132.0754717999998,16.5,16
2,3,2018-06-20 09:00:00.000,01Morning,357.2852245,419.5804196,8.32,9
3,1,2018-06-21 02:00:00.000,03Evening,305.5352,411.8993135,,2
3,2,2018-06-22 03:00:00.000,03Evening,699.5147999999999,823.798627,10.5,3
1,2,2018-06-22 05:00:00.000,01Morning,606.306463,754.7169812,48.33,5
2,3,2018-06-19 15:00:00.000,02Afternoon,390.461925,419.5804196,,15
3,2,2018-06-19 05:00:00.000,01Morning,821.628375,823.798627,,5
3,2,2018-06-20 01:00:00.000,03Evening,0.0,,3.0,1
3,3,2018-06-19 18:00:00.000,02Afternoon,384.93415,411.8993135,11.5,18
2,1,2018-06-18 09:00:00.000,01Morning,1907.5145465,2517.4825176,40.65,9
1,2,2018-06-21 19:00:00.000,02Afternoon,614.1760045000001,636.7924529,1.0,19
2,2,2018-06-19 02:00:00.000,03Evening,967.86315,839.1608392,19.33,2
2,1,2018-06-21 04:00:00.000,03Evening,331.0735205,419.5804196,1.0,4
3,1,2018-06-18 10:00:00.000,01Morning,1999.04445,2497.1395881,8.5,10
1,3,2018-06-18 05:00:00.000,01Morning,291.3941465,377.3584906,,5
2,2,2018-06-18 21:00:00.000,03Evening,357.4661335,419.5804196,,21
3,3,2018-06-21 02:00:00.000,03Evening,1499.5346,798.0549199,17.5,2
1,1,2018-06-20 18:00:00.000,02Afternoon,1736.706299,1132.0754717999998,12.75,18
1,3,2018-06-19 03:00:00.000,03Evening,680.4087995,754.7169812,6.5,3
1,2,2018-06-20 07:00:00.000,01Morning,558.6771435,754.7169812,33.5,7
2,2,2018-06-21 01:00:00.000,03Evening,329.5659455,419.5804196,8.16,1
3,3,2018-06-20 10:00:00.000,01Morning,393.477075,1235.6979405,10.0,10
2,3,2018-06-20 12:00:00.000,01Morning,303.4346455,,,12
1,1,2018-06-19 05:00:00.000,01Morning,650.6794205,754.7169812,5.5,5
3,3,2018-06-20 09:00:00.000,01Morning,1139.7267,1235.6979405,13.0,9
2,1,2018-06-19 11:00:00.000,01Morning,813.8392375,1258.7412588000002,17.0,11
