State,SubCategory,Sales
"Wisconsin","Supplies",21.81
"Wisconsin","Storage",111.906666667
"Wisconsin","Paper",154.717777778
"Wisconsin","Labels",29.641666667
"Wisconsin","Fasteners",1.81
"Wisconsin","Binders",45.260769231
"Wisconsin","Art",22.827142857
"Wisconsin","Appliances",387.224285714
"West Virginia","Paper",447.84
"West Virginia","Binders",44.32
"Washington","Supplies",53.704444444
"Washington","Storage",268.636734694
"Washington","Paper",56.249830508
"Washington","Labels",67.875882353
"Washington","Fasteners",17.546666667
"Washington","Envelopes",85.453333333
"Washington","Binders",211.117767442
"Washington","Art",31.289411765
"Washington","Appliances",115.844117647
"Virginia","Supplies",762.538333333
"Virginia","Storage",188.429
"Virginia","Paper",46.373076923
"Virginia","Labels",39.564166667
"Virginia","Fasteners",21.29
"Virginia","Envelopes",108.408
"Virginia","Binders",191.7696
"Virginia","Art",46.122105263
"Virginia","Appliances",307.537857143
"Vermont","Storage",1564.29
"Vermont","Paper",46.1
"Vermont","Envelopes",2.04
"Vermont","Art",8.04
"Vermont","Appliances",542.94
"Utah","Supplies",44.4
"Utah","Storage",150.263333333
"Utah","Paper",104.752727273
"Utah","Labels",15.075
"Utah","Fasteners",5
"Utah","Binders",63.299333333
"Utah","Art",25.0125
"Utah","Appliances",1089.75
"Texas","Supplies",237.724210526
"Texas","Storage",189.440771084
"Texas","Paper",47.506503401
"Texas","Labels",19.453333333
"Texas","Fasteners",13.852666667
"Texas","Envelopes",84.354933333
"Texas","Binders",59.102457516
"Texas","Art",33.373633803
"Texas","Appliances",51.230085106
"Tennessee","Supplies",48.896
"Tennessee","Storage",183.936444444
"Tennessee","Paper",40.781538462
"Tennessee","Labels",14.421
"Tennessee","Fasteners",28.888
"Tennessee","Envelopes",35.4704
"Tennessee","Binders",177.518689655
"Tennessee","Art",25.675294118
"Tennessee","Appliances",191.4984
"South Dakota","Supplies",25.5
"South Dakota","Labels",17.425
"South Dakota","Fasteners",6.54
"South Dakota","Binders",38.17
"South Dakota","Appliances",416.32
"South Carolina","Storage",285.245555556
