Month of Order Date,Sub-Category,Sales,MonthSort
"June","Tables",16404.993,6
"May","Tables",9288.291,5
"April","Tables",9913.156,4
"March","Tables",16912.987,3
"February","Tables",4217.683,2
"January","Tables",10952.092,1
"June","Supplies",1266.588,6
"May","Supplies",1153.636,5
"April","Supplies",6215.944,4
"March","Supplies",10636.744,3
"February","Supplies",289.35,2
"January","Supplies",4403.37,1
"June","Storage",18605.662,6
"May","Storage",14669.976,5
"April","Storage",15805.664,4
"March","Storage",14792.768,3
"February","Storage",6124.664,2
"January","Storage",9217.802,1
"June","Phones",26313.704,6
"May","Phones",24361.542,5
"April","Phones",17608.912,4
"March","Phones",28443.292,3
"February","Phones",8984.208,2
"January","Phones",13469.308,1
"June","Paper",6722.194,6
"May","Paper",6213.21,5
"April","Paper",3964.144,4
"March","Paper",6285.532,3
"February","Paper",2812.658,2
"January","Paper",2263.622,1
"June","Machines",12182.525,6
"May","Machines",11267.723,5
"April","Machines",18189.763,4
"March","Machines",35051.904,3
"February","Machines",8989.934,2
"January","Machines",7214.631,1
"June","Labels",1207.01,6
"May","Labels",863.118,5
"April","Labels",430.032,4
"March","Labels",940.108,3
"February","Labels",299.882,2
"January","Labels",206.666,1
"June","Furnishings",5923.474,6
"May","Furnishings",6893.428,5
"April","Furnishings",7538.362,4
"March","Furnishings",5159.046,3
"February","Furnishings",2315.674,2
"January","Furnishings",3979.622,1
"June","Fasteners",115.504,6
"May","Fasteners",109.302,5
"April","Fasteners",258.404,4
"March","Fasteners",149.636,3
"February","Fasteners",159.312,2
"January","Fasteners",87.66,1
"June","Envelopes",513.758,6
"May","Envelopes",1096.06,5
"April","Envelopes",945.282,4
"March","Envelopes",1656.518,3
"February","Envelopes",668.566,2
"January","Envelopes",749.896,1
"June","Copiers",899.97,6
"May","Copiers",18399.79,5
"April","Copiers",3879.892,4
"March","Copiers",25589.736,3
"January","Copiers",3959.918,1
"June","Chairs",21523.367,6
"May","Chairs",25893.83,5
"April","Chairs",18526.585,4
"March","Chairs",21344.327,3
"February","Chairs",7582.94,2
"January","Chairs",11285.169,1
"June","Bookcases",9147.6293,6
"May","Bookcases",6289.5817,5
"April","Bookcases",4720.4806,4
"March","Bookcases",7351.9158,3
"February","Bookcases",1649.6234,2
"January","Bookcases",5352.3586,1
"June","Binders",13286.761,6
"May","Binders",9159.444,5
"April","Binders",13364.854,4
"March","Binders",13888.735,3
"February","Binders",4236.981,2
"January","Binders",12214.201,1
"June","Art",2217.696,6
"May","Art",2230.83,5
"April","Art",2407.16,4
"March","Art",1301.974,3
"February","Art",1117.514,2
"January","Art",914.37,1
"June","Appliances",7479.46,6
"May","Appliances",7525.95,5
"April","Appliances",6041.786,4
"March","Appliances",6733.628,3
"February","Appliances",4932.986,2
"January","Appliances",3176.244,1
"June","Accessories",8908.384,6
"May","Accessories",9613.1,5
"April","Accessories",7951.708,4
"March","Accessories",8766.638,3
"February","Accessories",5369.276,2
"January","Accessories",5477.906,1
