Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,Month Name,Month & Year,Quarter & Year,DayOfWeek,DayOfWeekName,WeekEnding,MonthEnding,ISO Weeknumber,ISO Year,ISO Day of Year,Week & Year,WeeknYear,MonthnYear,QuarternYear,Fiscal Year,Fiscal Quarter,Fiscal Period,IsAfterToday,IsWorkingDay,IsHoliday,IsBusinessDay,Day Type,WeekOffset,MonthOffset,QuarterOffset,YearOffset,FiscalYearOffset,WeekCompleted,MonthCompleted,QuarterCompleted
2020-07-01 00:00:00.000,2020,3,7,1,20200701,"July","Jul 2020","Q3 2020",3,"Wednesday",2020-07-05 00:00:00.000,2020-07-31 00:00:00.000,27,2020,185,"2020-27",20202700,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-61,-14,-4,-1,-1,True,True,True
2020-07-02 00:00:00.000,2020,3,7,2,20200702,"July","Jul 2020","Q3 2020",4,"Thursday",2020-07-05 00:00:00.000,2020-07-31 00:00:00.000,27,2020,186,"2020-27",20202700,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-61,-14,-4,-1,-1,True,True,True
2020-07-03 00:00:00.000,2020,3,7,3,20200703,"July","Jul 2020","Q3 2020",5,"Friday",2020-07-05 00:00:00.000,2020-07-31 00:00:00.000,27,2020,187,"2020-27",20202700,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-61,-14,-4,-1,-1,True,True,True
2020-07-04 00:00:00.000,2020,3,7,4,20200704,"July","Jul 2020","Q3 2020",6,"Saturday",2020-07-05 00:00:00.000,2020-07-31 00:00:00.000,27,2020,188,"2020-27",20202700,20200700,20200300,"FY21","FQ1",1,False,False,"Unknown",False,"Weekend",-61,-14,-4,-1,-1,True,True,True
2020-07-05 00:00:00.000,2020,3,7,5,20200705,"July","Jul 2020","Q3 2020",0,"Sunday",2020-07-05 00:00:00.000,2020-07-31 00:00:00.000,27,2020,189,"2020-27",20202700,20200700,20200300,"FY21","FQ1",1,False,False,"Unknown",False,"Weekend",-61,-14,-4,-1,-1,True,True,True
2020-07-06 00:00:00.000,2020,3,7,6,20200706,"July","Jul 2020","Q3 2020",1,"Monday",2020-07-12 00:00:00.000,2020-07-31 00:00:00.000,28,2020,190,"2020-28",20202800,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-60,-14,-4,-1,-1,True,True,True
2020-07-07 00:00:00.000,2020,3,7,7,20200707,"July","Jul 2020","Q3 2020",2,"Tuesday",2020-07-12 00:00:00.000,2020-07-31 00:00:00.000,28,2020,191,"2020-28",20202800,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-60,-14,-4,-1,-1,True,True,True
2020-07-08 00:00:00.000,2020,3,7,8,20200708,"July","Jul 2020","Q3 2020",3,"Wednesday",2020-07-12 00:00:00.000,2020-07-31 00:00:00.000,28,2020,192,"2020-28",20202800,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-60,-14,-4,-1,-1,True,True,True
2020-07-09 00:00:00.000,2020,3,7,9,20200709,"July","Jul 2020","Q3 2020",4,"Thursday",2020-07-12 00:00:00.000,2020-07-31 00:00:00.000,28,2020,193,"2020-28",20202800,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-60,-14,-4,-1,-1,True,True,True
2020-07-10 00:00:00.000,2020,3,7,10,20200710,"July","Jul 2020","Q3 2020",5,"Friday",2020-07-12 00:00:00.000,2020-07-31 00:00:00.000,28,2020,194,"2020-28",20202800,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-60,-14,-4,-1,-1,True,True,True
2020-07-11 00:00:00.000,2020,3,7,11,20200711,"July","Jul 2020","Q3 2020",6,"Saturday",2020-07-12 00:00:00.000,2020-07-31 00:00:00.000,28,2020,195,"2020-28",20202800,20200700,20200300,"FY21","FQ1",1,False,False,"Unknown",False,"Weekend",-60,-14,-4,-1,-1,True,True,True
2020-07-12 00:00:00.000,2020,3,7,12,20200712,"July","Jul 2020","Q3 2020",0,"Sunday",2020-07-12 00:00:00.000,2020-07-31 00:00:00.000,28,2020,196,"2020-28",20202800,20200700,20200300,"FY21","FQ1",1,False,False,"Unknown",False,"Weekend",-60,-14,-4,-1,-1,True,True,True
2020-07-13 00:00:00.000,2020,3,7,13,20200713,"July","Jul 2020","Q3 2020",1,"Monday",2020-07-19 00:00:00.000,2020-07-31 00:00:00.000,29,2020,197,"2020-29",20202900,20200700,20200300,"FY21","FQ1",1,False,True,"Unknown",True,"Weekday",-59,-14,-4,-1,-1,True,True,True
