PurchaseOrderID,PurchaseOrderDetailID,variable,value
2221,4936,DueDate,2014-03-20 00:00:00.000
236,557,DueDate,2012-09-11 00:00:00.000
1009,2249,DueDate,2013-10-20 00:00:00.000
1846,4124,DueDate,2014-02-12 00:00:00.000
867,1947,DueDate,2013-09-23 00:00:00.000
45,101,DueDate,2012-01-30 00:00:00.000
2170,4821,DueDate,2014-03-17 00:00:00.000
3056,6750,DueDate,2014-06-07 00:00:00.000
1714,3833,DueDate,2014-01-30 00:00:00.000
1245,2807,DueDate,2013-12-09 00:00:00.000
2794,6194,DueDate,2014-05-14 00:00:00.000
1503,3387,DueDate,2014-01-06 00:00:00.000
1855,4151,DueDate,2014-02-12 00:00:00.000
3122,6876,DueDate,2014-06-12 00:00:00.000
1889,4226,DueDate,2014-02-19 00:00:00.000
2835,6287,DueDate,2014-05-19 00:00:00.000
2380,5275,DueDate,2014-04-07 00:00:00.000
2026,4529,DueDate,2014-03-05 00:00:00.000
3688,8132,DueDate,2014-07-28 00:00:00.000
1154,2615,DueDate,2013-11-26 00:00:00.000
732,1623,DueDate,2013-09-11 00:00:00.000
3779,8317,DueDate,2014-08-04 00:00:00.000
325,734,DueDate,2013-05-09 00:00:00.000
464,1024,DueDate,2013-08-20 00:00:00.000
363,821,DueDate,2013-06-05 00:00:00.000
3159,6964,DueDate,2014-06-16 00:00:00.000
1373,3113,DueDate,2013-12-23 00:00:00.000
653,1459,DueDate,2013-09-04 00:00:00.000
2308,5115,DueDate,2014-03-28 00:00:00.000
2221,4937,DueDate,2014-03-20 00:00:00.000
1745,3906,DueDate,2014-02-03 00:00:00.000
1045,2350,DueDate,2013-10-28 00:00:00.000
2067,4622,DueDate,2014-03-07 00:00:00.000
2044,4561,DueDate,2014-03-06 00:00:00.000
1317,2989,DueDate,2013-12-16 00:00:00.000
1521,3425,DueDate,2014-01-07 00:00:00.000
2889,6397,DueDate,2014-05-26 00:00:00.000
29,73,DueDate,2012-01-22 00:00:00.000
3106,6842,DueDate,2014-06-11 00:00:00.000
3352,7413,DueDate,2014-07-02 00:00:00.000
1836,4110,DueDate,2014-02-11 00:00:00.000
3591,7921,DueDate,2014-07-21 00:00:00.000
1214,2740,DueDate,2013-12-04 00:00:00.000
3003,6631,DueDate,2014-06-04 00:00:00.000
1237,2793,DueDate,2013-12-06 00:00:00.000
3020,6677,DueDate,2014-06-05 00:00:00.000
3486,7711,DueDate,2014-07-11 00:00:00.000
3399,7512,DueDate,2014-07-05 00:00:00.000
257,603,DueDate,2012-10-16 00:00:00.000
765,1694,DueDate,2013-09-15 00:00:00.000
19,42,DueDate,2011-12-29 00:00:00.000
529,1188,DueDate,2013-08-26 00:00:00.000
2951,6516,DueDate,2014-05-30 00:00:00.000
634,1411,DueDate,2013-09-03 00:00:00.000
436,960,DueDate,2013-08-19 00:00:00.000
1305,2951,DueDate,2013-12-13 00:00:00.000
1667,3732,DueDate,2014-01-23 00:00:00.000
1484,3352,DueDate,2014-01-02 00:00:00.000
644,1432,DueDate,2013-09-04 00:00:00.000
218,518,DueDate,2012-08-29 00:00:00.000
1589,3570,DueDate,2014-01-15 00:00:00.000
1928,4323,DueDate,2014-02-21 00:00:00.000
2932,6479,DueDate,2014-05-28 00:00:00.000
852,1915,DueDate,2013-09-22 00:00:00.000
682,1519,DueDate,2013-09-08 00:00:00.000
584,1301,DueDate,2013-08-29 00:00:00.000
427,943,DueDate,2013-08-18 00:00:00.000
1440,3263,DueDate,2013-12-31 00:00:00.000
1445,3270,DueDate,2013-12-31 00:00:00.000
1889,4227,DueDate,2014-02-19 00:00:00.000
3580,7901,DueDate,2014-07-18 00:00:00.000
1458,3295,DueDate,2014-01-01 00:00:00.000
863,1939,DueDate,2013-09-23 00:00:00.000
1107,2496,DueDate,2013-11-21 00:00:00.000
2741,6085,DueDate,2014-05-09 00:00:00.000
3860,8493,DueDate,2014-08-09 00:00:00.000
1222,2761,DueDate,2013-12-05 00:00:00.000
2916,6446,DueDate,2014-05-27 00:00:00.000
2714,6030,DueDate,2014-05-07 00:00:00.000
1031,2324,DueDate,2013-10-27 00:00:00.000
2612,5802,DueDate,2014-04-29 00:00:00.000
3902,8569,DueDate,2014-08-11 00:00:00.000
2622,5825,DueDate,2014-04-30 00:00:00.000
261,612,DueDate,2012-10-25 00:00:00.000
1435,3249,DueDate,2013-12-28 00:00:00.000
3929,8638,DueDate,2014-08-13 00:00:00.000
2175,4830,DueDate,2014-03-17 00:00:00.000
2780,6169,DueDate,2014-05-13 00:00:00.000
1629,3655,DueDate,2014-01-17 00:00:00.000
2922,6458,DueDate,2014-05-28 00:00:00.000
1908,4285,DueDate,2014-02-20 00:00:00.000
2145,4770,DueDate,2014-03-14 00:00:00.000
850,1909,DueDate,2013-09-22 00:00:00.000
4007,8814,DueDate,2014-05-14 00:00:00.000
2668,5918,DueDate,2014-05-02 00:00:00.000
146,352,DueDate,2012-04-25 00:00:00.000
2819,6249,DueDate,2014-05-16 00:00:00.000
194,470,DueDate,2012-07-09 00:00:00.000
2598,5777,DueDate,2014-04-28 00:00:00.000
1445,3269,DueDate,2013-12-31 00:00:00.000
2221,4936,OrderQty,3
236,557,OrderQty,3
1009,2249,OrderQty,3
1846,4124,OrderQty,550
867,1947,OrderQty,3
45,101,OrderQty,550
2170,4821,OrderQty,60
3056,6750,OrderQty,550
1714,3833,OrderQty,550
1245,2807,OrderQty,3
2794,6194,OrderQty,550
1503,3387,OrderQty,550
1855,4151,OrderQty,3
3122,6876,OrderQty,3
1889,4226,OrderQty,3
2835,6287,OrderQty,3
2380,5275,OrderQty,550
2026,4529,OrderQty,3
3688,8132,OrderQty,550
1154,2615,OrderQty,550
732,1623,OrderQty,3
3779,8317,OrderQty,550
325,734,OrderQty,3
464,1024,OrderQty,550
363,821,OrderQty,550
3159,6964,OrderQty,550
1373,3113,OrderQty,3
653,1459,OrderQty,3
2308,5115,OrderQty,60
2221,4937,OrderQty,3
1745,3906,OrderQty,3
1045,2350,OrderQty,550
2067,4622,OrderQty,3
2044,4561,OrderQty,3
1317,2989,OrderQty,60
1521,3425,OrderQty,550
2889,6397,OrderQty,550
29,73,OrderQty,3
3106,6842,OrderQty,550
3352,7413,OrderQty,550
1836,4110,OrderQty,550
3591,7921,OrderQty,3
1214,2740,OrderQty,550
3003,6631,OrderQty,550
1237,2793,OrderQty,550
3020,6677,OrderQty,550
3486,7711,OrderQty,550
3399,7512,OrderQty,550
257,603,OrderQty,60
765,1694,OrderQty,3
19,42,OrderQty,550
