Category,Subcategory,Month,OPEX
"Advertising","SMM",2017-01-01 00:00:00.000,1131
"Advertising","SMM",2017-02-01 00:00:00.000,2635
"Advertising","SMM",2017-03-01 00:00:00.000,4134
"Advertising","SMM",2017-04-01 00:00:00.000,2179
"Advertising","SMM",2017-05-01 00:00:00.000,2637
"Advertising","SMM",2017-06-01 00:00:00.000,3279
"Advertising","SMM",2017-07-01 00:00:00.000,2218
"Advertising","SMM",2017-08-01 00:00:00.000,3287
"Advertising","SMM",2017-09-01 00:00:00.000,3885
"Advertising","SMM",2017-10-01 00:00:00.000,2484
"Advertising","SMM",2017-11-01 00:00:00.000,5441
"Advertising","SMM",2017-12-01 00:00:00.000,3551
"Advertising","SEO",2017-01-01 00:00:00.000,666
"Advertising","SEO",2017-02-01 00:00:00.000,3695
"Advertising","SEO",2017-03-01 00:00:00.000,2868
"Advertising","SEO",2017-04-01 00:00:00.000,4862
"Advertising","SEO",2017-05-01 00:00:00.000,3439
"Advertising","SEO",2017-06-01 00:00:00.000,4612
"Advertising","SEO",2017-07-01 00:00:00.000,2774
"Advertising","SEO",2017-08-01 00:00:00.000,3003
"Advertising","SEO",2017-09-01 00:00:00.000,2401
"Advertising","SEO",2017-10-01 00:00:00.000,4413
"Advertising","SEO",2017-11-01 00:00:00.000,3881
"Advertising","SEO",2017-12-01 00:00:00.000,2143
"Advertising","Google Ads",2017-01-01 00:00:00.000,1892
"Advertising","Google Ads",2017-02-01 00:00:00.000,4727
"Advertising","Google Ads",2017-03-01 00:00:00.000,3656
"Advertising","Google Ads",2017-04-01 00:00:00.000,4449
"Advertising","Google Ads",2017-05-01 00:00:00.000,4051
"Advertising","Google Ads",2017-06-01 00:00:00.000,6257
"Advertising","Google Ads",2017-07-01 00:00:00.000,4871
"Advertising","Google Ads",2017-08-01 00:00:00.000,5231
"Advertising","Google Ads",2017-09-01 00:00:00.000,5461
"Advertising","Google Ads",2017-10-01 00:00:00.000,5529
"Advertising","Google Ads",2017-11-01 00:00:00.000,5220
"Advertising","Google Ads",2017-12-01 00:00:00.000,6025
"Advertising","TV",2017-01-01 00:00:00.000,5317
"Advertising","TV",2017-02-01 00:00:00.000,16221
"Advertising","TV",2017-03-01 00:00:00.000,16752
"Advertising","TV",2017-04-01 00:00:00.000,16552
"Advertising","TV",2017-05-01 00:00:00.000,17204
"Advertising","TV",2017-06-01 00:00:00.000,25354
"Advertising","TV",2017-07-01 00:00:00.000,17584
"Advertising","TV",2017-08-01 00:00:00.000,20409
"Advertising","TV",2017-09-01 00:00:00.000,18268
"Advertising","TV",2017-10-01 00:00:00.000,20567
"Advertising","TV",2017-11-01 00:00:00.000,25571
"Advertising","TV",2017-12-01 00:00:00.000,22106
"Advertising","POSM",2017-01-01 00:00:00.000,809
"Advertising","POSM",2017-02-01 00:00:00.000,2684
"Advertising","POSM",2017-03-01 00:00:00.000,2917
"Advertising","POSM",2017-04-01 00:00:00.000,3425
"Advertising","POSM",2017-05-01 00:00:00.000,2716
"Advertising","POSM",2017-06-01 00:00:00.000,3260
"Advertising","POSM",2017-07-01 00:00:00.000,3773
"Advertising","POSM",2017-08-01 00:00:00.000,3523
"Advertising","POSM",2017-09-01 00:00:00.000,4252
"Advertising","POSM",2017-10-01 00:00:00.000,3111
"Advertising","POSM",2017-11-01 00:00:00.000,4985
"Advertising","POSM",2017-12-01 00:00:00.000,4348
"Advertising","Radio",2017-01-01 00:00:00.000,3554
"Advertising","Radio",2017-02-01 00:00:00.000,18758
"Advertising","Radio",2017-03-01 00:00:00.000,20905
"Advertising","Radio",2017-04-01 00:00:00.000,18046
"Advertising","Radio",2017-05-01 00:00:00.000,21680
"Advertising","Radio",2017-06-01 00:00:00.000,22456
"Advertising","Radio",2017-07-01 00:00:00.000,23995
"Advertising","Radio",2017-08-01 00:00:00.000,22922
"Advertising","Radio",2017-09-01 00:00:00.000,20950
"Advertising","Radio",2017-10-01 00:00:00.000,21905
"Advertising","Radio",2017-11-01 00:00:00.000,24019
"Advertising","Radio",2017-12-01 00:00:00.000,23587
"Advertising","SMM",2018-01-01 00:00:00.000,3044
"Advertising","SMM",2018-02-01 00:00:00.000,2065
"Advertising","SMM",2018-03-01 00:00:00.000,2066
"Advertising","SMM",2018-04-01 00:00:00.000,1707
"Advertising","SMM",2018-05-01 00:00:00.000,2066
"Advertising","SMM",2018-06-01 00:00:00.000,1707
"Advertising","SMM",2018-07-01 00:00:00.000,1738
"Advertising","SMM",2018-08-01 00:00:00.000,2576
"Advertising","SMM",2018-09-01 00:00:00.000,3044
"Advertising","SMM",2018-10-01 00:00:00.000,1707
"Advertising","SMM",2018-11-01 00:00:00.000,4264
"Advertising","SMM",2018-12-01 00:00:00.000,1707
"Advertising","SEO",2018-01-01 00:00:00.000,1881
"Advertising","SEO",2018-02-01 00:00:00.000,2895
"Advertising","SEO",2018-03-01 00:00:00.000,2695
"Advertising","SEO",2018-04-01 00:00:00.000,3810
"Advertising","SEO",2018-05-01 00:00:00.000,2695
"Advertising","SEO",2018-06-01 00:00:00.000,3810
"Advertising","SEO",2018-07-01 00:00:00.000,2174
"Advertising","SEO",2018-08-01 00:00:00.000,2353
"Advertising","SEO",2018-09-01 00:00:00.000,1881
"Advertising","SEO",2018-10-01 00:00:00.000,3810
"Advertising","SEO",2018-11-01 00:00:00.000,3041
"Advertising","SEO",2018-12-01 00:00:00.000,3810
"Advertising","Google Ads",2018-01-01 00:00:00.000,4279
"Advertising","Google Ads",2018-02-01 00:00:00.000,3704
"Advertising","Google Ads",2018-03-01 00:00:00.000,3174
"Advertising","Google Ads",2018-04-01 00:00:00.000,3486
