ProductKey,CustomerKey,OrderDateKey,Order Date,Delivery Date,Order Number,Order Line Number,Quantity,Unit Price,Unit Discount,Unit Cost,Net Price,DiscountCategory
759,19135,20090914,2009-09-14 00:00:00.000,2009-09-20 00:00:00.000,200909143CS725,282,1,11.9,0.0,6.07,11.9,FULL PRICE
758,18887,20081116,2008-11-16 00:00:00.000,2008-11-23 00:00:00.000,200811163CS794,351,1,27.9,5.58,12.83,22.32,HIGH
2506,18929,20090405,2009-04-05 00:00:00.000,2009-04-11 00:00:00.000,200904055CS838,1377,1,4.74,0.0,2.42,4.74,FULL PRICE
1663,10249,20090630,2009-06-30 00:00:00.000,2009-07-09 00:00:00.000,20090630721248,1,1,6.89,0.689,3.17,6.201,MEDIUM
447,19113,20090114,2009-01-14 00:00:00.000,2009-01-22 00:00:00.000,200901143CS680,137,2,229.9,34.485,117.21,195.415,HIGH
8,6091,20070530,2007-05-30 00:00:00.000,2007-06-10 00:00:00.000,20070530117090,1,1,59.99,0.0,30.58,59.99,FULL PRICE
1127,19108,20081114,2008-11-14 00:00:00.000,2008-11-22 00:00:00.000,200811144CS648,139,4,328.0,49.2,150.84,278.8,HIGH
1114,19091,20071224,2007-12-24 00:00:00.000,2008-01-02 00:00:00.000,200712244CS519,241,1,334.0,50.1,153.59,283.9,HIGH
280,18962,20090706,2009-07-06 00:00:00.000,2009-07-16 00:00:00.000,200907062CS873,191,3,329.0,32.9,167.73,296.1,MEDIUM
244,4269,20070113,2007-01-13 00:00:00.000,2007-01-20 00:00:00.000,20070113215268,1,1,429.0,64.35,197.28,364.65,HIGH
1664,2377,20091028,2009-10-28 00:00:00.000,2009-11-04 00:00:00.000,20091028713376,1,1,8.99,0.0,4.13,8.99,FULL PRICE
2498,19074,20090912,2009-09-12 00:00:00.000,2009-09-19 00:00:00.000,200909125CS764,175,3,23.72,2.372,12.09,21.348,MEDIUM
1774,18929,20090405,2009-04-05 00:00:00.000,2009-04-12 00:00:00.000,200904057CS838,162,1,43.0,0.0,21.92,43.0,FULL PRICE
561,19066,20090321,2009-03-21 00:00:00.000,2009-03-31 00:00:00.000,200903213CS744,52,1,139.0,9.73,70.87,129.27,MEDIUM
1697,1252,20070819,2007-08-19 00:00:00.000,2007-08-30 00:00:00.000,20070819712251,1,1,5.39,0.0,2.75,5.39,FULL PRICE
1697,9868,20080305,2008-03-05 00:00:00.000,2008-03-13 00:00:00.000,20080305720867,1,1,5.39,0.3773,2.75,5.0127,MEDIUM
2089,15362,20080525,2008-05-25 00:00:00.000,2008-05-31 00:00:00.000,20080525826361,1,1,257.5,0.0,131.28,257.5,FULL PRICE
1493,19053,20080612,2008-06-12 00:00:00.000,2008-06-23 00:00:00.000,200806125CS586,89,1,269.0,0.0,123.7,269.0,FULL PRICE
2510,19093,20080131,2008-01-31 00:00:00.000,2008-02-10 00:00:00.000,200801315CS534,215,1,4.06,0.609,2.07,3.451,HIGH
1365,18787,20070828,2007-08-28 00:00:00.000,2007-09-06 00:00:00.000,200708285CS464,280,1,28.99,2.899,13.33,26.091,MEDIUM
296,19142,20091129,2009-11-29 00:00:00.000,2009-12-05 00:00:00.000,200911292CS732,228,1,259.0,38.85,132.05,220.15,HIGH
2047,19089,20071027,2007-10-27 00:00:00.000,2007-11-05 00:00:00.000,200710278CS512,37,1,99.99,0.0,50.98,99.99,FULL PRICE
309,19118,20090310,2009-03-10 00:00:00.000,2009-03-20 00:00:00.000,200903102CS708,142,1,499.0,99.8,229.47,399.2,HIGH
2490,19061,20090125,2009-01-25 00:00:00.000,2009-02-01 00:00:00.000,200901255CS736,1604,3,14.99,2.998,7.64,11.992,HIGH
2417,18879,20081015,2008-10-15 00:00:00.000,2008-10-24 00:00:00.000,200810158CS784,94,1,73.99,0.0,34.03,73.99,FULL PRICE
2204,18959,20090627,2009-06-27 00:00:00.000,2009-07-03 00:00:00.000,200906278CS870,141,1,79.95,0.0,40.76,79.95,FULL PRICE
8,5763,20070301,2007-03-01 00:00:00.000,2007-03-13 00:00:00.000,20070301716762,2,1,59.99,2.9995,30.58,56.9905,LOW
2490,18861,20080813,2008-08-13 00:00:00.000,2008-08-23 00:00:00.000,200808135CS667,593,1,14.99,1.499,7.64,13.491,MEDIUM
2156,19078,20091221,2009-12-21 00:00:00.000,2009-12-30 00:00:00.000,200912218CS780,234,1,149.0,29.8,75.96,119.2,HIGH
2411,19111,20081222,2008-12-22 00:00:00.000,2008-12-28 00:00:00.000,200812228CS669,139,2,29.99,4.4985,15.29,25.4915,HIGH
1954,19052,20080517,2008-05-17 00:00:00.000,2008-05-26 00:00:00.000,200805178CS576,455,1,299.99,0.0,152.94,299.99,FULL PRICE
344,19100,20080607,2008-06-07 00:00:00.000,2008-06-14 00:00:00.000,200806073CS596,217,1,366.0,36.6,186.6,329.4,MEDIUM
2496,18877,20081010,2008-10-10 00:00:00.000,2008-10-18 00:00:00.000,200810105CS782,423,1,9.99,0.0,5.09,9.99,FULL PRICE
528,19066,20090501,2009-05-01 00:00:00.000,2009-05-10 00:00:00.000,200905013CS744,110,1,819.0,0.0,271.35,819.0,FULL PRICE
2428,19136,20090928,2009-09-28 00:00:00.000,2009-10-07 00:00:00.000,200909288CS726,39,1,32.89,0.0,16.77,32.89,FULL PRICE
2494,18837,20080502,2008-05-02 00:00:00.000,2008-05-12 00:00:00.000,200805025CS605,378,1,2.94,0.0,1.5,2.94,FULL PRICE
1402,19001,20091007,2009-10-07 00:00:00.000,2009-10-15 00:00:00.000,200910075CS914,602,1,43.81,0.0,20.15,43.81,FULL PRICE
2440,19071,20090723,2009-07-23 00:00:00.000,2009-07-30 00:00:00.000,200907238CS760,581,3,9.99,0.0,5.09,9.99,FULL PRICE
1139,18901,20081229,2008-12-29 00:00:00.000,2009-01-06 00:00:00.000,200812294CS809,480,1,328.0,65.6,150.84,262.4,HIGH
