ProductKey,Product Code,Product Name,Manufacturer,Brand,Color,Weight,Unit Cost,Unit Price,Available Date,Subcategory,Category
1707,"0702001","MGS Dal of Honor Airborne M150","Tailspin Toys","Tailspin Toys","Silver",,32.25,70.13,2007-04-05 00:00:00.000,"Download Games","Games and Toys"
1708,"0702002","MGS Collector's M160","Tailspin Toys","Tailspin Toys","Black",,32.25,70.13,2006-05-08 00:00:00.000,"Download Games","Games and Toys"
1709,"0702003","MGS Gears of War M170","Tailspin Toys","Tailspin Toys","Blue",,32.25,70.13,2005-05-09 00:00:00.000,"Download Games","Games and Toys"
1710,"0702004","MGS Age of Empires III: The Asian Dynasties M180","Tailspin Toys","Tailspin Toys","Silver",,32.25,70.13,2004-09-08 00:00:00.000,"Download Games","Games and Toys"
1711,"0702005","MGS Age of Empires III: The Asian Dynasties M190","Tailspin Toys","Tailspin Toys","Black",,32.25,70.13,2004-09-08 00:00:00.000,"Download Games","Games and Toys"
1712,"0702006","MGS Flight Simulator X Acceleration Expansion Pack M200","Tailspin Toys","Tailspin Toys","Silver",,32.25,70.13,2004-05-04 00:00:00.000,"Download Games","Games and Toys"
1713,"0702007","MGS Zoo Tycoon 2: Extinct Animals M210","Tailspin Toys","Tailspin Toys","Silver",,32.25,70.13,2005-01-02 00:00:00.000,"Download Games","Games and Toys"
1714,"0702008","MGS Halo 2 for Windows Vista M220","Tailspin Toys","Tailspin Toys","White",,32.25,70.13,2005-01-03 00:00:00.000,"Download Games","Games and Toys"
1715,"0702009","MGS Shadow-run M230","Tailspin Toys","Tailspin Toys","White",,32.25,70.13,2005-01-04 00:00:00.000,"Download Games","Games and Toys"
1716,"0702010","MGS Age of Empires III: The War Chiefs M240","Tailspin Toys","Tailspin Toys","Black",,32.25,70.13,2006-05-08 00:00:00.000,"Download Games","Games and Toys"
1717,"0702011","MGS Flight Simulator X M250","Tailspin Toys","Tailspin Toys","Pink",,32.25,70.13,2006-05-08 00:00:00.000,"Download Games","Games and Toys"
1718,"0702012","MGS Zoo Tycoon 2: Zookeeper Collection M260","Tailspin Toys","Tailspin Toys","Blue",,32.25,70.13,2006-05-08 00:00:00.000,"Download Games","Games and Toys"
1719,"0702013","MGS Zoo Tycoon 2: Marine Mania Expansion Pack M270","Tailspin Toys","Tailspin Toys","Black",,32.25,70.13,2006-05-09 00:00:00.000,"Download Games","Games and Toys"
1720,"0702014","MGS Zoo Tycoon 2: African Adventure M280","Tailspin Toys","Tailspin Toys","Black",,32.25,70.13,2006-05-10 00:00:00.000,"Download Games","Games and Toys"
1721,"0702015","MGS Rise of Nations: Rise of Legends M290","Tailspin Toys","Tailspin Toys","Black",,32.25,70.13,2006-05-11 00:00:00.000,"Download Games","Games and Toys"
1722,"0702016","MGS Zoo Tycoon 2: End range Species Expansion Pack E105","Tailspin Toys","Tailspin Toys","Silver",,28.55,56,2006-05-12 00:00:00.000,"Download Games","Games and Toys"
1723,"0702017","MGS Age of Empires III: The Asian Dynasties E106","Tailspin Toys","Tailspin Toys","Pink",,28.55,56,2007-04-05 00:00:00.000,"Download Games","Games and Toys"
1724,"0702018","MGS Fable: The Lost Chapters E107","Tailspin Toys","Tailspin Toys","Silver",,28.55,56,2007-04-05 00:00:00.000,"Download Games","Games and Toys"
1725,"0702019","MGS Dungeon Siege II E105","Tailspin Toys","Tailspin Toys","Silver",,28.55,56,2009-01-02 00:00:00.000,"Download Games","Games and Toys"
1726,"0702020","MGS Zoo Tycoon 2 E108","Tailspin Toys","Tailspin Toys","Silver",,28.55,56,2009-01-03 00:00:00.000,"Download Games","Games and Toys"
1727,"0702021","MGS Rise of Nations: Gold Edition M300","Tailspin Toys","Tailspin Toys","Pink",,25.75,56,2005-01-04 00:00:00.000,"Download Games","Games and Toys"
1728,"0702022","MGS Age of Mythology: Gold Edition M310","Tailspin Toys","Tailspin Toys","Blue",,36.7,79.8,2005-01-04 00:00:00.000,"Download Games","Games and Toys"
1729,"0702023","MGS Rise of Nations: Thrones and Patriots M320","Tailspin Toys","Tailspin Toys","Blue",,35.72,77.68,2009-01-02 00:00:00.000,"Download Games","Games and Toys"
1730,"0702024","MGS Dungeon Siege: Legends of Aranna M330","Tailspin Toys","Tailspin Toys","Blue",,35.72,77.68,2006-05-11 00:00:00.000,"Download Games","Games and Toys"
1731,"0702025","MGS King& Myths: The Age Collection M340","Tailspin Toys","Tailspin Toys","Black",,33.32,72.45,2006-05-11 00:00:00.000,"Download Games","Games and Toys"
