station_id,status_id_fk,operator_id_fk,planned_decommissioning_year,nominal_capacity_MW,id
1,1,1,"2025-2029","2232",1
2,1,1,"2020-2023","1481",2
3,1,1,"2030-2034","2875",3
4,1,1,"2025-2028","570",4
5,1,1,"2021-2027","1293",5
6,1,3,"Unplanned","214",6
7,1,1,"2038-2043","3840",7
8,1,1,"2024-2028","NULL",8
9,1,1,"2026-2029","2850",9
10,2,1,"Unplanned","720",10
11,1,1,"2035-2040","3558",11
12,1,1,"2046-2050","3843",12
13,1,1,"2037-2041","3690",13
14,1,1,"2029-2033","3450",14
15,3,1,"Unplanned","2157",15
16,4,2,"2016","0",16
17,1,2,"2025","NULL",17
18,1,1,"2035-2040","3510",18
19,1,1,"Unplanned","171",19
20,1,1,"Unplanned","1327",20
21,1,1,"Unplanned","740",21
22,1,7,"Unplanned","NULL",22
23,1,1,"Unplanned","171",23
24,1,4,"Unplanned","NULL",24
25,1,4,"Unplanned","NULL",25
26,6,1,"Unplanned","NULL",26
27,1,1,"Unplanned","1324",27
28,1,1,"Unplanned","1000",28
29,1,1,"Unplanned","360",29
30,1,1,"Unplanned","400",30
31,1,8,"Unplanned","NULL",31
32,1,1,"Unplanned","240",32
33,1,1,"Unplanned","NULL",33
34,1,1,"Unplanned","NULL",34
35,1,6,"Unplanned","NULL",35
36,1,6,"Unplanned","NULL",36
37,1,5,"Unplanned","NULL",37
38,5,6,"Unplanned","NULL",38
39,1,1,"Unplanned","1860",39
40,4,1,"Unplanned","NULL",40
41,1,1,"Unplanned","100",41
42,1,1,"Unplanned","NULL",42
43,1,1,"Unplanned","NULL",43
