Date,MonthNum,Month,MonthLong,Quarter,Year,FiscalMonthNum,FiscalMonth,FiscalMonthLong,FiscalQuarter,FiscalYear,CurMonthOffset,CurQuarterOffset,CurYearOffset,FutureDate,CurFiscalYearOffset,MonthYearNum,MonthYear,MonthYearLong,WeekdayNum,Weekday,WeekdayWeekend,WeekSequenceNum,CurWeekOffset
2018-07-02 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",1,"Mon","Weekday",27,-46
2018-07-03 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",2,"Tue","Weekday",27,-46
2018-07-04 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",3,"Wed","Weekday",27,-46
2018-07-05 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",4,"Thu","Weekday",27,-46
2018-07-06 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",5,"Fri","Weekday",27,-46
2018-07-09 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",1,"Mon","Weekday",28,-45
2018-07-10 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",2,"Tue","Weekday",28,-45
2018-07-11 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",3,"Wed","Weekday",28,-45
2018-07-12 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",4,"Thu","Weekday",28,-45
2018-07-13 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",5,"Fri","Weekday",28,-45
2018-07-16 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",1,"Mon","Weekday",29,-44
2018-07-17 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",2,"Tue","Weekday",29,-44
2018-07-18 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",3,"Wed","Weekday",29,-44
2018-07-19 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",4,"Thu","Weekday",29,-44
2018-07-20 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",5,"Fri","Weekday",29,-44
2018-07-23 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",1,"Mon","Weekday",30,-43
2018-07-24 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",2,"Tue","Weekday",30,-43
2018-07-25 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",3,"Wed","Weekday",30,-43
2018-07-26 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",4,"Thu","Weekday",30,-43
2018-07-27 00:00:00.000,7,"Jul","July","Q3",2018,1,"Jul","July","FQ1","FY19",-10,-3,-1,"Past","0",201807,"Jul-18","Jul-2018",5,"Fri","Weekday",30,-43
