SKCasualty_Type,Description
1,"Pedestrian"
2,"Cyclist"
3,"Motorcycle 50cc and under rider or passenger"
4,"Motorcycle 125cc and under rider or passenger"
5,"Motorcycle over 125cc and up to 500cc rider or  passenger"
6,"Motorcycle over 500cc rider or passenger"
7,"Taxi/Private hire car occupant"
8,"Car occupant"
9,"Minibus (8 - 16 passenger seats) occupant"
10,"Bus or coach occupant (17 or more pass seats)"
11,"Horse rider"
12,"Agricultural vehicle occupant"
13,"Tram occupant"
14,"Van / Goods vehicle (3.5 tonnes mgw or under) occupant"
15,"Goods vehicle (over 3.5t. and under 7.5t.) occupant"
16,"Goods vehicle (7.5 tonnes mgw and over) occupant"
17,"Mobility scooter rider"
18,"Electric motorcycle rider or passenger"
19,"Other vehicle occupant"
20,"Motorcycle - unknown cc rider or passenger"
21,"Goods vehicle (unknown weight) occupant"
