SKFact,SKCasualty_Severity,SKCasualty_Type,SKDate,SKAge_Group,Number_of_Casualties,create_date,update_date
96947,3,5,2467,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
96982,3,5,2471,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97076,3,5,2480,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97107,3,5,2483,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97117,3,5,2484,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97189,3,5,2492,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97213,3,5,2494,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97269,3,5,2500,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97352,3,5,2509,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97364,3,5,2510,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97371,3,5,2511,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97412,3,5,2515,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97424,3,5,2516,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97536,3,5,2527,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97587,3,5,2531,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97631,3,5,2536,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97649,3,5,2538,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97662,3,5,2539,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97680,3,5,2541,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97745,3,5,2547,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97821,3,5,2555,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97838,3,5,2557,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97855,3,5,2559,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97872,3,5,2561,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97882,3,5,2562,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97901,3,5,2564,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97918,3,5,2566,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97929,3,5,2567,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97956,3,5,2570,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
97984,3,5,2573,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98052,3,5,2579,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98062,3,5,2580,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98083,3,5,2582,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98118,3,5,2586,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98137,3,5,2588,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98172,3,5,2591,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
98181,3,5,2592,3,1,2021-12-06 18:01:25.643,2021-12-06 18:01:25.643
