SKDate,Year_,Quarter_,Month_,Day_,create_date,update_date
182,2011,3,7,2011-07-01 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
183,2011,3,7,2011-07-02 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
184,2011,3,7,2011-07-03 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
185,2011,3,7,2011-07-04 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
186,2011,3,7,2011-07-05 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
187,2011,3,7,2011-07-06 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
188,2011,3,7,2011-07-07 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
189,2011,3,7,2011-07-08 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
190,2011,3,7,2011-07-09 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
191,2011,3,7,2011-07-10 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
192,2011,3,7,2011-07-11 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
193,2011,3,7,2011-07-12 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
194,2011,3,7,2011-07-13 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
195,2011,3,7,2011-07-14 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
196,2011,3,7,2011-07-15 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
197,2011,3,7,2011-07-16 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
198,2011,3,7,2011-07-17 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
199,2011,3,7,2011-07-18 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
200,2011,3,7,2011-07-19 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
201,2011,3,7,2011-07-20 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
202,2011,3,7,2011-07-21 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
203,2011,3,7,2011-07-22 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
204,2011,3,7,2011-07-23 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
205,2011,3,7,2011-07-24 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
206,2011,3,7,2011-07-25 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
207,2011,3,7,2011-07-26 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
208,2011,3,7,2011-07-27 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
209,2011,3,7,2011-07-28 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
210,2011,3,7,2011-07-29 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
211,2011,3,7,2011-07-30 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
212,2011,3,7,2011-07-31 00:00:00.000,2021-12-07 09:32:52.706,2021-12-07 09:32:52.706
