SKFact,SKCasualty_Severity,SKDate,SKLocal_Authority_District,Number_of_Casualities,create_date,update_date
4078,3,247,81,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4079,3,244,273,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4082,3,612,159,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4083,3,979,109,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4084,3,978,173,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4085,3,1345,123,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4086,3,1342,315,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4087,3,365,342,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4089,3,1099,242,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4090,3,121,333,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4095,3,977,238,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4097,3,1341,380,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4100,3,732,293,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4101,3,733,229,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4116,3,857,106,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4117,3,853,362,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4119,3,1220,312,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4121,3,610,289,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4127,3,1342,317,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4129,3,368,152,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4133,3,490,157,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4134,3,492,29,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4138,3,244,276,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4141,3,369,89,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4144,3,1098,309,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4145,3,1100,181,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4148,3,125,80,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4150,3,490,158,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4151,3,492,30,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4154,3,1221,250,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4155,3,1223,122,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4156,3,1220,314,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4157,3,243,341,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4162,3,366,282,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4163,3,370,26,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4164,3,733,232,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4168,3,125,81,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4171,3,1223,123,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4172,3,243,342,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4173,3,248,22,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4176,3,977,242,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4179,3,126,18,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4180,3,858,46,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4183,3,1220,316,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4185,3,243,343,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4188,3,614,37,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4189,3,976,307,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
4190,3,977,243,1,2021-12-07 09:33:46.466,2021-12-07 09:33:46.466
