DataVenda,idProduto,idCliente,Quantidade
2020-06-24 00:00:00.000,Prod2,Cl5,35
2020-04-04 00:00:00.000,Prod4,Cl4,13
2020-05-06 00:00:00.000,Prod9,Cl6,14
2020-04-04 00:00:00.000,Prod3,Cl2,7
2020-02-21 00:00:00.000,Prod6,Cl1,19
2020-02-21 00:00:00.000,Prod10,Cl4,11
2020-06-24 00:00:00.000,Prod1,Cl5,52
2020-05-06 00:00:00.000,Prod5,Cl1,16
2020-02-27 00:00:00.000,Prod4,Cl2,29
2020-01-01 00:00:00.000,Prod6,Cl1,22
2020-02-20 00:00:00.000,Prod1,Cl2,48
2020-04-04 00:00:00.000,Prod5,Cl2,54
2020-02-20 00:00:00.000,Prod3,Cl3,17
2020-02-27 00:00:00.000,Prod1,Cl2,11
2020-02-23 00:00:00.000,Prod3,Cl5,23
2020-05-06 00:00:00.000,Prod8,Cl6,27
2020-01-01 00:00:00.000,Prod10,Cl1,45
2020-02-20 00:00:00.000,Prod9,Cl2,67
2020-05-12 00:00:00.000,Prod3,Cl2,73
2020-02-20 00:00:00.000,Prod3,Cl2,34
2020-04-19 00:00:00.000,Prod1,Cl4,68
2020-05-12 00:00:00.000,Prod5,Cl2,67
2020-05-06 00:00:00.000,Prod8,Cl5,67
2020-04-17 00:00:00.000,Prod10,Cl1,44
2020-06-24 00:00:00.000,Prod8,Cl5,9
2020-04-19 00:00:00.000,Prod9,Cl3,39
2020-02-21 00:00:00.000,Prod8,Cl1,38
2020-02-23 00:00:00.000,Prod2,Cl5,30
2020-04-04 00:00:00.000,Prod2,Cl4,38
2020-06-24 00:00:00.000,Prod7,Cl5,54
2020-04-17 00:00:00.000,Prod8,Cl1,68
2020-02-21 00:00:00.000,Prod10,Cl1,37
