createdon,modifiedon,Segment Id,Segment Name,Segment Size,Entity Status,Segment Lifecycle,Segment Type,msdyncrm_segmentfilterquery,msdyncrm_segmentquery,msdyncrm_segmentqueryname,Link,Last Evaluated,Last Updated,msdyncrm_segmentactivationstatus_display,msdyncrm_segmentevaluationdurationinminutes,msdyncrm_segmentmemberids,msdyncrm_segmentrefreshrateintervalminutes,msdyncrm_segmenttype_display
2019-03-26 00:00:00.000,2019-03-29 00:00:00.000,"5d218f82-934f-e911-a82a-000d3a4e6483","Segch0326",3,"","","Static","PROFILE(contact, contact_1).FILTER(contact_1.emailaddress1 == 'v-chavk@microsoft.com' || contact_1.emailaddress1 == 'v-shnich@microsoft.com' || contact_1.emailaddress1 == 'v-sonals@microsoft.com')","","Segch0326","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=5d218f82-934f-e911-a82a-000d3a4e6483",,,"",,"[""crm277d2833-934f-e911-a82a-000d3a4e6483"",""crm07369045-934f-e911-a82a-000d3a4e6483"",""crm594acf5f-934f-e911-a82a-000d3a4e6483""]",,"Static segment"
2019-03-26 00:00:00.000,2019-03-30 00:00:00.000,"084934d5-ad4f-e911-a82a-000d3a4e6483","LookUp  IS Segment",4,"","","Dynamic","","PROFILE(contact, contact_1).FILTER(contact_1.new_lookupcurrency == '949544f6-b74c-e911-a838-000d3a4e6d2b' || contact_1.new_lookupcurrency == '21e3afb4-ad4f-e911-a82a-000d3a4e6483')","LookUp__IS_Currency_Segment_4127e9b0","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=084934d5-ad4f-e911-a82a-000d3a4e6483",2019-03-30 12:21:45.000,,"",1,"[]",60,"Dynamic segment"
2019-03-26 00:00:00.000,2019-03-29 00:00:00.000,"5b468adb-ad4f-e911-a82a-000d3a4e6483","TC407856_StaticSegment_JVdtne",2,"","","Static","PROFILE(contact, contact_1).FILTER(contact_1.fullname == 'TC407856contact1FirstName_4BpPsL TC407856contact1LastName_fVh9gD' || contact_1.fullname == 'TC407856contact2FirstName_9wcpAj TC407856contact2LastName_36vkZC')","","TC407856_StaticSegment_JVdtne","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=5b468adb-ad4f-e911-a82a-000d3a4e6483",,,"",,"[""crmc969145c-ad4f-e911-a82a-000d3a4e6483"",""crmba266c86-ad4f-e911-a82a-000d3a4e6483""]",,"Static segment"
2019-03-26 00:00:00.000,2019-03-30 00:00:00.000,"60bdbbd0-b24f-e911-a82a-000d3a4e6483","Option Segment",2,"","","Dynamic","","PROFILE(contact, contact_1).FILTER(contact_1.familystatuscode == 1 || contact_1.familystatuscode == 2)","Option_Segment_689ad588","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=60bdbbd0-b24f-e911-a82a-000d3a4e6483",2019-03-30 11:59:42.000,,"",1,"[]",60,"Dynamic segment"
2019-03-26 00:00:00.000,2019-03-30 00:00:00.000,"9dab8357-b94f-e911-a82a-000d3a4e6483","LookUp Is Not Segment",14,"","","Dynamic","","PROFILE(contact, contact_1).FILTER(contact_1.new_lookupcurrency != '949544f6-b74c-e911-a838-000d3a4e6d2b' &&
	contact_1.new_lookupcurrency != '21e3afb4-ad4f-e911-a82a-000d3a4e6483' &&
	contact_1.firstname STARTSWITH 'S')","LookUp_Is_Not_Segment_f3808657","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=9dab8357-b94f-e911-a82a-000d3a4e6483",2019-03-30 11:46:40.000,,"",1,"[]",60,"Dynamic segment"
2019-03-26 00:00:00.000,2019-03-30 00:00:00.000,"9847ee69-ba4f-e911-a82a-000d3a4e6483","Full Name Segment",1,"","","Dynamic","","PROFILE(contact, contact_1).FILTER(contact_1.fullname == 'Deepthi V')","Full_Name_Segment_3bbf3417","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=9847ee69-ba4f-e911-a82a-000d3a4e6483",2019-03-30 11:48:39.000,,"",1,"[]",60,"Dynamic segment"
2019-03-26 00:00:00.000,2019-03-30 00:00:00.000,"13954b75-bb4f-e911-a82a-000d3a4e6483","MultiOption Contains Segment",2,"","","Dynamic","","PROFILE(contact, contact_1).FILTER(contact_1.new_multioptionset MULTICHOICECONTAINS '100000000' || contact_1.new_multioptionset MULTICHOICECONTAINS '100000001' || contact_1.new_multioptionset MULTICHOICECONTAINS '100000002' || contact_1.new_multioptionset MULTICHOICECONTAINS '100000003')","MultiOption_Contains_Segment_05b19c11","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=13954b75-bb4f-e911-a82a-000d3a4e6483",2019-03-30 11:58:41.000,,"",1,"[]",60,"Dynamic segment"
2019-03-26 00:00:00.000,2019-03-30 00:00:00.000,"bf0e53cb-bb4f-e911-a82a-000d3a4e6483","MultiOption Does Not Contains Segment",15,"","","Dynamic","","PROFILE(contact, contact_1).FILTER(NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000000') &&
	NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000003') &&
	(NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000001') || NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000002')) &&
	contact_1.firstname STARTSWITH 'S')","MultiOption_Does_Not_Contains_Segment_a1551c1c","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=bf0e53cb-bb4f-e911-a82a-000d3a4e6483",2019-03-30 11:44:41.000,,"",1,"[]",60,"Dynamic segment"
2019-03-26 00:00:00.000,2019-03-26 00:00:00.000,"40e24076-c14f-e911-a82a-000d3a4e6483","SegmentTestBoost",,"","","Dynamic","","INTERACTION(EmailSent, EmailSent_contact).FILTER(CustomerJourneyId == 'b203c0ef-b24f-e911-a82a-000d3a4e6483' && ActivityId == 'c89e870c-f628-5b8b-39da-eba04b6efdb5').HAVING(COUNT() > 0)","SegmentTestBoost","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=40e24076-c14f-e911-a82a-000d3a4e6483",,,"",,"",,"Dynamic segment"
2019-03-26 00:00:00.000,2019-03-30 00:00:00.000,"bb3f9f58-c94f-e911-a82a-000d3a4e6483","Rate Change Segment",1,"","","Dynamic","","PROFILE(new_communication_details, new_communication_details_1).FILTER(new_communication_details_1.new_rateb == 100).TRAVERSE(new_communication_details_contact_new_relationid, contact_1)","Rate_Change_Segment_fdb043e2","https://mkttest0323sg864p4.crm10.dynamics.com/main.aspx?appid=c4d57347-9420-e911-a9af-000d3a1cf0ea&pagetype=entityrecord&etn=msdyncrm_segment&id=bb3f9f58-c94f-e911-a82a-000d3a4e6483",2019-03-30 11:44:43.000,,"",1,"[]",60,"Dynamic segment"
