Code_Agence,Count
AG0092,1
AG0387,2
AG0214,2
AG0287,2
AG0105,3
AG0397,2
AG0540,3
AG0081,3
AG0277,2
AG0358,2
AG0550,3
AG0291,2
AG0241,2
AG0292,2
AG0052,3
AG0220,2
AG0314,2
AG0077,3
AG0196,2
AG0054,3
AG0553,3
AG0211,2
AG0112,2
AG0563,3
AG0180,2
AG0263,2
AG0165,2
AG0173,2
AG0374,2
AG0139,2
AG0255,2
AG0200,2
AG0192,2
AG0559,3
AG0191,2
AG0422,2
AG0367,2
AG0345,2
AG0083,3
AG0555,3
AG0061,3
AG0527,3
AG0341,2
AG0120,2
AG0556,3
AG0580,3
AG0116,2
AG0491,3
AG0365,2
AG0098,3
AG0354,2
AG0273,2
AG0305,2
AG0328,2
AG0268,2
AG0002,3
AG0306,2
AG0188,2
AG0086,1
AG0511,3
AG0193,2
AG0371,2
AG0140,2
AG0182,2
AG0095,1
AG0515,3
AG0050,3
AG0183,2
AG0149,2
AG0186,2
AG0313,2
AG0265,2
AG0579,3
AG0384,2
AG0250,2
AG0170,2
AG0242,2
AG0038,3
AG0378,2
AG0475,3
AG0121,2
AG0406,2
AG0394,2
AG0428,2
AG0189,2
AG0344,2
AG0093,1
AG0530,3
AG0247,2
AG0532,3
AG0451,2
AG0338,2
AG0381,2
AG0401,2
AG0500,3
AG0399,2
AG0119,2
AG0513,3
AG0525,3
AG0533,3
