ITEM,Location Name,Column,variable,value
13109,USA,1,2019-06-01 00:00:00.000,2173.960938
13109,USA,1,2019-07-01 00:00:00.000,2179.453613
13109,USA,1,2019-08-01 00:00:00.000,2135.980713
13109,USA,1,2019-09-01 00:00:00.000,1962.555664
13109,USA,1,2019-10-01 00:00:00.000,2082.13623
13109,USA,1,2019-11-01 00:00:00.000,2061.412598
13109,USA,1,2019-12-01 00:00:00.000,2082.884033
13109,USA,1,2020-01-01 00:00:00.000,1998.852783
13109,USA,1,2020-02-01 00:00:00.000,1944.615723
13109,USA,1,2020-03-01 00:00:00.000,2028.659912
13109,USA,1,2020-04-01 00:00:00.000,2028.943604
13109,USA,1,2020-05-01 00:00:00.000,2111.548584
13109,USA,1,2020-06-01 00:00:00.000,2183.976563
13109,USA,1,2020-07-01 00:00:00.000,2192.430664
13109,USA,1,2020-08-01 00:00:00.000,2151.281738
13109,USA,1,2020-09-01 00:00:00.000,1978.661621
13109,USA,1,2020-10-01 00:00:00.000,2101.015625
13109,USA,1,2020-11-01 00:00:00.000,2081.436035
