PurchaseId,variable,value
57008,PurchaseDate,2018-08-28 00:00:00.000
141736,PurchaseDate,2021-02-05 00:00:00.000
113615,PurchaseDate,2020-05-10 00:00:00.000
7844,PurchaseDate,2016-09-15 00:00:00.000
115352,PurchaseDate,2020-05-27 00:00:00.000
91020,PurchaseDate,2019-10-09 00:00:00.000
52537,PurchaseDate,2018-06-27 00:00:00.000
7628,PurchaseDate,2016-09-12 00:00:00.000
85239,PurchaseDate,2019-08-12 00:00:00.000
42421,PurchaseDate,2018-01-03 00:00:00.000
55536,PurchaseDate,2018-08-09 00:00:00.000
157815,PurchaseDate,2021-06-01 00:00:00.000
80089,PurchaseDate,2019-06-08 00:00:00.000
142485,PurchaseDate,2021-02-12 00:00:00.000
12423,PurchaseDate,2016-11-17 00:00:00.000
12121,PurchaseDate,2016-11-14 00:00:00.000
6707,PurchaseDate,2016-08-29 00:00:00.000
72132,PurchaseDate,2019-03-11 00:00:00.000
43224,PurchaseDate,2018-01-17 00:00:00.000
42195,PurchaseDate,2017-12-23 00:00:00.000
64167,PurchaseDate,2018-11-21 00:00:00.000
53665,PurchaseDate,2018-07-16 00:00:00.000
37087,PurchaseDate,2017-09-27 00:00:00.000
95111,PurchaseDate,2019-11-14 00:00:00.000
1604,PurchaseDate,2016-06-10 00:00:00.000
133879,PurchaseDate,2020-11-12 00:00:00.000
35059,PurchaseDate,2017-08-23 00:00:00.000
87787,PurchaseDate,2019-09-08 00:00:00.000
51423,PurchaseDate,2018-06-07 00:00:00.000
109873,PurchaseDate,2020-04-15 00:00:00.000
105336,PurchaseDate,2020-03-10 00:00:00.000
157979,PurchaseDate,2021-06-02 00:00:00.000
17805,PurchaseDate,2017-01-18 00:00:00.000
51080,PurchaseDate,2018-05-31 00:00:00.000
142194,PurchaseDate,2021-02-10 00:00:00.000
116183,PurchaseDate,2020-06-02 00:00:00.000
107644,PurchaseDate,2020-03-31 00:00:00.000
90931,PurchaseDate,2019-10-08 00:00:00.000
147123,PurchaseDate,2021-03-22 00:00:00.000
112683,PurchaseDate,2020-05-02 00:00:00.000
74536,PurchaseDate,2019-04-03 00:00:00.000
100126,PurchaseDate,2020-01-15 00:00:00.000
55923,PurchaseDate,2018-08-15 00:00:00.000
59743,PurchaseDate,2018-09-27 00:00:00.000
23294,PurchaseDate,2017-03-13 00:00:00.000
150393,PurchaseDate,2021-04-14 00:00:00.000
58339,PurchaseDate,2018-09-12 00:00:00.000
12866,PurchaseDate,2016-11-23 00:00:00.000
101700,PurchaseDate,2020-01-30 00:00:00.000
101248,PurchaseDate,2020-01-26 00:00:00.000
112257,PurchaseDate,2020-04-29 00:00:00.000
92949,PurchaseDate,2019-10-28 00:00:00.000
128846,PurchaseDate,2020-09-24 00:00:00.000
40538,PurchaseDate,2017-11-21 00:00:00.000
77316,PurchaseDate,2019-05-07 00:00:00.000
51980,PurchaseDate,2018-06-18 00:00:00.000
94237,PurchaseDate,2019-11-07 00:00:00.000
10245,PurchaseDate,2016-10-19 00:00:00.000
131719,PurchaseDate,2020-10-21 00:00:00.000
20632,PurchaseDate,2017-02-16 00:00:00.000
44957,PurchaseDate,2018-02-16 00:00:00.000
162367,PurchaseDate,2021-07-18 00:00:00.000
26217,PurchaseDate,2017-03-30 00:00:00.000
49379,PurchaseDate,2018-05-02 00:00:00.000
58773,PurchaseDate,2018-09-17 00:00:00.000
149398,PurchaseDate,2021-04-12 00:00:00.000
161920,PurchaseDate,2021-07-13 00:00:00.000
138661,PurchaseDate,2021-01-12 00:00:00.000
83704,PurchaseDate,2019-07-24 00:00:00.000
154325,PurchaseDate,2021-05-03 00:00:00.000
57890,PurchaseDate,2018-09-07 00:00:00.000
5899,PurchaseDate,2016-08-16 00:00:00.000
78936,PurchaseDate,2019-05-26 00:00:00.000
47625,PurchaseDate,2018-03-30 00:00:00.000
113047,PurchaseDate,2020-05-05 00:00:00.000
57262,PurchaseDate,2018-08-30 00:00:00.000
32828,PurchaseDate,2017-07-18 00:00:00.000
58113,PurchaseDate,2018-09-10 00:00:00.000
97327,PurchaseDate,2019-12-08 00:00:00.000
4243,PurchaseDate,2016-07-20 00:00:00.000
88837,PurchaseDate,2019-09-18 00:00:00.000
131558,PurchaseDate,2020-10-20 00:00:00.000
99790,PurchaseDate,2020-01-14 00:00:00.000
118790,PurchaseDate,2020-07-01 00:00:00.000
96549,PurchaseDate,2019-11-28 00:00:00.000
132956,PurchaseDate,2020-11-03 00:00:00.000
66834,PurchaseDate,2019-01-12 00:00:00.000
69613,PurchaseDate,2019-02-13 00:00:00.000
81992,PurchaseDate,2019-06-30 00:00:00.000
20169,PurchaseDate,2017-02-11 00:00:00.000
81694,PurchaseDate,2019-06-25 00:00:00.000
72493,PurchaseDate,2019-03-13 00:00:00.000
80227,PurchaseDate,2019-06-09 00:00:00.000
100581,PurchaseDate,2020-01-21 00:00:00.000
79144,PurchaseDate,2019-05-28 00:00:00.000
154591,PurchaseDate,2021-05-05 00:00:00.000
72052,PurchaseDate,2019-03-10 00:00:00.000
130937,PurchaseDate,2020-10-14 00:00:00.000
144983,PurchaseDate,2021-03-07 00:00:00.000
5808,PurchaseDate,2016-08-15 00:00:00.000
57008,PurchaseDateTime,2018-08-28 14:49:00.000
141736,PurchaseDateTime,2021-02-05 09:33:00.000
113615,PurchaseDateTime,2020-05-10 18:35:00.000
7844,PurchaseDateTime,2016-09-15 17:17:00.000
115352,PurchaseDateTime,2020-05-27 10:27:00.000
91020,PurchaseDateTime,2019-10-09 11:17:00.000
52537,PurchaseDateTime,2018-06-27 16:02:00.000
7628,PurchaseDateTime,2016-09-12 14:10:00.000
85239,PurchaseDateTime,2019-08-12 15:48:00.000
42421,PurchaseDateTime,2018-01-03 17:16:00.000
55536,PurchaseDateTime,2018-08-09 16:42:00.000
157815,PurchaseDateTime,2021-06-01 16:32:00.000
80089,PurchaseDateTime,2019-06-08 16:22:00.000
142485,PurchaseDateTime,2021-02-12 16:35:00.000
12423,PurchaseDateTime,2016-11-17 18:22:00.000
12121,PurchaseDateTime,2016-11-14 18:30:00.000
6707,PurchaseDateTime,2016-08-29 16:34:00.000
72132,PurchaseDateTime,2019-03-11 18:12:00.000
43224,PurchaseDateTime,2018-01-17 18:53:00.000
42195,PurchaseDateTime,2017-12-23 10:27:00.000
64167,PurchaseDateTime,2018-11-21 15:33:00.000
53665,PurchaseDateTime,2018-07-16 14:20:00.000
37087,PurchaseDateTime,2017-09-27 13:47:00.000
95111,PurchaseDateTime,2019-11-14 16:56:00.000
1604,PurchaseDateTime,2016-06-10 16:55:00.000
133879,PurchaseDateTime,2020-11-12 13:09:00.000
35059,PurchaseDateTime,2017-08-23 11:28:00.000
87787,PurchaseDateTime,2019-09-08 09:05:00.000
51423,PurchaseDateTime,2018-06-07 18:55:00.000
109873,PurchaseDateTime,2020-04-15 15:59:00.000
105336,PurchaseDateTime,2020-03-10 09:00:00.000
157979,PurchaseDateTime,2021-06-02 13:54:00.000
17805,PurchaseDateTime,2017-01-18 17:09:00.000
51080,PurchaseDateTime,2018-05-31 18:56:00.000
142194,PurchaseDateTime,2021-02-10 12:04:00.000
116183,PurchaseDateTime,2020-06-02 15:27:00.000
107644,PurchaseDateTime,2020-03-31 15:35:00.000
90931,PurchaseDateTime,2019-10-08 10:28:00.000
147123,PurchaseDateTime,2021-03-22 18:27:00.000
112683,PurchaseDateTime,2020-05-02 10:48:00.000
74536,PurchaseDateTime,2019-04-03 16:34:00.000
100126,PurchaseDateTime,2020-01-15 12:24:00.000
55923,PurchaseDateTime,2018-08-15 17:53:00.000
59743,PurchaseDateTime,2018-09-27 13:40:00.000
23294,PurchaseDateTime,2017-03-13 16:46:00.000
150393,PurchaseDateTime,2021-04-14 14:30:00.000
58339,PurchaseDateTime,2018-09-12 13:25:00.000
12866,PurchaseDateTime,2016-11-23 11:24:00.000
101700,PurchaseDateTime,2020-01-30 12:38:00.000
101248,PurchaseDateTime,2020-01-26 18:59:00.000
112257,PurchaseDateTime,2020-04-29 13:31:00.000
92949,PurchaseDateTime,2019-10-28 13:32:00.000
128846,PurchaseDateTime,2020-09-24 17:26:00.000
40538,PurchaseDateTime,2017-11-21 17:01:00.000
77316,PurchaseDateTime,2019-05-07 10:13:00.000
51980,PurchaseDateTime,2018-06-18 17:50:00.000
94237,PurchaseDateTime,2019-11-07 15:19:00.000
10245,PurchaseDateTime,2016-10-19 12:32:00.000
131719,PurchaseDateTime,2020-10-21 13:48:00.000
20632,PurchaseDateTime,2017-02-16 17:53:00.000
44957,PurchaseDateTime,2018-02-16 18:00:00.000
162367,PurchaseDateTime,2021-07-18 14:45:00.000
26217,PurchaseDateTime,2017-03-30 15:06:00.000
49379,PurchaseDateTime,2018-05-02 15:57:00.000
58773,PurchaseDateTime,2018-09-17 17:35:00.000
149398,PurchaseDateTime,2021-04-12 17:36:00.000
161920,PurchaseDateTime,2021-07-13 12:49:00.000
138661,PurchaseDateTime,2021-01-12 16:52:00.000
83704,PurchaseDateTime,2019-07-24 17:18:00.000
154325,PurchaseDateTime,2021-05-03 11:46:00.000
57890,PurchaseDateTime,2018-09-07 11:49:00.000
5899,PurchaseDateTime,2016-08-16 13:53:00.000
78936,PurchaseDateTime,2019-05-26 18:21:00.000
47625,PurchaseDateTime,2018-03-30 15:15:00.000
113047,PurchaseDateTime,2020-05-05 15:59:00.000
57262,PurchaseDateTime,2018-08-30 14:15:00.000
32828,PurchaseDateTime,2017-07-18 09:34:00.000
58113,PurchaseDateTime,2018-09-10 13:37:00.000
97327,PurchaseDateTime,2019-12-08 17:17:00.000
4243,PurchaseDateTime,2016-07-20 09:37:00.000
88837,PurchaseDateTime,2019-09-18 14:21:00.000
131558,PurchaseDateTime,2020-10-20 18:23:00.000
99790,PurchaseDateTime,2020-01-14 10:33:00.000
118790,PurchaseDateTime,2020-07-01 13:56:00.000
96549,PurchaseDateTime,2019-11-28 11:28:00.000
132956,PurchaseDateTime,2020-11-03 14:30:00.000
66834,PurchaseDateTime,2019-01-12 10:38:00.000
69613,PurchaseDateTime,2019-02-13 10:59:00.000
81992,PurchaseDateTime,2019-06-30 16:31:00.000
20169,PurchaseDateTime,2017-02-11 14:36:00.000
