City,Country,Region
"Tamale","Ghana","Northern"
"Axim","Ghana","Western"
"Ahwiaa","Ghana","Ashanti"
"Tarkwa","Ghana","Western"
"Mampong","Ghana","Ashanti"
"Wa","Ghana","Upper West"
"Yendi","Ghana","Northern"
"Cape Coast","Ghana","Central"
"Effiduase","Ghana","Ashanti"
"Bolgatanga","Ghana","Upper East"
"Mandela","Ghana","Greater Accra"
"Obuasi","Ghana","Ashanti"
"Goaso","Ghana","Brong-Ahafo"
"Mim","Ghana","Brong-Ahafo"
"Dzodze","Ghana","Volta"
"Ashaiman ","Ghana","Greater Accra"
"Koforidua","Ghana","Eastern"
"Accra","Ghana","Greater Accra"
"Akatsi","Ghana","Volta"
"Bimbilla","Ghana","Northern"
"Suhum","Ghana","Eastern"
"Takoradi","Ghana","Western"
