Product ID,Category,Sub-Category,Product Name
"ProdID-28000011","Electronics","Accessories_Supplies","Power Supply Module for HKC 401-2K201-D4211 HKL-480201/500201/550201 Accessories"
"ProdID-28000021","Phone_Tablets","Mobile Phones","Apple iPhone 8 Plus Gold 64GB 256GB 4G LTE Unlocked Smartphone SIM Free"
"ProdID-28000031","Home_Office","Furniture","Printed Chair Cover Soft Milk Silk"
"ProdID-28000041","Phone_Tablets","Mobile Phones","Apple iphone 8 plus locked ee red - 256 gb"
"ProdID-28000051","Electronics","Accessories_Supplies","Power Supply Board Driver Board for Samsung T220 T220G T220 IP-49135B+ Accessory"
"ProdID-28000061","Electronics","Accessories_Supplies","Projector Accessories 4h.1dn40.a00 Mains Power Supply for BenQ ms500/mx501/ms5"
"ProdID-28000071","Phone_Tablets","Mobile Phones","Apple iPhone 7 Plus 32GB 128GB 4G-LTE Entsperrt Smartphone 12M Warranty"
"ProdID-28000081","Home_Office","Furniture","Office suppliers"
"ProdID-28000091","Phone_Tablets","Mobile Phones","SAMSUNG GALAXY S10 (VERIZON) SM-G973U 128GB W CHARGERS SEE THRU EF-ZG973 COVER"
"ProdID-28000101","Home_Office","Furniture","Bean bag"
"ProdID-28000111","Electronics","Accessories_Supplies","TV One 1RK-5RU-PSU 5RU 250w Power supply and accessories"
"ProdID-28000121","Phone_Tablets","Mobile Phones","Samsung s6 edge 64 gb"
"ProdID-28000131","Electronics","Accessories_Supplies","TV One 1RK-6RU-PSU 6RU 250w Power supply and accessories"
"ProdID-28000141","Phone_Tablets","Mobile Phones","Apple iPhone 11 - 256GB - Black (T-Mobile) A2111 (CDMA + GSM)"
"ProdID-28000151","Phone_Tablets","Mobile Phones","Vertu Constellation RHV 8 Phone - GENUINE"
"ProdID-28000161","Home_Office","Furniture","Chaise longue"
"ProdID-28000171","Electronics","Accessories_Supplies","TV One 1RK-4RU-PSU 4RU 250w Power supply and accessories"
"ProdID-28000181","Phone_Tablets","Mobile Phones","Xiaomi Redmi Note 7 - 64GB - Space Black (Unlocked) (Dual SIM)"
"ProdID-28000191","Electronics","Accessories_Supplies","Garmin Nüvi 1350 GPS Navigator With Accessories and power supply & auto mount"
"ProdID-28000201","Phone_Tablets","Mobile Phones","APPLE iPhone 7 32/128/256GB Factory Unlocked Smartphone - Various Colour"
"ProdID-28000211","Electronics","Accessories_Supplies","Rostra 250-2951 SourcePWR+ Plus Intelligent Accessory Power Supply 12V 7.5 Amp"
"ProdID-28000221","Electronics","Accessories_Supplies","RCA (CRF907) Audiovox Accessories A/V Modulator With Power Supply Cord"
"ProdID-28000231","Home_Office","Furniture","Fauteuil"
"ProdID-28000241","Home_Office","Furniture","Ottoman"
"ProdID-28000251","Phone_Tablets","Mobile Phones","LG V40 128GB - GSM Unlocked Smartphone Choose color Excellent Condition"
"ProdID-28000261","Electronics","Accessories_Supplies","EAY63368801 EAY64229801 EAX65784201 (1.5) POWER SUPPLY FOR LG ACCESSORY C03-L03"
"ProdID-28000271","Electronics","Accessories_Supplies","LG Model 8102 ITE Cell Phone AC Adapter Power Supply phone accessories wires"
"ProdID-28000281","Phone_Tablets","Mobile Phones","New BlackBerry Passport -BLACK- 32GB (Unlocked) +-ON SALE-- !!"
"ProdID-28000291","Phone_Tablets","Mobile Phones","Original Unlocked Apple iPhone 7 Plus Jet Black/Black/Gold/Silver/Pink 32GB"
"ProdID-28000301","Home_Office","Furniture","Recliner"
"ProdID-28000311","Phone_Tablets","Mobile Phones","100% Genuine NOKIA PHONE 3310 - Cingular"
"ProdID-28000321","Phone_Tablets","Laptop_Desktop accessories","Logitech C270 HD Computer Webcam Drive-Free with Microphone Anchor Video TV"
"ProdID-28000331","Phone_Tablets","Laptop_Desktop accessories","1080P HD Webcam With Microphone Auto Focusing Web Camera For PC Laptop Desktop"
"ProdID-28000341","Phone_Tablets","Laptop_Desktop accessories","Laptop Power AC Adapter Charger 40W For Samsung Chromebook XE500C12 PA-1250-98"
"ProdID-28000351","Electronics","Headphones","V9 Bluetooth Earphone With Voice Control - Black"
"ProdID-28000361","Electronics","Headphones","Bat Music 5800 Original TF MP3 Headset + Free Aux Cable - Black"
"ProdID-28000371","Electronics","Headphones","XIAOMI Redmi 5.0 Air Dots Headphone - Basic - Black"
"ProdID-28000381","Home_Office","Furniture","Ergonomic Mesh Office Swivel Chair - Black"
"ProdID-28000391","Home_Office","Home_Kitchen","Binatone DI-1255 Dry Iron - 1200 Watt White/Black"
"ProdID-28000401","Electronics","Headphones","P47 Bluetooth Stereo Wireless Beats Headset - Black"
"ProdID-28000411","Electronics","Headphones","Samsung Galaxy Buds Wireless Headset - Black"
"ProdID-28000421","Electronics","Headphones","TWS I7 Wireless Bluetooth V4.1 Headphone - White"
"ProdID-28000431","Electronics","Headphones","H17T Bluetooth Earphone With Charging Case - White"
"ProdID-28000441","Phone_Tablets","Laptop_Desktop accessories","N Logitech G230 Stereo Gaming Noise-cancelling Wired Headset (981-000541)"
