Index,Attribute:Slot,CPUTime,Duration (ms),Duration Text,End Time,End Time (int),EndTime,EventSubclass,IntegerData,ObjectName,Partition Event,RequestID,SessionID,Start Time (int),StartTime,TextData
2,,0,1,0 mins 0 sec,2022-03-20 17:54:28.000,20220320175428,2022-03-20 17:54:28.000,1,0,Question8-09dddaa4-3971-4124-8f64-82f470b60343,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing the 'Question8-09dddaa4-3971-4124-8f64-82f470b60343' partition of the 'Question8' table.
3,,0,8,0 mins 0 sec,2022-03-20 17:54:28.000,20220320175428,2022-03-20 17:54:28.000,59,0,Question8-09dddaa4-3971-4124-8f64-82f470b60343,True,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing partition 'Question8-09dddaa4-3971-4124-8f64-82f470b60343' of table 'Question8'.
4,,0,1,0 mins 0 sec,2022-03-20 17:54:28.000,20220320175428,2022-03-20 17:54:28.000,1,0,Table-b801effa-82a6-41a8-b110-220ddaccbf9e,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing the 'Table-b801effa-82a6-41a8-b110-220ddaccbf9e' partition of the 'Table' table.
5,,0,41,0 mins 0 sec,2022-03-20 17:54:28.000,20220320175428,2022-03-20 17:54:28.000,59,0,Table-b801effa-82a6-41a8-b110-220ddaccbf9e,True,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing partition 'Table-b801effa-82a6-41a8-b110-220ddaccbf9e' of table 'Table'.
6,00,172,1344,0 mins 1 sec,2022-03-20 17:54:29.000,20220320175429,2022-03-20 17:54:29.000,25,0,Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,"let __AS_Query__ = Solutions,
__AS_Table__ = Table.FromValue(__AS_Query__, [DefaultColumnName = ""Column1""]),
__AS_Compact__ = Table.RemoveColumns(__AS_Table__, Table.ColumnsOfType(__AS_Table__, { type table, type record, type list })),
__AS_Effective__ = Table.TransformColumnNames(__AS_Compact__, Text.Clean)
in __AS_Effective__"
7,00,16,13,0 mins 0 sec,2022-03-20 17:54:29.000,20220320175429,2022-03-20 17:54:29.000,17,0,Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175429,2022-03-20 17:54:29.000,Finished reading data for the 'Solutions' table.
11,00,16,15,0 mins 0 sec,2022-03-20 17:54:29.000,20220320175429,2022-03-20 17:54:29.000,1,0,Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175429,2022-03-20 17:54:29.000,Finished processing the 'Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02' partition of the 'Solutions' table.
12,00,344,1799,0 mins 1 sec,2022-03-20 17:54:29.000,20220320175429,2022-03-20 17:54:29.000,59,0,Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02,True,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175428,2022-03-20 17:54:28.000,Finished processing partition 'Solutions-f4ed0f31-1dad-4374-82ec-1c2def9a1e02' of table 'Solutions'.
13,,0,0,0 mins 0 sec,2022-03-20 17:54:30.000,20220320175430,2022-03-20 17:54:30.000,59,0,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175430,2022-03-20 17:54:30.000,Finished processing hierarchy 'RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61' of table 'Solutions'.
14,,0,0,0 mins 0 sec,2022-03-20 17:54:30.000,20220320175430,2022-03-20 17:54:30.000,59,0,Column1,False,9641CF81-7709-4FDC-93CC-8CDB6CF19C16,9D8885AD-877D-46AF-BA92-F5671A5234ED,20220320175430,2022-03-20 17:54:30.000,Finished processing hierarchy 'Column1' of table 'Solutions'.
