date,id
2020-03-29 00:00:00.000,28
2020-03-02 00:00:00.000,17
2020-02-27 00:00:00.000,13
2020-03-17 00:00:00.000,23
2020-02-23 00:00:00.000,9
2020-02-24 00:00:00.000,10
2020-03-10 00:00:00.000,22
2020-01-01 00:00:00.000,1
2020-03-25 00:00:00.000,27
2020-02-28 00:00:00.000,14
2020-03-01 00:00:00.000,16
2020-02-26 00:00:00.000,12
2020-03-03 00:00:00.000,18
2020-01-10 00:00:00.000,2
2020-02-01 00:00:00.000,5
2020-02-20 00:00:00.000,6
2020-01-19 00:00:00.000,3
2020-03-19 00:00:00.000,25
2020-02-10 00:00:00.000,4
2020-03-18 00:00:00.000,24
2020-03-24 00:00:00.000,26
2020-03-04 00:00:00.000,19
2020-03-30 00:00:00.000,29
2020-03-09 00:00:00.000,21
2020-02-22 00:00:00.000,8
2020-02-25 00:00:00.000,11
2020-02-29 00:00:00.000,15
2020-03-08 00:00:00.000,20
2020-02-21 00:00:00.000,7
