Location ID,Name,Revenue
"A189","Alexandria",46400
"A165","Amherst",53400
"A190","Arlington",45800
"A135","Athens",40200
"A136","Atlanta",41700
"A137","Augusta",62700
"A166","Babylon (Town)",53000
"A147","Baltimore",46600
"A142","Boston",29000
"A110","Brandon",76500
"A100","Bridgeport",39700
"A101","Bridgeport (Town)",49300
"A167","Brookhaven",47400
"A168","Brooklyn",68200
"A169","Buffalo",37100
"A143","Cambridge",40600
"A111","Cape Coral",54700
"A149","Cary",45300
"A186","Charleston",34300
"A150","Charlotte",55600
"A191","Chesapeake",39800
"A112","Clearwater",37500
"A148","Columbia",35700
"A187","Columbia",39700
"A138","Columbus",47300
"A113","Coral Springs",50100
"A114","Davie",51500
"A151","Durham",48400
"A159","Edison",46000
"A160","Elizabeth",29300
"A152","Fayetteville",31800
"A115","Fort Lauderdale",41800
"A116","Gainesville",40500
"A153","Greensboro",62700
"A192","Hampton",31100
"A102","Hartford",27900
"A103","Hartford (Town)",33500
"A170","Hempstead (Town)",48600
"A117","Hialeah",52500
"A154","High Point",41400
"A118","Hollywood",51200
"A171","Huntington",18900
"A172","Islip",36600
"A119","Jacksonville",33000
"A161","Jersey City",35600
"A120","Lakeland",38600
"A121","Lehigh Acres",39000
"A144","Lowell",58400
"A139","Macon",44300
"A158","Manchester",46000
"A173","Manhattan",23600
"A122","Miami",40600
"A123","Miami Gardens",51400
"A124","Miramar",47200
"A104","New Haven",45600
"A105","New Haven (Town)",52900
"A174","New York City",27200
"A162","Newark",50900
"A193","Newport News",47500
"A194","Norfolk",55700
"A188","North Charleston",44400
"A175","North Hempstead",39700
"A125","Orlando",43800
"A176","Oyster Bay",37300
"A126","Palm Bay",33700
"A163","Paterson",50100
"A127","Pembroke Pines",42600
"A128","Pompano Beach",48200
"A129","Port St. Lucie",39700
"A185","Providence",49000
"A177","Queens",53100
"A155","Raleigh",35000
"A178","Ramapo",28000
"A195","Richmond",46900
"A179","Rochester",58700
"A140","Sandy Springs",43000
"A141","Savannah",55300
"A180","Smithtown",65100
"A130","Spring Hill",41200
"A145","Springfield",26200
"A131","St. Petersburg",19600
"A106","Stamford",53400
"A107","Stamford (Town)",32800
"A181","Staten Island",49900
"A182","Syracuse",48200
"A132","Tallahassee",36500
"A133","Tampa",45000
"A183","The Bronx",31100
"A196","Virginia Beach",54900
"A108","Waterbury",43500
"A109","Waterbury (Town)",29000
"A134","West Palm Beach",33300
"A156","Wilmington",43500
"A157","Winston-Salem",54900
"A164","Woodbridge (Township)",33000
"A146","Worcester",44500
"A184","Yonkers",51700
