StoreKey,GeographyKey,StoreType,StoreName,Status,OpenDate,CloseDate,ZipCode,ZipCodeExtension,StorePhone,StoreFax,AddressLine1,AddressLine2,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate
2,693,"Store","Contoso Seattle No.2 Store","On",2004-02-14 00:00:00.000,,"97001","97002","150-555-0189","150-555-0189","Mino shopping mall","Mino shopping mall","",25,700,2009-06-17 00:00:00.000
5,677,"Store","Contoso Redmond Store","On",2004-04-02 00:00:00.000,,"97001","97005","612-555-0100","612-555-0100","Downtown shopping mall","Downtown shopping mall","",33,560,2009-06-17 00:00:00.000
7,838,"Store","Contoso Granger Store","On",2004-06-16 00:00:00.000,,"97001","97007","913-555-0172","913-555-0172","Granger, WA Downtown shopping mall","Granger, WA Downtown shopping mall","",22,500,2009-06-17 00:00:00.000
10,947,"Store","Contoso Wapato Store","On",2004-09-19 00:00:00.000,,"97001","97010","145-555-0130","145-555-0130","Wapato, Citycenter","Wapato, Citycenter","",25,700,2009-06-17 00:00:00.000
15,678,"Store","Contoso Renton Store","On",2004-02-24 00:00:00.000,,"97001","97015","424-555-0189","424-555-0189","Renton,Citycenter","Renton,Citycenter","",22,500,2009-06-17 00:00:00.000
17,551,"Store","Contoso Spokane Store","On",2004-03-26 00:00:00.000,,"97001","97017","984-555-0185","984-555-0185","Logan Ave  Shopping mall","Logan Ave  Shopping mall","",25,700,2009-06-17 00:00:00.000
20,824,"Store","Contoso Englewood Store","On",2004-09-29 00:00:00.000,,"87001","87001","435-555-0113","435-555-0113","Cherry Hills Village Shopping mall","Cherry Hills Village Shopping mall","",33,560,2009-06-17 00:00:00.000
22,571,"Store","Contoso Westminster Store","On",2004-12-03 00:00:00.000,,"87001","87003","925-555-0114","925-555-0114","South Central Shopping mall","South Central Shopping mall","",22,500,2009-06-17 00:00:00.000
25,839,"Store","Contoso Greeley  No.1 Store","On",2004-03-16 00:00:00.000,,"80631","80631","332-555-0150","332-555-0150"," W 29th Street, Greeley CityCenter"," W 29th Street, Greeley CityCenter","",25,700,2009-06-17 00:00:00.000
27,859,"Store","Contoso Lafayette Store","On",2004-05-18 00:00:00.000,,"87001","87008","113-555-0173","113-555-0173","Lafayette Downtown","Lafayette Downtown","",19,455,2009-06-17 00:00:00.000
30,829,"Store","Contoso Fort Collins Store","On",2004-08-21 00:00:00.000,,"87001","87011","656-555-0119","656-555-0119","Old Town West ST","Old Town West ST","",22,500,2009-06-17 00:00:00.000
32,877,"Store","Contoso Milliken Store","On",2004-10-23 00:00:00.000,,"87001","87013","523-555-0175","523-555-0175","Milliken Downtown","Milliken Downtown","",25,700,2009-06-17 00:00:00.000
35,818,"Store","Contoso Denver No.2 Store","On",2004-10-03 00:00:00.000,,"87001","87016","952-555-0178","952-555-0178","West Highland Borden Ave","West Highland Borden Ave","",19,455,2009-06-17 00:00:00.000
37,803,"Store","Contoso Boulder Store","On",2003-03-28 00:00:00.000,,"87001","87018","937-555-0137","937-555-0137","Transit Village Broadway","Transit Village Broadway","",47,1125,2009-06-17 00:00:00.000
40,790,"Store","Contoso Aurora Store","On",2003-06-11 00:00:00.000,,"87001","87021","794-555-0159","794-555-0159","Willow Park Ave","Willow Park Ave","",25,700,2009-06-17 00:00:00.000
42,840,"Store","Contoso Green Bay Store","On",2003-08-03 00:00:00.000,,"54001","54002","286-555-0189","286-555-0189","Green Bay Downtown","Green Bay Downtown","",19,455,2009-06-17 00:00:00.000
45,901,"Store","Contoso Oshkosh Store","On",2007-11-06 00:00:00.000,,"54001","54005","786-555-0144","786-555-0144","Oshkosh, WI Broadway","Oshkosh, WI Broadway","",22,500,2009-06-17 00:00:00.000
47,878,"Store","Contoso Milwaukee No.1 Store","On",2004-01-18 00:00:00.000,,"54001","54007","818-555-0192","818-555-0192","Havenwoods St","Havenwoods St","",25,700,2009-06-17 00:00:00.000
50,949,"Store","Contoso Waukesha No.1 Store","On",2004-04-19 00:00:00.000,,"54001","54010","299-555-0113","299-555-0113","Waukesha,  Water St","Waukesha,  Water St","",19,455,2009-06-17 00:00:00.000
