ProductKey,ProductLabel,ProductName,ProductDescription,ProductSubcategoryKey,Manufacturer,BrandName,ClassID,ClassName,StyleID,StyleName,ColorID,ColorName,Size,SizeRange,SizeUnitMeasureID,Weight,WeightUnitMeasureID,UnitOfMeasureID,UnitOfMeasureName,StockTypeID,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,StopSaleDate,Status,ProductSubcategory,ProductCategory
339,"0301002","Fabrikam Laptop17W M7080 Black","320 GB hard drive, 4 GB RAM 17-inches widescreen LCD with perfect 16:9 aspect ratio",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301002","2","Black","","","",2.8,"pounds","1","inches","1","High",404.63,879.9,2009-01-02 00:00:00.000,,"On","Laptops","Computers"
340,"0301003","Fabrikam Laptop17 M7000 Black","320 GB hard drive, 2 GB RAM 17-inches screens LCD",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301003","2","Black","","","",5.5,"pounds","1","inches","1","High",376.63,819,2007-01-04 00:00:00.000,,"On","Laptops","Computers"
341,"0301004","Fabrikam Laptop16W M6080 Black","320 GB hard drive, 2 GB RAM 16-inches widescreen LCD",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301004","2","Black","","","",2.2,"pounds","1","inches","1","High",444.69,967,2005-01-05 00:00:00.000,,"On","Laptops","Computers"
343,"0301006","Fabrikam Laptop19 M9000 Black","320 GB hard drive, 4 GB RAM 19-inches screen LCD",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301006","2","Black","","","",3.2,"pounds","1","inches","1","High",364.12,1099,2005-02-09 00:00:00.000,,"On","Laptops","Computers"
344,"0301007","Fabrikam Laptop12 M2000 White","60GB hard drive, 512MB memory",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301007","8","White","","","",6.5,"pounds","1","inches","1","High",186.6,366,2006-02-08 00:00:00.000,,"On","Laptops","Computers"
345,"0301008","Fabrikam Laptop15 M5000 White","15-inches screen, 60 GB hard drive, 128 MB of RAM (512 MB maximum), DVD-ROM",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301008","8","White","","","",3.8,"pounds","1","inches","1","High",321.44,699,2005-01-04 00:00:00.000,,"On","Laptops","Computers"
347,"0301010","Fabrikam Laptop14.1 M4100 White","Multimedia-focused laptop with 14.1-inches screen, 320 GB hard drive",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301010","8","White","","","",6,"pounds","1","inches","1","High",269.48,586,2005-03-08 00:00:00.000,,"On","Laptops","Computers"
348,"0301011","Fabrikam Laptop15.4W M5480 White","15.4-Inches widescreen TFT LCD display, 1280x800 resolutions",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301011","8","White","","","",5.5,"pounds","1","inches","1","High",348.58,758,2005-02-03 00:00:00.000,,"On","Laptops","Computers"
350,"0301013","Fabrikam Laptop12W M2080 Silver","60GB hard drive, 1GB memory",15,"Fabrikam, Inc.","Fabrikam","2","Regular","1","Product0301013","7","Silver","","","",5.4,"pounds","1","inches","1","High",203.42,399,2007-08-09 00:00:00.000,,"On","Laptops","Computers"
351,"0301014","Fabrikam Laptop8.9W E0880 Silver","80GB hard drive (2.2 pounds), 1.6GHz CPU",15,"Fabrikam, Inc.","Fabrikam","1","Economy","1","Product0301014","7","Silver","","","",5.5,"pounds","1","inches","1","High",171.3,336,2008-02-09 00:00:00.000,,"On","Laptops","Computers"
