Datekey,FullDateLabel,DateDescription,CalendarYear,CalendarYearLabel,CalendarHalfYear,CalendarHalfYearLabel,CalendarQuarter,CalendarQuarterLabel,CalendarMonth,CalendarMonthLabel,CalendarWeek,CalendarWeekLabel,CalendarDayOfWeek,CalendarDayOfWeekLabel,FiscalYear,FiscalYearLabel,FiscalHalfYear,FiscalHalfYearLabel,FiscalQuarter,FiscalQuarterLabel,FiscalMonth,FiscalMonthLabel,IsWorkDay,IsHoliday,HolidayName
2005-01-03 00:00:00.000,"2005-01-03","2005/01/03",2005,"Year 2005",20051,"H1",20051,"Q1",200501,"January",200502,"Week 2",2005022,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200501,"Month 1","WorkDay",0,"None"
2005-01-10 00:00:00.000,"2005-01-10","2005/01/10",2005,"Year 2005",20051,"H1",20051,"Q1",200501,"January",200503,"Week 3",2005032,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200501,"Month 1","WorkDay",0,"None"
2005-01-17 00:00:00.000,"2005-01-17","2005/01/17",2005,"Year 2005",20051,"H1",20051,"Q1",200501,"January",200504,"Week 4",2005042,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200501,"Month 1","WorkDay",0,"None"
2005-01-24 00:00:00.000,"2005-01-24","2005/01/24",2005,"Year 2005",20051,"H1",20051,"Q1",200501,"January",200505,"Week 5",2005052,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200501,"Month 1","WorkDay",0,"None"
2005-01-31 00:00:00.000,"2005-01-31","2005/01/31",2005,"Year 2005",20051,"H1",20051,"Q1",200501,"January",200506,"Week 6",2005062,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200501,"Month 1","WorkDay",0,"None"
2005-02-07 00:00:00.000,"2005-02-07","2005/02/07",2005,"Year 2005",20051,"H1",20051,"Q1",200502,"February",200507,"Week 7",2005072,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200502,"Month 2","WorkDay",0,"None"
2005-02-14 00:00:00.000,"2005-02-14","2005/02/14",2005,"Year 2005",20051,"H1",20051,"Q1",200502,"February",200508,"Week 8",2005082,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200502,"Month 2","WorkDay",0,"None"
2005-02-21 00:00:00.000,"2005-02-21","2005/02/21",2005,"Year 2005",20051,"H1",20051,"Q1",200502,"February",200509,"Week 9",2005092,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200502,"Month 2","WorkDay",0,"None"
2005-02-28 00:00:00.000,"2005-02-28","2005/02/28",2005,"Year 2005",20051,"H1",20051,"Q1",200502,"February",200510,"Week 10",2005102,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200502,"Month 2","WorkDay",0,"None"
2005-03-07 00:00:00.000,"2005-03-07","2005/03/07",2005,"Year 2005",20051,"H1",20051,"Q1",200503,"March",200511,"Week 11",2005112,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200503,"Month 3","WorkDay",0,"None"
2005-03-14 00:00:00.000,"2005-03-14","2005/03/14",2005,"Year 2005",20051,"H1",20051,"Q1",200503,"March",200512,"Week 12",2005122,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200503,"Month 3","WorkDay",0,"None"
2005-03-21 00:00:00.000,"2005-03-21","2005/03/21",2005,"Year 2005",20051,"H1",20051,"Q1",200503,"March",200513,"Week 13",2005132,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200503,"Month 3","WorkDay",0,"None"
2005-03-28 00:00:00.000,"2005-03-28","2005/03/28",2005,"Year 2005",20051,"H1",20051,"Q1",200503,"March",200514,"Week 14",2005142,"Monday",2005,"FiscalYear 2005",20051,"H1",20051,"Q1",200503,"Month 3","WorkDay",0,"None"
2006-01-02 00:00:00.000,"2006-01-02","2006/01/02",2006,"Year 2006",20061,"H1",20061,"Q1",200601,"January",200601,"Week 1",2006012,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200601,"Month 1","WorkDay",0,"None"
2006-01-09 00:00:00.000,"2006-01-09","2006/01/09",2006,"Year 2006",20061,"H1",20061,"Q1",200601,"January",200602,"Week 2",2006022,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200601,"Month 1","WorkDay",0,"None"
2006-01-16 00:00:00.000,"2006-01-16","2006/01/16",2006,"Year 2006",20061,"H1",20061,"Q1",200601,"January",200603,"Week 3",2006032,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200601,"Month 1","WorkDay",0,"None"
2006-01-23 00:00:00.000,"2006-01-23","2006/01/23",2006,"Year 2006",20061,"H1",20061,"Q1",200601,"January",200604,"Week 4",2006042,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200601,"Month 1","WorkDay",0,"None"
2006-01-30 00:00:00.000,"2006-01-30","2006/01/30",2006,"Year 2006",20061,"H1",20061,"Q1",200601,"January",200605,"Week 5",2006052,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200601,"Month 1","WorkDay",0,"None"
2006-02-06 00:00:00.000,"2006-02-06","2006/02/06",2006,"Year 2006",20061,"H1",20061,"Q1",200602,"February",200606,"Week 6",2006062,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200602,"Month 2","WorkDay",0,"None"
2006-02-13 00:00:00.000,"2006-02-13","2006/02/13",2006,"Year 2006",20061,"H1",20061,"Q1",200602,"February",200607,"Week 7",2006072,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200602,"Month 2","WorkDay",0,"None"
2006-02-20 00:00:00.000,"2006-02-20","2006/02/20",2006,"Year 2006",20061,"H1",20061,"Q1",200602,"February",200608,"Week 8",2006082,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200602,"Month 2","WorkDay",0,"None"
2006-02-27 00:00:00.000,"2006-02-27","2006/02/27",2006,"Year 2006",20061,"H1",20061,"Q1",200602,"February",200609,"Week 9",2006092,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200602,"Month 2","WorkDay",0,"None"
2006-03-06 00:00:00.000,"2006-03-06","2006/03/06",2006,"Year 2006",20061,"H1",20061,"Q1",200603,"March",200610,"Week 10",2006102,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200603,"Month 3","WorkDay",0,"None"
2006-03-13 00:00:00.000,"2006-03-13","2006/03/13",2006,"Year 2006",20061,"H1",20061,"Q1",200603,"March",200611,"Week 11",2006112,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200603,"Month 3","WorkDay",0,"None"
2006-03-20 00:00:00.000,"2006-03-20","2006/03/20",2006,"Year 2006",20061,"H1",20061,"Q1",200603,"March",200612,"Week 12",2006122,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200603,"Month 3","WorkDay",0,"None"
2006-03-27 00:00:00.000,"2006-03-27","2006/03/27",2006,"Year 2006",20061,"H1",20061,"Q1",200603,"March",200613,"Week 13",2006132,"Monday",2006,"FiscalYear 2006",20061,"H1",20061,"Q1",200603,"Month 3","WorkDay",0,"None"
2007-01-01 00:00:00.000,"2007-01-01","2007/01/01",2007,"Year 2007",20071,"H1",20071,"Q1",200701,"January",200701,"Week 1",2007012,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200701,"Month 1","WorkDay",0,"None"
2007-01-08 00:00:00.000,"2007-01-08","2007/01/08",2007,"Year 2007",20071,"H1",20071,"Q1",200701,"January",200702,"Week 2",2007022,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200701,"Month 1","WorkDay",0,"None"
2007-01-15 00:00:00.000,"2007-01-15","2007/01/15",2007,"Year 2007",20071,"H1",20071,"Q1",200701,"January",200703,"Week 3",2007032,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200701,"Month 1","WorkDay",0,"None"
2007-01-22 00:00:00.000,"2007-01-22","2007/01/22",2007,"Year 2007",20071,"H1",20071,"Q1",200701,"January",200704,"Week 4",2007042,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200701,"Month 1","WorkDay",0,"None"
2007-01-29 00:00:00.000,"2007-01-29","2007/01/29",2007,"Year 2007",20071,"H1",20071,"Q1",200701,"January",200705,"Week 5",2007052,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200701,"Month 1","WorkDay",0,"None"
2007-02-05 00:00:00.000,"2007-02-05","2007/02/05",2007,"Year 2007",20071,"H1",20071,"Q1",200702,"February",200706,"Week 6",2007062,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200702,"Month 2","WorkDay",0,"None"
2007-02-12 00:00:00.000,"2007-02-12","2007/02/12",2007,"Year 2007",20071,"H1",20071,"Q1",200702,"February",200707,"Week 7",2007072,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200702,"Month 2","WorkDay",0,"None"
2007-02-19 00:00:00.000,"2007-02-19","2007/02/19",2007,"Year 2007",20071,"H1",20071,"Q1",200702,"February",200708,"Week 8",2007082,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200702,"Month 2","WorkDay",0,"None"
2007-02-26 00:00:00.000,"2007-02-26","2007/02/26",2007,"Year 2007",20071,"H1",20071,"Q1",200702,"February",200709,"Week 9",2007092,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200702,"Month 2","WorkDay",0,"None"
2007-03-05 00:00:00.000,"2007-03-05","2007/03/05",2007,"Year 2007",20071,"H1",20071,"Q1",200703,"March",200710,"Week 10",2007102,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200703,"Month 3","WorkDay",0,"None"
2007-03-12 00:00:00.000,"2007-03-12","2007/03/12",2007,"Year 2007",20071,"H1",20071,"Q1",200703,"March",200711,"Week 11",2007112,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200703,"Month 3","WorkDay",0,"None"
2007-03-19 00:00:00.000,"2007-03-19","2007/03/19",2007,"Year 2007",20071,"H1",20071,"Q1",200703,"March",200712,"Week 12",2007122,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200703,"Month 3","WorkDay",0,"None"
2007-03-26 00:00:00.000,"2007-03-26","2007/03/26",2007,"Year 2007",20071,"H1",20071,"Q1",200703,"March",200713,"Week 13",2007132,"Monday",2007,"FiscalYear 2007",20071,"H1",20071,"Q1",200703,"Month 3","WorkDay",0,"None"
2008-01-07 00:00:00.000,"2008-01-07","2008/01/07",2008,"Year 2008",20081,"H1",20081,"Q1",200801,"January",200802,"Week 2",2008022,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200801,"Month 1","WorkDay",0,"None"
2008-01-14 00:00:00.000,"2008-01-14","2008/01/14",2008,"Year 2008",20081,"H1",20081,"Q1",200801,"January",200803,"Week 3",2008032,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200801,"Month 1","WorkDay",0,"None"
2008-01-21 00:00:00.000,"2008-01-21","2008/01/21",2008,"Year 2008",20081,"H1",20081,"Q1",200801,"January",200804,"Week 4",2008042,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200801,"Month 1","WorkDay",0,"None"
2008-01-28 00:00:00.000,"2008-01-28","2008/01/28",2008,"Year 2008",20081,"H1",20081,"Q1",200801,"January",200805,"Week 5",2008052,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200801,"Month 1","WorkDay",0,"None"
2008-02-04 00:00:00.000,"2008-02-04","2008/02/04",2008,"Year 2008",20081,"H1",20081,"Q1",200802,"February",200806,"Week 6",2008062,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200802,"Month 2","WorkDay",0,"None"
2008-02-11 00:00:00.000,"2008-02-11","2008/02/11",2008,"Year 2008",20081,"H1",20081,"Q1",200802,"February",200807,"Week 7",2008072,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200802,"Month 2","WorkDay",0,"None"
2008-02-18 00:00:00.000,"2008-02-18","2008/02/18",2008,"Year 2008",20081,"H1",20081,"Q1",200802,"February",200808,"Week 8",2008082,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200802,"Month 2","WorkDay",0,"None"
2008-02-25 00:00:00.000,"2008-02-25","2008/02/25",2008,"Year 2008",20081,"H1",20081,"Q1",200802,"February",200809,"Week 9",2008092,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200802,"Month 2","WorkDay",0,"None"
2008-03-03 00:00:00.000,"2008-03-03","2008/03/03",2008,"Year 2008",20081,"H1",20081,"Q1",200803,"March",200810,"Week 10",2008102,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200803,"Month 3","WorkDay",0,"None"
2008-03-10 00:00:00.000,"2008-03-10","2008/03/10",2008,"Year 2008",20081,"H1",20081,"Q1",200803,"March",200811,"Week 11",2008112,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200803,"Month 3","WorkDay",0,"None"
2008-03-17 00:00:00.000,"2008-03-17","2008/03/17",2008,"Year 2008",20081,"H1",20081,"Q1",200803,"March",200812,"Week 12",2008122,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200803,"Month 3","WorkDay",0,"None"
2008-03-24 00:00:00.000,"2008-03-24","2008/03/24",2008,"Year 2008",20081,"H1",20081,"Q1",200803,"March",200813,"Week 13",2008132,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200803,"Month 3","WorkDay",0,"None"
2008-03-31 00:00:00.000,"2008-03-31","2008/03/31",2008,"Year 2008",20081,"H1",20081,"Q1",200803,"March",200814,"Week 14",2008142,"Monday",2008,"FiscalYear 2008",20081,"H1",20081,"Q1",200803,"Month 3","WorkDay",0,"None"
2009-01-05 00:00:00.000,"2009-01-05","2009/01/05",2009,"Year 2009",20091,"H1",20091,"Q1",200901,"January",200902,"Week 2",2009022,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200901,"Month 1","WorkDay",0,"None"
2009-01-12 00:00:00.000,"2009-01-12","2009/01/12",2009,"Year 2009",20091,"H1",20091,"Q1",200901,"January",200903,"Week 3",2009032,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200901,"Month 1","WorkDay",0,"None"
2009-01-19 00:00:00.000,"2009-01-19","2009/01/19",2009,"Year 2009",20091,"H1",20091,"Q1",200901,"January",200904,"Week 4",2009042,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200901,"Month 1","WorkDay",0,"None"
2009-01-26 00:00:00.000,"2009-01-26","2009/01/26",2009,"Year 2009",20091,"H1",20091,"Q1",200901,"January",200905,"Week 5",2009052,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200901,"Month 1","WorkDay",0,"None"
2009-02-02 00:00:00.000,"2009-02-02","2009/02/02",2009,"Year 2009",20091,"H1",20091,"Q1",200902,"February",200906,"Week 6",2009062,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200902,"Month 2","WorkDay",0,"None"
2009-02-09 00:00:00.000,"2009-02-09","2009/02/09",2009,"Year 2009",20091,"H1",20091,"Q1",200902,"February",200907,"Week 7",2009072,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200902,"Month 2","WorkDay",0,"None"
2009-02-16 00:00:00.000,"2009-02-16","2009/02/16",2009,"Year 2009",20091,"H1",20091,"Q1",200902,"February",200908,"Week 8",2009082,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200902,"Month 2","WorkDay",0,"None"
2009-02-23 00:00:00.000,"2009-02-23","2009/02/23",2009,"Year 2009",20091,"H1",20091,"Q1",200902,"February",200909,"Week 9",2009092,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200902,"Month 2","WorkDay",0,"None"
2009-03-02 00:00:00.000,"2009-03-02","2009/03/02",2009,"Year 2009",20091,"H1",20091,"Q1",200903,"March",200910,"Week 10",2009102,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200903,"Month 3","WorkDay",0,"None"
2009-03-09 00:00:00.000,"2009-03-09","2009/03/09",2009,"Year 2009",20091,"H1",20091,"Q1",200903,"March",200911,"Week 11",2009112,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200903,"Month 3","WorkDay",0,"None"
2009-03-16 00:00:00.000,"2009-03-16","2009/03/16",2009,"Year 2009",20091,"H1",20091,"Q1",200903,"March",200912,"Week 12",2009122,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200903,"Month 3","WorkDay",0,"None"
2009-03-23 00:00:00.000,"2009-03-23","2009/03/23",2009,"Year 2009",20091,"H1",20091,"Q1",200903,"March",200913,"Week 13",2009132,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200903,"Month 3","WorkDay",0,"None"
2009-03-30 00:00:00.000,"2009-03-30","2009/03/30",2009,"Year 2009",20091,"H1",20091,"Q1",200903,"March",200914,"Week 14",2009142,"Monday",2009,"FiscalYear 2009",20091,"H1",20091,"Q1",200903,"Month 3","WorkDay",0,"None"
2010-01-04 00:00:00.000,"2010-01-04","2010/01/04",2010,"Year 2010",20101,"H1",20101,"Q1",201001,"January",201002,"Week 2",2010022,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201001,"Month 1","WorkDay",0,"None"
2010-01-11 00:00:00.000,"2010-01-11","2010/01/11",2010,"Year 2010",20101,"H1",20101,"Q1",201001,"January",201003,"Week 3",2010032,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201001,"Month 1","WorkDay",0,"None"
2010-01-18 00:00:00.000,"2010-01-18","2010/01/18",2010,"Year 2010",20101,"H1",20101,"Q1",201001,"January",201004,"Week 4",2010042,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201001,"Month 1","WorkDay",0,"None"
2010-01-25 00:00:00.000,"2010-01-25","2010/01/25",2010,"Year 2010",20101,"H1",20101,"Q1",201001,"January",201005,"Week 5",2010052,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201001,"Month 1","WorkDay",0,"None"
2010-02-01 00:00:00.000,"2010-02-01","2010/02/01",2010,"Year 2010",20101,"H1",20101,"Q1",201002,"February",201006,"Week 6",2010062,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201002,"Month 2","WorkDay",0,"None"
2010-02-08 00:00:00.000,"2010-02-08","2010/02/08",2010,"Year 2010",20101,"H1",20101,"Q1",201002,"February",201007,"Week 7",2010072,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201002,"Month 2","WorkDay",0,"None"
2010-02-15 00:00:00.000,"2010-02-15","2010/02/15",2010,"Year 2010",20101,"H1",20101,"Q1",201002,"February",201008,"Week 8",2010082,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201002,"Month 2","WorkDay",0,"None"
2010-02-22 00:00:00.000,"2010-02-22","2010/02/22",2010,"Year 2010",20101,"H1",20101,"Q1",201002,"February",201009,"Week 9",2010092,"Monday",2010,"FiscalYear 2010",20101,"H1",20101,"Q1",201002,"Month 2","WorkDay",0,"None"
