Apellidos y Nombres,variable,value
Otárola Peñaranda Fredy Rolando,Partidos Políticos,Gana Perú
Chávez Cossío Martha Gladys,Partidos Políticos,Fuerza Popular
Condori Jahuira Gladys Natalie,Partidos Políticos,Gana Perú
Tapia Bernal Segundo Leocadio,Partidos Políticos,Fuerza Popular
Bruce Montes De Oca Carlos Ricardo,Partidos Políticos,Perú Posible
Rivas Texeira Martín,Partidos Políticos,Gana Perú
Condori Cusi Rubén,Partidos Políticos,Gana Perú
Lewis Del Alcázar Norman David,Partidos Políticos,Perú Posible
León Rivera José Raguberto,Partidos Políticos,Perú Posible
Medina Ortiz Antonio,Partidos Políticos,Fuerza Popular
Acuña Núñez Richard Frank,Partidos Políticos,Alianza por el Gran Cambio
Neyra Olaychea Angel,Partidos Políticos,Fuerza Popular
Teves Quispe Julia,Partidos Políticos,Gana Perú
Dammert Ego Aguirre Manuel Enrique Ernesto,Partidos Políticos,Gana Perú
Eguren Neuenschwander Juan Carlos,Partidos Políticos,Alianza por el Gran Cambio
Zeballos Salinas Vicente Antonio,Partidos Políticos,Alianza Solidaridad Nacional
Tan De Inafuko Aurelia,Partidos Políticos,Fuerza Popular
Mora Zevallos Daniel Emiliano,Partidos Políticos,Perú Posible
Pérez Tello De Rodríguez María Soledad,Partidos Políticos,Alianza por el Gran Cambio
Simon Munaro Yehude,Partidos Políticos,Alianza por el Gran Cambio
Delgado Zegarra Jaime Ricardo,Partidos Políticos,Gana Perú
Reynaga Soto Jhon Arquimides,Partidos Políticos,Gana Perú
Grández Saldaña Víctor Raul,Partidos Políticos,Fuerza Popular
Tejada Galindo Sergio Fernando,Partidos Políticos,Gana Perú
Díaz Dios Juan José,Partidos Políticos,Fuerza Popular
Chihuán Ramos Leyla Felicita,Partidos Políticos,Fuerza Popular
Abugattás Majluf Daniel,Partidos Políticos,Gana Perú
Gastañadui Ramírez Santiago,Partidos Políticos,Gana Perú
Gagó Pérez Julio César,Partidos Políticos,Fuerza Popular
Mavila León Rosa Delsa,Partidos Políticos,Gana Perú
Saavedra Vela Esther,Partidos Políticos,Gana Perú
Bardález Cochagne Aldo Maximiliano,Partidos Políticos,Fuerza Popular
Cordero Jon Tay María del Pilar,Partidos Políticos,Fuerza Popular
Reátegui Flores Rolando,Partidos Políticos,Fuerza Popular
Carrillo Cavero Hugo,Partidos Políticos,Gana Perú
Velásquez Quesquén Angel Javier,Partidos Políticos,Partido Aprista Peruano
Huaire Chuquichaico Casio Faustino,Partidos Políticos,Perú Posible
Apaza Ordóñez Justiniano Rómulo,Partidos Políticos,Gana Perú
Gamarra Saldívar Teófilo,Partidos Políticos,Gana Perú
Pariona Galindo Federico,Partidos Políticos,Fuerza Popular
Becerril Rodríguez Héctor Virgilio,Partidos Políticos,Fuerza Popular
Urquizo Maggia José Antonio,Partidos Políticos,Gana Perú
Beingolea Delgado Alberto Ismael,Partidos Políticos,Alianza por el Gran Cambio
Tubino Arias Schreiber Carlos Mario Del Carmen,Partidos Políticos,Fuerza Popular
Zamudio Briceño Tomás Martín,Partidos Políticos,Gana Perú
Benítez Rivas Heriberto Manuel,Partidos Políticos,Alianza Solidaridad Nacional
Rimarachín Cabrera Jorge Antonio,Partidos Políticos,Gana Perú
Vacchelli Corbetto Gian Carlo,Partidos Políticos,Fuerza Popular
Valencia Quiroz Jaime Rubén,Partidos Políticos,Gana Perú
Melgar Valdez Elard Galo,Partidos Políticos,Fuerza Popular
Mulder Bedoya Mauricio,Partidos Políticos,Partido Aprista Peruano
Neyra Huamaní Rofilio T.,Partidos Políticos,Fuerza Popular
Rondón Fudinaga Gustavo Bernardo,Partidos Políticos,Alianza Solidaridad Nacional
Núñez Campos Carmen Rosa,Partidos Políticos,Alianza Solidaridad Nacional
Elías Ávalos José Luis,Partidos Políticos,Fuerza Popular
García Belaúnde Víctor Andrés,Partidos Políticos,Perú Posible
Coa Aguilar Rubén Rolando,Partidos Políticos,Gana Perú
De La Torre Dueñas Hernán,Partidos Políticos,Gana Perú
Cabrera Ganoza Eduardo Felipe,Partidos Políticos,Fuerza Popular
Kobashigawa Kobashigawa Ramón,Partidos Políticos,Fuerza Popular
Sarmiento Betancourt Freddy Fernando,Partidos Políticos,Fuerza Popular
Anicama Ñáñez Elsa Celia,Partidos Políticos,Gana Perú
Acha Romaní Walter,Partidos Políticos,Gana Perú
Schaefer Cuculiza Karla Melissa,Partidos Políticos,Fuerza Popular
Julca Jara Dalmacio Modesto,Partidos Políticos,Perú Posible
Guevara Amasifuén Mesias Antonio,Partidos Políticos,Acción Popular
Aguinaga Recuenco Alejandro Aurelio,Partidos Políticos,Fuerza Popular
Jara Velásquez Ana Ethel Del Rosario,Partidos Políticos,Gana Perú
Capuñay Quispe Esther Yovana,Partidos Políticos,Alianza Solidaridad Nacional
Lay Sun Humberto,Partidos Políticos,Alianza por el Gran Cambio
Romero Rodríguez Eulogio Amado,Partidos Políticos,Gana Perú
Ruiz Loayza Wilder,Partidos Políticos,Gana Perú
Iberico Nuñez Luis Carlos Antonio,Partidos Políticos,Alianza por el Gran Cambio
Mendoza Frisch Verónika Fanny,Partidos Políticos,Gana Perú
Angulo Álvarez Roberto Edmundo,Partidos Políticos,Gana Perú
Ccama Layme Francisco,Partidos Políticos,Fuerza Popular
Cárdenas Cerrón Johnny,Partidos Políticos,Gana Perú
Luna Gálvez José León,Partidos Políticos,Alianza Solidaridad Nacional
Inga Vásquez Leonardo Agustín,Partidos Políticos,Acción Popular
Valle Ramírez Willyam Tito,Partidos Políticos,Somos Perú
Pérez Del Solar Cuculiza Gabriela Lourdes,Partidos Políticos,Alianza por el Gran Cambio
Rodríguez Zavaleta Elías Nicolás,Partidos Políticos,Partido Aprista Peruano
Oseda Soto Doris Gladys,Partidos Políticos,Gana Perú
Cuculiza Torre Luisa María,Partidos Políticos,Fuerza Popular
Rosas Huaranga Julio Pablo,Partidos Políticos,Fuerza Popular
Hurtado Zamudio Jesús Panfilo,Partidos Políticos,Fuerza Popular
Canches Guzmán Rogelio Antenor,Partidos Políticos,Gana Perú
Yrupailla Montes César Elmer,Partidos Políticos,Gana Perú
Chehade Moya Omar Karim,Partidos Políticos,Gana Perú
Gutiérrez Cóndor Josue Manuel,Partidos Políticos,Gana Perú
Tait Villacorta Cecilia,Partidos Políticos,Perú Posible
Bedoya De Vivanco Javier,Partidos Políticos,Partido Popular Cristiano
Chacón De Vettori Cecilia Isabel,Partidos Políticos,Fuerza Popular
Molina Martínez Agustín F.,Partidos Políticos,Gana Perú
Espinoza Rosales Rennán Samuel,Partidos Políticos,Perú Posible
López Córdova María Magdalena,Partidos Políticos,Fuerza Popular
Crisólogo Espejo Víctor Walberto,Partidos Políticos,Perú Posible
Reggiardo Barreto Renzo Andrés,Partidos Políticos,Alianza Solidaridad Nacional
Llatas Altamirano Cristóbal Luis,Partidos Políticos,Gana Perú
Isla Rojas Víctor,Partidos Políticos,Gana Perú
Otárola Peñaranda Fredy Rolando,Bancada,Nacionalista Gana Perú
Chávez Cossío Martha Gladys,Bancada,Fuerza Popular
Condori Jahuira Gladys Natalie,Bancada,Dignidad Y Democracia
Tapia Bernal Segundo Leocadio,Bancada,Fuerza Popular
Bruce Montes De Oca Carlos Ricardo,Bancada,Concertación Parlamentaria
Rivas Texeira Martín,Bancada,Nacionalista Gana Perú
Condori Cusi Rubén,Bancada,Nacionalista Gana Perú
Lewis Del Alcázar Norman David,Bancada,Unión Regional
León Rivera José Raguberto,Bancada,Perú Posible
Medina Ortiz Antonio,Bancada,Fuerza Popular
Acuña Núñez Richard Frank,Bancada,Ppc - App
Neyra Olaychea Angel,Bancada,Fuerza Popular
Teves Quispe Julia,Bancada,Nacionalista Gana Perú
Dammert Ego Aguirre Manuel Enrique Ernesto,Bancada,Acción Popular - Frente Amplio
Eguren Neuenschwander Juan Carlos,Bancada,Ppc - App
Zeballos Salinas Vicente Antonio,Bancada,Solidaridad Nacional
Tan De Inafuko Aurelia,Bancada,Fuerza Popular
Mora Zevallos Daniel Emiliano,Bancada,Perú Posible
Pérez Tello De Rodríguez María Soledad,Bancada,Ppc - App
Simon Munaro Yehude,Bancada,Perú Posible
Delgado Zegarra Jaime Ricardo,Bancada,Dignidad Y Democracia
Reynaga Soto Jhon Arquimides,Bancada,Dignidad Y Democracia
Grández Saldaña Víctor Raul,Bancada,No Agrupados
Tejada Galindo Sergio Fernando,Bancada,Dignidad Y Democracia
Díaz Dios Juan José,Bancada,No Agrupados
Chihuán Ramos Leyla Felicita,Bancada,Fuerza Popular
Abugattás Majluf Daniel,Bancada,Nacionalista Gana Perú
Gastañadui Ramírez Santiago,Bancada,Nacionalista Gana Perú
Gagó Pérez Julio César,Bancada,Fuerza Popular
Mavila León Rosa Delsa,Bancada,Acción Popular - Frente Amplio
Saavedra Vela Esther,Bancada,Dignidad Y Democracia
Bardález Cochagne Aldo Maximiliano,Bancada,Fuerza Popular
Cordero Jon Tay María del Pilar,Bancada,Fuerza Popular
Reátegui Flores Rolando,Bancada,Fuerza Popular
Carrillo Cavero Hugo,Bancada,Nacionalista Gana Perú
Velásquez Quesquén Angel Javier,Bancada,Concertación Parlamentaria
Huaire Chuquichaico Casio Faustino,Bancada,Perú Posible
Apaza Ordóñez Justiniano Rómulo,Bancada,Dignidad Y Democracia
Gamarra Saldívar Teófilo,Bancada,Nacionalista Gana Perú
Pariona Galindo Federico,Bancada,Fuerza Popular
Becerril Rodríguez Héctor Virgilio,Bancada,Fuerza Popular
Urquizo Maggia José Antonio,Bancada,Nacionalista Gana Perú
Beingolea Delgado Alberto Ismael,Bancada,Ppc - App
Tubino Arias Schreiber Carlos Mario Del Carmen,Bancada,Fuerza Popular
Zamudio Briceño Tomás Martín,Bancada,Nacionalista Gana Perú
Benítez Rivas Heriberto Manuel,Bancada,No Agrupados
Rimarachín Cabrera Jorge Antonio,Bancada,Dignidad Y Democracia
Vacchelli Corbetto Gian Carlo,Bancada,Fuerza Popular
Valencia Quiroz Jaime Rubén,Bancada,Nacionalista Gana Perú
Melgar Valdez Elard Galo,Bancada,Fuerza Popular
Mulder Bedoya Mauricio,Bancada,Concertación Parlamentaria
Neyra Huamaní Rofilio T.,Bancada,Fuerza Popular
Rondón Fudinaga Gustavo Bernardo,Bancada,Solidaridad Nacional
Núñez Campos Carmen Rosa,Bancada,Concertación Parlamentaria
Elías Ávalos José Luis,Bancada,Fuerza Popular
García Belaúnde Víctor Andrés,Bancada,Acción Popular - Frente Amplio
Coa Aguilar Rubén Rolando,Bancada,Nacionalista Gana Perú
De La Torre Dueñas Hernán,Bancada,Nacionalista Gana Perú
Cabrera Ganoza Eduardo Felipe,Bancada,Fuerza Popular
Kobashigawa Kobashigawa Ramón,Bancada,Fuerza Popular
Sarmiento Betancourt Freddy Fernando,Bancada,Fuerza Popular
Anicama Ñáñez Elsa Celia,Bancada,Dignidad Y Democracia
Acha Romaní Walter,Bancada,No Agrupados
Schaefer Cuculiza Karla Melissa,Bancada,Fuerza Popular
Julca Jara Dalmacio Modesto,Bancada,Perú Posible
Guevara Amasifuén Mesias Antonio,Bancada,Acción Popular - Frente Amplio
Aguinaga Recuenco Alejandro Aurelio,Bancada,Fuerza Popular
Jara Velásquez Ana Ethel Del Rosario,Bancada,Nacionalista Gana Perú
Capuñay Quispe Esther Yovana,Bancada,Solidaridad Nacional
Lay Sun Humberto,Bancada,Unión Regional
Romero Rodríguez Eulogio Amado,Bancada,Dignidad Y Democracia
Ruiz Loayza Wilder,Bancada,Dignidad Y Democracia
Iberico Nuñez Luis Carlos Antonio,Bancada,Ppc - App
Mendoza Frisch Verónika Fanny,Bancada,Acción Popular - Frente Amplio
Angulo Álvarez Roberto Edmundo,Bancada,Dignidad Y Democracia
Ccama Layme Francisco,Bancada,Fuerza Popular
Cárdenas Cerrón Johnny,Bancada,Nacionalista Gana Perú
Luna Gálvez José León,Bancada,Solidaridad Nacional
Inga Vásquez Leonardo Agustín,Bancada,Acción Popular - Frente Amplio
Valle Ramírez Willyam Tito,Bancada,Perú Posible
Pérez Del Solar Cuculiza Gabriela Lourdes,Bancada,Concertación Parlamentaria
Rodríguez Zavaleta Elías Nicolás,Bancada,Concertación Parlamentaria
Oseda Soto Doris Gladys,Bancada,Nacionalista Gana Perú
Cuculiza Torre Luisa María,Bancada,Fuerza Popular
Rosas Huaranga Julio Pablo,Bancada,No Agrupados
Hurtado Zamudio Jesús Panfilo,Bancada,Fuerza Popular
Canches Guzmán Rogelio Antenor,Bancada,Unión Regional
Yrupailla Montes César Elmer,Bancada,Nacionalista Gana Perú
Chehade Moya Omar Karim,Bancada,No Agrupados
Gutiérrez Cóndor Josue Manuel,Bancada,Nacionalista Gana Perú
Tait Villacorta Cecilia,Bancada,No Agrupados
Bedoya De Vivanco Javier,Bancada,Ppc - App
Chacón De Vettori Cecilia Isabel,Bancada,Fuerza Popular
Molina Martínez Agustín F.,Bancada,Nacionalista Gana Perú
Espinoza Rosales Rennán Samuel,Bancada,Perú Posible
López Córdova María Magdalena,Bancada,Fuerza Popular
Crisólogo Espejo Víctor Walberto,Bancada,Perú Posible
Reggiardo Barreto Renzo Andrés,Bancada,Concertación Parlamentaria
Llatas Altamirano Cristóbal Luis,Bancada,Nacionalista Gana Perú
Isla Rojas Víctor,Bancada,Nacionalista Gana Perú
Otárola Peñaranda Fredy Rolando,Votacion Obtenida,24828.0
Chávez Cossío Martha Gladys,Votacion Obtenida,34753.0
Condori Jahuira Gladys Natalie,Votacion Obtenida,27654.0
Tapia Bernal Segundo Leocadio,Votacion Obtenida,10545.0
Bruce Montes De Oca Carlos Ricardo,Votacion Obtenida,130620.0
Rivas Texeira Martín,Votacion Obtenida,32070.0
Condori Cusi Rubén,Votacion Obtenida,31002.0
Lewis Del Alcázar Norman David,Votacion Obtenida,29930.0
León Rivera José Raguberto,Votacion Obtenida,29017.0
Medina Ortiz Antonio,Votacion Obtenida,6972.0
Acuña Núñez Richard Frank,Votacion Obtenida,74789.0
Neyra Olaychea Angel,Votacion Obtenida,31976.0
Teves Quispe Julia,Votacion Obtenida,30971.0
Dammert Ego Aguirre Manuel Enrique Ernesto,Votacion Obtenida,20636.0
Eguren Neuenschwander Juan Carlos,Votacion Obtenida,49017.0
Zeballos Salinas Vicente Antonio,Votacion Obtenida,15393.0
Tan De Inafuko Aurelia,Votacion Obtenida,28650.0
Mora Zevallos Daniel Emiliano,Votacion Obtenida,1518.0
Pérez Tello De Rodríguez María Soledad,Votacion Obtenida,50721.0
Simon Munaro Yehude,Votacion Obtenida,49742.0
Delgado Zegarra Jaime Ricardo,Votacion Obtenida,119561.0
Reynaga Soto Jhon Arquimides,Votacion Obtenida,12921.0
Grández Saldaña Víctor Raul,Votacion Obtenida,10531.0
Tejada Galindo Sergio Fernando,Votacion Obtenida,27456.0
Díaz Dios Juan José,Votacion Obtenida,27444.0
Chihuán Ramos Leyla Felicita,Votacion Obtenida,64389.0
Abugattás Majluf Daniel,Votacion Obtenida,119742.0
Gastañadui Ramírez Santiago,Votacion Obtenida,16208.0
Gagó Pérez Julio César,Votacion Obtenida,49272.0
Mavila León Rosa Delsa,Votacion Obtenida,21559.0
Saavedra Vela Esther,Votacion Obtenida,7961.0
Bardález Cochagne Aldo Maximiliano,Votacion Obtenida,9875.0
Cordero Jon Tay María del Pilar,Votacion Obtenida,6073.0
Reátegui Flores Rolando,Votacion Obtenida,20670.0
Carrillo Cavero Hugo,Votacion Obtenida,15533.0
Velásquez Quesquén Angel Javier,Votacion Obtenida,43876.0
Huaire Chuquichaico Casio Faustino,Votacion Obtenida,22699.0
Apaza Ordóñez Justiniano Rómulo,Votacion Obtenida,51332.0
Gamarra Saldívar Teófilo,Votacion Obtenida,15126.0
Pariona Galindo Federico,Votacion Obtenida,25370.0
Becerril Rodríguez Héctor Virgilio,Votacion Obtenida,14946.0
Urquizo Maggia José Antonio,Votacion Obtenida,19812.0
Beingolea Delgado Alberto Ismael,Votacion Obtenida,159397.0
Tubino Arias Schreiber Carlos Mario Del Carmen,Votacion Obtenida,18474.0
Zamudio Briceño Tomás Martín,Votacion Obtenida,28733.0
Benítez Rivas Heriberto Manuel,Votacion Obtenida,34027.0
Rimarachín Cabrera Jorge Antonio,Votacion Obtenida,25158.0
Vacchelli Corbetto Gian Carlo,Votacion Obtenida,43234.0
Valencia Quiroz Jaime Rubén,Votacion Obtenida,8025.0
Melgar Valdez Elard Galo,Votacion Obtenida,28367.0
Mulder Bedoya Mauricio,Votacion Obtenida,52798.0
Neyra Huamaní Rofilio T.,Votacion Obtenida,33914.0
Rondón Fudinaga Gustavo Bernardo,Votacion Obtenida,58984.0
Núñez Campos Carmen Rosa,Votacion Obtenida,0.0
Elías Ávalos José Luis,Votacion Obtenida,44210.0
García Belaúnde Víctor Andrés,Votacion Obtenida,53769.0
Coa Aguilar Rubén Rolando,Votacion Obtenida,43720.0
De La Torre Dueñas Hernán,Votacion Obtenida,46403.0
Cabrera Ganoza Eduardo Felipe,Votacion Obtenida,55310.0
Kobashigawa Kobashigawa Ramón,Votacion Obtenida,22482.0
Sarmiento Betancourt Freddy Fernando,Votacion Obtenida,20947.0
Anicama Ñáñez Elsa Celia,Votacion Obtenida,15326.0
Acha Romaní Walter,Votacion Obtenida,15087.0
Schaefer Cuculiza Karla Melissa,Votacion Obtenida,23086.0
Julca Jara Dalmacio Modesto,Votacion Obtenida,29660.0
Guevara Amasifuén Mesias Antonio,Votacion Obtenida,18041.0
Aguinaga Recuenco Alejandro Aurelio,Votacion Obtenida,37344.0
Jara Velásquez Ana Ethel Del Rosario,Votacion Obtenida,48877.0
Capuñay Quispe Esther Yovana,Votacion Obtenida,35688.0
