Bancada,IdBancada,N° de leyes - Proyectos de Ley,Leyes Aprobadas,Efectividad Bancada
"Acción Popular - Frente Amplio",1,2923,392,0.13410879233664044
"Concertación Parlamentaria",2,1389,281,0.20230381569474443
"Dignidad Y Democracia",3,4405,593,0.13461975028376844
"Fuerza Popular",4,6695,1393,0.2080657206870799
"Nacionalista Gana Perú",5,7836,1187,0.15148034711587546
"No Agrupados",6,1329,270,0.20316027088036118
"Perú Posible",7,2917,535,0.18340761055879326
"Ppc - App",8,1423,383,0.26914968376669007
"Solidaridad Nacional",9,2276,386,0.16959578207381371
"Unión Regional",10,2137,331,0.15489003275620028
