Congresistas,Partido Político,Bancada,Proyectos de Ley,Leyes Aprobadas,Efectividad Individual,Porporción de contribucion x Bancada,IdRecord,Foto,Foto 1,Foto 130,Efectividad Bancada,Score,Ranking
"Bedoya De Vivanco Javier","Partido Popular Cristiano","Ppc - App",165,43,0.2606,0.0302,113,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.26914968376669007,0.26487484188334504,1
"Beingolea Delgado Alberto Ismael","Alianza por el Gran Cambio","Ppc - App",206,52,0.25239999999999996,0.0365,112,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/15-v6Ox6Po0Yy4Gl8I.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.26914968376669007,0.260774841883345,2
"Iberico Nuñez Luis Carlos Antonio","Alianza por el Gran Cambio","Ppc - App",248,60,0.2419,0.042199999999999994,111,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/59-g6Kc8Am3Fl6Yh8Q.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.26914968376669007,0.255524841883345,3
"Acuña Núñez Richard Frank","Alianza por el Gran Cambio","Ppc - App",154,37,0.2403,0.026000000000000002,115,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/3-t6Ic8Hr7Be6Nj4Z.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.26914968376669007,0.25472484188334504,4
"Vacchelli Corbetto Gian Carlo","Fuerza Popular","Fuerza Popular",163,49,0.3006,0.0073,31,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/122-q7Wc3Qx1Dy7Bn0F.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.25433286034353997,5
"Alcorta Suero Maria Lourdes Pia Luisa","Alianza por el Gran Cambio","Concertación Parlamentaria",86,26,0.3023,0.0187,9,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/6-y1Ol1Lg8Be7Gv7V.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20230381569474443,0.25230190784737222,6
"Eguren Neuenschwander Juan Carlos","Alianza por el Gran Cambio","Ppc - App",244,57,0.2336,0.0401,114,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/42-u3Nx4Fr0Tu1Rd8V.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.26914968376669007,0.251374841883345,7
"Galarreta Velarde Luis Fernando","Independiente","Ppc - App",210,46,0.21899999999999997,0.0323,116,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/49-j9Nz6Gi8Ep0Wi1I.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.26914968376669007,0.24407484188334502,8
"Pérez Tello De Rodríguez María Soledad","Alianza por el Gran Cambio","Ppc - App",196,41,0.20920000000000002,0.0288,117,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/92-l1Te0Os0Ai0Zj9W.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.26914968376669007,0.23917484188334504,9
"Salgado Rubianes Luz Filomena","Fuerza Popular","Fuerza Popular",147,39,0.26530000000000004,0.0058,32,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/107-y8Cj3Ya3Rw2Mr4A.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.2080657206870799,0.23668286034353997,10
"Uribe Medina Cenaida Cebastiana","Gana Perú","No Agrupados",102,27,0.2647,0.0203,91,"http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/119-c6To2Nb8Id8Qq2R.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/14-w0Ad2Yq1Xq9Bn4J.jpg","http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg",0.20316027088036118,0.2339301354401806,11
