Region,Area,Sold_to_Country_Name,Warehouse_Name,Product_Code,Lot_Number,Expiration_Date,Eaches_UOM,Quantity_Available_Eaches,File_Arrival_Date,Created_Datetime
"USA","U.S.","U.S.A.","380A","1505812","9221A",2019-11-04 00:00:00.000,"EA",1763,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8237A",2019-07-05 00:00:00.000,"EA",0,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","9220A",2019-10-14 00:00:00.000,"EA",25,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","7095A",2018-07-14 00:00:00.000,"EA",0,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8231A",2019-01-29 00:00:00.000,"EA",0,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8230A",2019-01-15 00:00:00.000,"EA",0,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9220A",2019-10-14 00:00:00.000,"EA",1486,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9219A",2019-09-28 00:00:00.000,"EA",0,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9222A",2019-11-06 00:00:00.000,"EA",2552,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","8227A",2018-09-30 00:00:00.000,"EA",0,2019-07-05 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9221A",2019-11-04 00:00:00.000,"EA",1763,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","9220A",2019-10-14 00:00:00.000,"EA",21,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","7095A",2018-07-14 00:00:00.000,"EA",0,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8231A",2019-01-29 00:00:00.000,"EA",0,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8230A",2019-01-15 00:00:00.000,"EA",0,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9219A",2019-09-28 00:00:00.000,"EA",0,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9220A",2019-10-14 00:00:00.000,"EA",896,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8237A",2019-07-05 00:00:00.000,"EA",0,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9222A",2019-11-06 00:00:00.000,"EA",2552,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","8227A",2018-09-30 00:00:00.000,"EA",0,2019-07-11 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9221A",2019-11-04 00:00:00.000,"EA",1763,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","7095A",2018-07-14 00:00:00.000,"EA",0,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9219A",2019-09-28 00:00:00.000,"EA",0,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9220A",2019-10-14 00:00:00.000,"EA",545,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8231A",2019-01-29 00:00:00.000,"EA",0,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8230A",2019-01-15 00:00:00.000,"EA",0,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","9220A",2019-10-14 00:00:00.000,"EA",20,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8237A",2019-07-05 00:00:00.000,"EA",0,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9222A",2019-11-06 00:00:00.000,"EA",2552,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","8227A",2018-09-30 00:00:00.000,"EA",0,2019-07-18 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","U.S.A.","380A","1505812","9219A",2019-09-28 00:00:00.000,"EA",0,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","PUERTO RICO","395A","1505812","9220A",2019-10-14 00:00:00.000,"EA",16,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","PUERTO RICO","395A","1505812","8227A",2018-09-30 00:00:00.000,"EA",0,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","PUERTO RICO","395A","1505812","7095A",2018-07-14 00:00:00.000,"EA",0,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","U.S.A.","380A","1505812","8231A",2019-01-29 00:00:00.000,"EA",0,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","U.S.A.","380A","1505812","9220A",2019-10-14 00:00:00.000,"EA",2,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","U.S.A.","380A","1505812","9222A",2019-11-06 00:00:00.000,"EA",2552,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","U.S.A.","380A","1505812","9221A",2019-11-04 00:00:00.000,"EA",1715,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","U.S.A.","380A","1505812","8237A",2019-07-05 00:00:00.000,"EA",0,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","USA","U.S.A.","380A","1505812","8230A",2019-01-15 00:00:00.000,"EA",0,2019-07-25 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9221A",2019-11-04 00:00:00.000,"EA",1763,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8237A",2019-07-05 00:00:00.000,"EA",0,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","7095A",2018-07-14 00:00:00.000,"EA",0,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","9220A",2019-10-14 00:00:00.000,"EA",27,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8231A",2019-01-29 00:00:00.000,"EA",0,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","8230A",2019-01-15 00:00:00.000,"EA",0,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9220A",2019-10-14 00:00:00.000,"EA",1500,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9219A",2019-09-28 00:00:00.000,"EA",358,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","U.S.A.","380A","1505812","9222A",2019-11-06 00:00:00.000,"EA",2552,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
"USA","U.S.","PUERTO RICO","395A","1505812","8227A",2018-09-30 00:00:00.000,"EA",0,2019-06-27 00:00:00.000,2019-08-12 21:11:22.000
