DATE_PK,CALENDAR_DT,DAY_NM,DAY_WEEK_NUM,DAY_MONTH_NUM,DAY_YEAR_NUM,WEEK_YEAR_NUM,MONTH_NM,MONTH_NUM,QUARTER_YEAR_NUM,CALENDAR_YEAR_NUM,FISCAL_MONTH_NUM,FISCAL_QUARTER_NUM,FISCAL_YEAR_NUM,IS_LAST_DAY_OF_MONTH_IND,IS_WEEKEND_IND,IS_COMPANY_HOLIDAY_IND,COMPANY_HOLIDAY_NM,COL_YearMonth,COL_FISCAL_QTR_NM
20100702,2010-07-02 00:00:00.000,"Friday",6,2,183,27,"July",7,3,2010,10,4,2010,"N","N","N","","20107","Q4"
20100709,2010-07-09 00:00:00.000,"Friday",6,9,190,28,"July",7,3,2010,10,4,2010,"N","N","N","","20107","Q4"
20100716,2010-07-16 00:00:00.000,"Friday",6,16,197,29,"July",7,3,2010,10,4,2010,"N","N","N","","20107","Q4"
20100723,2010-07-23 00:00:00.000,"Friday",6,23,204,30,"July",7,3,2010,10,4,2010,"N","N","N","","20107","Q4"
20100730,2010-07-30 00:00:00.000,"Friday",6,30,211,31,"July",7,3,2010,10,4,2010,"N","N","N","","20107","Q4"
20110701,2011-07-01 00:00:00.000,"Friday",6,1,182,27,"July",7,3,2011,10,4,2011,"N","N","N","","20117","Q4"
20110708,2011-07-08 00:00:00.000,"Friday",6,8,189,28,"July",7,3,2011,10,4,2011,"N","N","N","","20117","Q4"
20110715,2011-07-15 00:00:00.000,"Friday",6,15,196,29,"July",7,3,2011,10,4,2011,"N","N","N","","20117","Q4"
20110722,2011-07-22 00:00:00.000,"Friday",6,22,203,30,"July",7,3,2011,10,4,2011,"N","N","N","","20117","Q4"
20110729,2011-07-29 00:00:00.000,"Friday",6,29,210,31,"July",7,3,2011,10,4,2011,"N","N","N","","20117","Q4"
20120706,2012-07-06 00:00:00.000,"Friday",6,6,188,27,"July",7,3,2012,10,4,2012,"N","N","N","","20127","Q4"
20120713,2012-07-13 00:00:00.000,"Friday",6,13,195,28,"July",7,3,2012,10,4,2012,"N","N","N","","20127","Q4"
20120720,2012-07-20 00:00:00.000,"Friday",6,20,202,29,"July",7,3,2012,10,4,2012,"N","N","N","","20127","Q4"
20120727,2012-07-27 00:00:00.000,"Friday",6,27,209,30,"July",7,3,2012,10,4,2012,"N","N","N","","20127","Q4"
20130705,2013-07-05 00:00:00.000,"Friday",6,5,186,27,"July",7,3,2013,10,4,2013,"N","N","N","","20137","Q4"
20130712,2013-07-12 00:00:00.000,"Friday",6,12,193,28,"July",7,3,2013,10,4,2013,"N","N","N","","20137","Q4"
20130719,2013-07-19 00:00:00.000,"Friday",6,19,200,29,"July",7,3,2013,10,4,2013,"N","N","N","","20137","Q4"
20130726,2013-07-26 00:00:00.000,"Friday",6,26,207,30,"July",7,3,2013,10,4,2013,"N","N","N","","20137","Q4"
20140704,2014-07-04 00:00:00.000,"Friday",6,4,185,27,"July",7,3,2014,10,4,2014,"N","N","N","","20147","Q4"
20140711,2014-07-11 00:00:00.000,"Friday",6,11,192,28,"July",7,3,2014,10,4,2014,"N","N","N","","20147","Q4"
20140718,2014-07-18 00:00:00.000,"Friday",6,18,199,29,"July",7,3,2014,10,4,2014,"N","N","N","","20147","Q4"
20140725,2014-07-25 00:00:00.000,"Friday",6,25,206,30,"July",7,3,2014,10,4,2014,"N","N","N","","20147","Q4"
20150703,2015-07-03 00:00:00.000,"Friday",6,3,184,27,"July",7,3,2015,10,4,2015,"N","N","N","","20157","Q4"
20150710,2015-07-10 00:00:00.000,"Friday",6,10,191,28,"July",7,3,2015,10,4,2015,"N","N","N","","20157","Q4"
20150717,2015-07-17 00:00:00.000,"Friday",6,17,198,29,"July",7,3,2015,10,4,2015,"N","N","N","","20157","Q4"
20150724,2015-07-24 00:00:00.000,"Friday",6,24,205,30,"July",7,3,2015,10,4,2015,"N","N","N","","20157","Q4"
20160701,2016-07-01 00:00:00.000,"Friday",6,1,183,27,"July",7,3,2016,10,4,2016,"N","N","N","","20167","Q4"
20160708,2016-07-08 00:00:00.000,"Friday",6,8,190,28,"July",7,3,2016,10,4,2016,"N","N","N","","20167","Q4"
20160715,2016-07-15 00:00:00.000,"Friday",6,15,197,29,"July",7,3,2016,10,4,2016,"N","N","N","","20167","Q4"
20160722,2016-07-22 00:00:00.000,"Friday",6,22,204,30,"July",7,3,2016,10,4,2016,"N","N","N","","20167","Q4"
20160729,2016-07-29 00:00:00.000,"Friday",6,29,211,31,"July",7,3,2016,10,4,2016,"N","N","N","","20167","Q4"
20170707,2017-07-07 00:00:00.000,"Friday",6,7,188,27,"July",7,3,2017,10,4,2017,"N","N","N","","20177","Q4"
20170714,2017-07-14 00:00:00.000,"Friday",6,14,195,28,"July",7,3,2017,10,4,2017,"N","N","N","","20177","Q4"
20170721,2017-07-21 00:00:00.000,"Friday",6,21,202,29,"July",7,3,2017,10,4,2017,"N","N","N","","20177","Q4"
20170728,2017-07-28 00:00:00.000,"Friday",6,28,209,30,"July",7,3,2017,10,4,2017,"N","N","N","","20177","Q4"
20180706,2018-07-06 00:00:00.000,"Friday",6,6,187,27,"July",7,3,2018,10,4,2018,"N","N","N","","20187","Q4"
20180713,2018-07-13 00:00:00.000,"Friday",6,13,194,28,"July",7,3,2018,10,4,2018,"N","N","N","","20187","Q4"
20180720,2018-07-20 00:00:00.000,"Friday",6,20,201,29,"July",7,3,2018,10,4,2018,"N","N","N","","20187","Q4"
20180727,2018-07-27 00:00:00.000,"Friday",6,27,208,30,"July",7,3,2018,10,4,2018,"N","N","N","","20187","Q4"
20190705,2019-07-05 00:00:00.000,"Friday",6,5,186,27,"July",7,3,2019,10,4,2019,"N","N","N","","20197","Q4"
20190712,2019-07-12 00:00:00.000,"Friday",6,12,193,28,"July",7,3,2019,10,4,2019,"N","N","N","","20197","Q4"
20190719,2019-07-19 00:00:00.000,"Friday",6,19,200,29,"July",7,3,2019,10,4,2019,"N","N","N","","20197","Q4"
20190726,2019-07-26 00:00:00.000,"Friday",6,26,207,30,"July",7,3,2019,10,4,2019,"N","N","N","","20197","Q4"
20200703,2020-07-03 00:00:00.000,"Friday",6,3,185,27,"July",7,3,2020,10,4,2020,"N","N","N","","20207","Q4"
20200710,2020-07-10 00:00:00.000,"Friday",6,10,192,28,"July",7,3,2020,10,4,2020,"N","N","N","","20207","Q4"
20200717,2020-07-17 00:00:00.000,"Friday",6,17,199,29,"July",7,3,2020,10,4,2020,"N","N","N","","20207","Q4"
20200724,2020-07-24 00:00:00.000,"Friday",6,24,206,30,"July",7,3,2020,10,4,2020,"N","N","N","","20207","Q4"
20210702,2021-07-02 00:00:00.000,"Friday",6,2,183,27,"July",7,3,2021,10,4,2021,"N","N","N","","20217","Q4"
20210709,2021-07-09 00:00:00.000,"Friday",6,9,190,28,"July",7,3,2021,10,4,2021,"N","N","N","","20217","Q4"
20210716,2021-07-16 00:00:00.000,"Friday",6,16,197,29,"July",7,3,2021,10,4,2021,"N","N","N","","20217","Q4"
20210723,2021-07-23 00:00:00.000,"Friday",6,23,204,30,"July",7,3,2021,10,4,2021,"N","N","N","","20217","Q4"
20210730,2021-07-30 00:00:00.000,"Friday",6,30,211,31,"July",7,3,2021,10,4,2021,"N","N","N","","20217","Q4"
20220701,2022-07-01 00:00:00.000,"Friday",6,1,182,27,"July",7,3,2022,10,4,2022,"N","N","N","","20227","Q4"
20220708,2022-07-08 00:00:00.000,"Friday",6,8,189,28,"July",7,3,2022,10,4,2022,"N","N","N","","20227","Q4"
20220715,2022-07-15 00:00:00.000,"Friday",6,15,196,29,"July",7,3,2022,10,4,2022,"N","N","N","","20227","Q4"
20220722,2022-07-22 00:00:00.000,"Friday",6,22,203,30,"July",7,3,2022,10,4,2022,"N","N","N","","20227","Q4"
20220729,2022-07-29 00:00:00.000,"Friday",6,29,210,31,"July",7,3,2022,10,4,2022,"N","N","N","","20227","Q4"
20230707,2023-07-07 00:00:00.000,"Friday",6,7,188,27,"July",7,3,2023,10,4,2023,"N","N","N","","20237","Q4"
20230714,2023-07-14 00:00:00.000,"Friday",6,14,195,28,"July",7,3,2023,10,4,2023,"N","N","N","","20237","Q4"
20230721,2023-07-21 00:00:00.000,"Friday",6,21,202,29,"July",7,3,2023,10,4,2023,"N","N","N","","20237","Q4"
20230728,2023-07-28 00:00:00.000,"Friday",6,28,209,30,"July",7,3,2023,10,4,2023,"N","N","N","","20237","Q4"
20240705,2024-07-05 00:00:00.000,"Friday",6,5,187,27,"July",7,3,2024,10,4,2024,"N","N","N","","20247","Q4"
20240712,2024-07-12 00:00:00.000,"Friday",6,12,194,28,"July",7,3,2024,10,4,2024,"N","N","N","","20247","Q4"
20240719,2024-07-19 00:00:00.000,"Friday",6,19,201,29,"July",7,3,2024,10,4,2024,"N","N","N","","20247","Q4"
20240726,2024-07-26 00:00:00.000,"Friday",6,26,208,30,"July",7,3,2024,10,4,2024,"N","N","N","","20247","Q4"
20100806,2010-08-06 00:00:00.000,"Friday",6,6,218,32,"August",8,3,2010,11,4,2010,"N","N","N","","20108","Q4"
20100813,2010-08-13 00:00:00.000,"Friday",6,13,225,33,"August",8,3,2010,11,4,2010,"N","N","N","","20108","Q4"
20100820,2010-08-20 00:00:00.000,"Friday",6,20,232,34,"August",8,3,2010,11,4,2010,"N","N","N","","20108","Q4"
20100827,2010-08-27 00:00:00.000,"Friday",6,27,239,35,"August",8,3,2010,11,4,2010,"N","N","N","","20108","Q4"
