IndexID,Date,Value
2,2022-03-01 00:00:00.000,140.377
2,2022-02-01 00:00:00.000,137.253
2,2022-01-01 00:00:00.000,134.177
2,2021-12-01 00:00:00.000,132.104
2,2021-11-01 00:00:00.000,132.18
2,2021-10-01 00:00:00.000,130.997
2,2021-09-01 00:00:00.000,129.285
2,2021-08-01 00:00:00.000,127.778
2,2021-07-01 00:00:00.000,126.553
2,2021-06-01 00:00:00.000,125.6
2,2021-05-01 00:00:00.000,124
2,2021-04-01 00:00:00.000,122.3
2,2021-03-01 00:00:00.000,121.3
2,2021-02-01 00:00:00.000,119.7
2,2021-01-01 00:00:00.000,118
2,2020-12-01 00:00:00.000,116.2
2,2020-11-01 00:00:00.000,115
2,2020-10-01 00:00:00.000,114.6
2,2020-09-01 00:00:00.000,114
2,2020-08-01 00:00:00.000,113.5
2,2020-07-01 00:00:00.000,113.1
2,2020-06-01 00:00:00.000,112.4
2,2020-05-01 00:00:00.000,111.9
2,2020-04-01 00:00:00.000,110.4
2,2020-03-01 00:00:00.000,113.5
2,2020-02-01 00:00:00.000,115.6
2,2020-01-01 00:00:00.000,116.5
2,2019-12-01 00:00:00.000,116.3
2,2019-11-01 00:00:00.000,115.9
2,2019-10-01 00:00:00.000,115.7
2,2019-09-01 00:00:00.000,115.1
2,2019-08-01 00:00:00.000,115.2
2,2019-07-01 00:00:00.000,115.5
2,2019-06-01 00:00:00.000,115.3
2,2019-05-01 00:00:00.000,115.9
2,2019-04-01 00:00:00.000,116.3
2,2019-03-01 00:00:00.000,115.6
2,2019-02-01 00:00:00.000,114.8
2,2019-01-01 00:00:00.000,114.3
2,2018-12-01 00:00:00.000,115.1
2,2018-11-01 00:00:00.000,115.7
2,2018-10-01 00:00:00.000,116.5
2,2018-09-01 00:00:00.000,115.6
2,2018-08-01 00:00:00.000,115.4
2,2018-07-01 00:00:00.000,115.2
2,2018-06-01 00:00:00.000,115.1
2,2018-05-01 00:00:00.000,115
2,2018-04-01 00:00:00.000,114.4
2,2018-03-01 00:00:00.000,114.3
2,2018-02-01 00:00:00.000,114.1
2,2018-01-01 00:00:00.000,113.7
2,2017-12-01 00:00:00.000,113.3
2,2017-11-01 00:00:00.000,112.9
