Date,Year,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,Yr-Mo,HasFinalDemandData,HasGDPQuarterlyData,Recession Indicator Trough Method,HasDurableGoodsData,HasBoMData
2022-01-31 00:00:00.000,2022,1,31,20220131,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-30 00:00:00.000,2022,1,30,20220130,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-29 00:00:00.000,2022,1,29,20220129,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-28 00:00:00.000,2022,1,28,20220128,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-27 00:00:00.000,2022,1,27,20220127,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-26 00:00:00.000,2022,1,26,20220126,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-25 00:00:00.000,2022,1,25,20220125,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-24 00:00:00.000,2022,1,24,20220124,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-23 00:00:00.000,2022,1,23,20220123,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-22 00:00:00.000,2022,1,22,20220122,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-21 00:00:00.000,2022,1,21,20220121,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-20 00:00:00.000,2022,1,20,20220120,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-19 00:00:00.000,2022,1,19,20220119,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-18 00:00:00.000,2022,1,18,20220118,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-17 00:00:00.000,2022,1,17,20220117,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-16 00:00:00.000,2022,1,16,20220116,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-15 00:00:00.000,2022,1,15,20220115,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-14 00:00:00.000,2022,1,14,20220114,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-13 00:00:00.000,2022,1,13,20220113,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-12 00:00:00.000,2022,1,12,20220112,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-11 00:00:00.000,2022,1,11,20220111,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-10 00:00:00.000,2022,1,10,20220110,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-09 00:00:00.000,2022,1,9,20220109,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-08 00:00:00.000,2022,1,8,20220108,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-07 00:00:00.000,2022,1,7,20220107,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-06 00:00:00.000,2022,1,6,20220106,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-05 00:00:00.000,2022,1,5,20220105,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-04 00:00:00.000,2022,1,4,20220104,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-03 00:00:00.000,2022,1,3,20220103,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-02 00:00:00.000,2022,1,2,20220102,"Jan","Jan 2022",202201,True,False,0,True,False
2022-01-01 00:00:00.000,2022,1,1,20220101,"Jan","Jan 2022",202201,True,True,0,True,True
2021-01-31 00:00:00.000,2021,1,31,20210131,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-30 00:00:00.000,2021,1,30,20210130,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-29 00:00:00.000,2021,1,29,20210129,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-28 00:00:00.000,2021,1,28,20210128,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-27 00:00:00.000,2021,1,27,20210127,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-26 00:00:00.000,2021,1,26,20210126,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-25 00:00:00.000,2021,1,25,20210125,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-24 00:00:00.000,2021,1,24,20210124,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-23 00:00:00.000,2021,1,23,20210123,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-22 00:00:00.000,2021,1,22,20210122,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-21 00:00:00.000,2021,1,21,20210121,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-20 00:00:00.000,2021,1,20,20210120,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-19 00:00:00.000,2021,1,19,20210119,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-18 00:00:00.000,2021,1,18,20210118,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-17 00:00:00.000,2021,1,17,20210117,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-16 00:00:00.000,2021,1,16,20210116,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-15 00:00:00.000,2021,1,15,20210115,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-14 00:00:00.000,2021,1,14,20210114,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-13 00:00:00.000,2021,1,13,20210113,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-12 00:00:00.000,2021,1,12,20210112,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-11 00:00:00.000,2021,1,11,20210111,"Jan","Jan 2021",202101,True,True,0,True,False
2021-01-10 00:00:00.000,2021,1,10,20210110,"Jan","Jan 2021",202101,True,True,0,True,False
